Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LH/112	LB/112	944.749610572	97.5280195198	1005.41321191	137.235516061	-0.509568586013	1.0
LB/30	C/112	1154.1357661	91.2383301296	932.079472575	56.4727346884	2.92666130595	1.0
LB/112	C/112	1005.41321191	137.235516061	932.079472575	56.4727346884	0.698848421548	1.0
LH + LB/112	LH/112	1065.016726	101.523954343	944.749610572	97.5280195198	1.20815570584	1.0
LH + LB/112	LB/112	1065.016726	101.523954343	1005.41321191	137.235516061	0.493783839255	1.0
LH/30	LH + LB/112	1063.51086739	84.7322432201	1065.016726	101.523954343	-0.0161044420438	1.0
C/0	C/112	1460.59284687	550.031664423	932.079472575	56.4727346884	1.35178060789	1.0
LH + LB/30	LB/30	1214.27608392	26.8424834777	1154.1357661	91.2383301296	0.89428838077	1.0
LH + LB/30	C/30	1214.27608392	26.8424834777	1062.74226989	26.296831915	5.70296492497	1.0
LH + LB/30	LH/112	1214.27608392	26.8424834777	944.749610572	97.5280195198	3.7681762264	1.0
LH + LB/112	C/30	1065.016726	101.523954343	1062.74226989	26.296831915	0.0306706605144	1.0
C/0	LH + LB/112	1460.59284687	550.031664423	1065.016726	101.523954343	1.00019015726	1.0
LH/30	LB/112	1063.51086739	84.7322432201	1005.41321191	137.235516061	0.509421436635	1.0
LH + LB/30	LB/112	1214.27608392	26.8424834777	1005.41321191	137.235516061	2.11230809404	1.0
LH + LB/30	C/112	1214.27608392	26.8424834777	932.079472575	56.4727346884	6.38257172066	1.0
C/30	LB/112	1062.74226989	26.296831915	1005.41321191	137.235516061	0.580220482914	1.0
LH/112	C/112	944.749610572	97.5280195198	932.079472575	56.4727346884	0.158993497169	1.0
C/0	LH/112	1460.59284687	550.031664423	944.749610572	97.5280195198	1.30593947041	1.0
LH/30	C/30	1063.51086739	84.7322432201	1062.74226989	26.296831915	0.0122517152812	1.0
LH/30	LH + LB/30	1063.51086739	84.7322432201	1214.27608392	26.8424834777	-2.39883639888	1.0
LH/112	C/30	944.749610572	97.5280195198	1062.74226989	26.296831915	-1.65196552409	1.0
LH/30	LB/30	1063.51086739	84.7322432201	1154.1357661	91.2383301296	-1.02929733732	1.0
C/30	LB/30	1062.74226989	26.296831915	1154.1357661	91.2383301296	-1.36120768165	1.0
LB/30	LB/112	1154.1357661	91.2383301296	1005.41321191	137.235516061	1.27627065403	1.0
C/0	LH/30	1460.59284687	550.031664423	1063.51086739	84.7322432201	1.0090541841	1.0
C/0	LB/30	1460.59284687	550.031664423	1154.1357661	91.2383301296	0.777325205586	1.0
LH/30	C/112	1063.51086739	84.7322432201	932.079472575	56.4727346884	1.82537241229	1.0
LH/30	LH/112	1063.51086739	84.7322432201	944.749610572	97.5280195198	1.30000529848	1.0
C/0	C/30	1460.59284687	550.031664423	1062.74226989	26.296831915	1.02176616482	1.0
LH + LB/112	C/112	1065.016726	101.523954343	932.079472575	56.4727346884	1.61828351562	1.0
C/0	LH + LB/30	1460.59284687	550.031664423	1214.27608392	26.8424834777	0.632564375866	1.0
LH + LB/30	LH + LB/112	1214.27608392	26.8424834777	1065.016726	101.523954343	2.01008966202	1.0
C/0	LB/112	1460.59284687	550.031664423	1005.41321191	137.235516061	1.13552375255	1.0
C/30	C/112	1062.74226989	26.296831915	932.079472575	56.4727346884	2.96628105795	1.0
LH + LB/112	LB/30	1065.016726	101.523954343	1154.1357661	91.2383301296	-0.923338722532	1.0
LH/112	LB/30	944.749610572	97.5280195198	1154.1357661	91.2383301296	-2.21723861493	1.0
