Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LH/112	LB/112	626.566666667	46.3915461647	661.933333333	46.7970321946	-0.75902717887	1.0
LB/30	C/112	743.133333333	29.7188305438	611.866666667	9.2463806733	5.96449678419	1.0
LB/112	C/112	661.933333333	46.7970321946	611.866666667	9.2463806733	1.4843259669	1.0
LH + LB/112	LH/112	686.4	51.0883548375	626.566666667	46.3915461647	1.22618100284	1.0
LH + LB/112	LB/112	686.4	51.0883548375	661.933333333	46.7970321946	0.499424666862	1.0
LH/30	LH + LB/112	651.433333333	11.9310053595	686.4	51.0883548375	-0.942574987977	1.0
C/0	C/112	1036.73333333	381.701474395	611.866666667	9.2463806733	1.57368002921	1.0
LH + LB/30	LB/30	703.233333333	36.9184988259	743.133333333	29.7188305438	-1.19059810198	1.0
LH + LB/30	C/30	703.233333333	36.9184988259	637.533333333	9.94797578516	2.43005399167	1.0
LH + LB/30	LH/112	703.233333333	36.9184988259	626.566666667	46.3915461647	1.82872995764	1.0
LH + LB/112	C/30	686.4	51.0883548375	637.533333333	9.94797578516	1.32777545448	1.0
C/0	LH + LB/112	1036.73333333	381.701474395	686.4	51.0883548375	1.28652149368	1.0
LH/30	LB/112	651.433333333	11.9310053595	661.933333333	46.7970321946	-0.307475882217	1.0
LH + LB/30	LB/112	703.233333333	36.9184988259	661.933333333	46.7970321946	0.979876288615	1.0
LH + LB/30	C/112	703.233333333	36.9184988259	611.866666667	9.2463806733	3.39506317273	1.0
C/30	LB/112	637.533333333	9.94797578516	661.933333333	46.7970321946	-0.721255429654	1.0
LH/112	C/112	626.566666667	46.3915461647	611.866666667	9.2463806733	0.4394750306	1.0
C/0	LH/112	1036.73333333	381.701474395	626.566666667	46.3915461647	1.50857655309	1.0
LH/30	C/30	651.433333333	11.9310053595	637.533333333	9.94797578516	1.26543877683	1.0
LH/30	LH + LB/30	651.433333333	11.9310053595	703.233333333	36.9184988259	-1.88812046956	1.0
LH/112	C/30	626.566666667	46.3915461647	637.533333333	9.94797578516	-0.32688019093	1.0
LH/30	LB/30	651.433333333	11.9310053595	743.133333333	29.7188305438	-4.04952670384	1.0
C/30	LB/30	637.533333333	9.94797578516	743.133333333	29.7188305438	-4.76524613802	1.0
LB/30	LB/112	743.133333333	29.7188305438	661.933333333	46.7970321946	2.07146526863	1.0
C/0	LH/30	1036.73333333	381.701474395	651.433333333	11.9310053595	1.42684932551	1.0
C/0	LB/30	1036.73333333	381.701474395	743.133333333	29.7188305438	1.08451319249	1.0
LH/30	C/112	651.433333333	11.9310053595	611.866666667	9.2463806733	3.7070226558	1.0
LH/30	LH/112	651.433333333	11.9310053595	626.566666667	46.3915461647	0.734152405636	1.0
C/0	C/30	1036.73333333	381.701474395	637.533333333	9.94797578516	1.47854398368	1.0
LH + LB/112	C/112	686.4	51.0883548375	611.866666667	9.2463806733	2.03022710258	1.0
C/0	LH + LB/30	1036.73333333	381.701474395	703.233333333	36.9184988259	1.22988652984	1.0
LH + LB/30	LH + LB/112	703.233333333	36.9184988259	686.4	51.0883548375	0.377681821201	1.0
C/0	LB/112	1036.73333333	381.701474395	661.933333333	46.7970321946	1.37832324829	1.0
C/30	C/112	637.533333333	9.94797578516	611.866666667	9.2463806733	2.67261241912	1.0
LH + LB/112	LB/30	686.4	51.0883548375	743.133333333	29.7188305438	-1.35749980948	1.0
LH/112	LB/30	626.566666667	46.3915461647	743.133333333	29.7188305438	-2.99214422586	1.0
