# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Treatment	All between Treatment	-4.47918930061	1.01667059812e-05	0.0109902091657	0.001	1.000
All within Treatment	LH + LB/30 vs. LH + LB/30	0.558244415449	0.581114396428	1	0.499	1.000
All within Treatment	LH/30 vs. LH/30	0.345505390896	0.732296811825	1	0.675	1.000
All within Treatment	C/0 vs. C/0	-2.75836498912	0.0101180039334	1	0.040	1.000
All within Treatment	LH + LB/112 vs. LH + LB/112	0.508693392786	0.614952251101	1	0.555	1.000
All within Treatment	LH/112 vs. LH/112	0.562652994291	0.5781487974	1	0.466	1.000
All within Treatment	C/30 vs. C/30	-0.188439994382	0.85189088255	1	0.840	1.000
All within Treatment	LB/30 vs. LB/30	1.16508839174	0.253813394962	1	0.214	1.000
All within Treatment	LB/112 vs. LB/112	0.172163821903	0.864547093164	1	0.852	1.000
All within Treatment	C/112 vs. C/112	0.136144622069	0.892681091091	1	0.876	1.000
All within Treatment	LH + LB/30 vs. LH/30	0.796170713727	0.431456991465	1	0.477	1.000
All within Treatment	LH + LB/30 vs. C/0	-12.6971631021	1.85505420593e-14	2.00531359661e-11	0.001	1.000
All within Treatment	LH + LB/30 vs. LH + LB/112	-4.00501098897	0.000319203167805	0.345058624398	0.001	1.000
All within Treatment	LH + LB/30 vs. LH/112	-4.25474894147	0.00015512397477	0.167689016727	0.001	1.000
All within Treatment	LH + LB/30 vs. C/30	-0.415131409773	0.680653788064	1	0.741	1.000
All within Treatment	LH + LB/30 vs. LB/30	1.28869438075	0.206204500285	1	0.142	1.000
All within Treatment	LH + LB/30 vs. LB/112	-4.05283802907	0.000278237104777	0.300774310264	0.001	1.000
All within Treatment	LH + LB/30 vs. C/112	-4.22860269963	0.000167377861163	0.180935467917	0.001	1.000
All within Treatment	LH/30 vs. C/0	-12.1502330907	6.37241626894e-14	6.88858198672e-11	0.001	1.000
All within Treatment	LH/30 vs. LH + LB/112	-3.63105854644	0.00091908567509	0.993531614773	0.003	1.000
All within Treatment	LH/30 vs. LH/112	-3.93323531625	0.000391952210068	0.423700339083	0.001	1.000
All within Treatment	LH/30 vs. C/30	-0.00607113682028	0.995191446487	1	0.996	1.000
All within Treatment	LH/30 vs. LB/30	1.05613100928	0.298355316643	1	0.278	1.000
All within Treatment	LH/30 vs. LB/112	-4.18511172116	0.000189897375381	0.205279062787	0.001	1.000
All within Treatment	LH/30 vs. C/112	-3.8051949559	0.000563843388055	0.609514702487	0.001	1.000
All within Treatment	C/0 vs. LH + LB/112	-9.29648373746	7.30128083372e-11	7.89268458125e-08	0.001	1.000
All within Treatment	C/0 vs. LH/112	-9.19189646136	9.64283502798e-11	1.04239046652e-07	0.001	1.000
All within Treatment	C/0 vs. C/30	-11.2909779409	4.76453919856e-13	5.15046687364e-10	0.001	1.000
All within Treatment	C/0 vs. LB/30	-11.8030649153	1.4209183549e-13	1.53601274165e-10	0.001	1.000
All within Treatment	C/0 vs. LB/112	-9.37981230256	5.85586661795e-11	6.33019181401e-08	0.001	1.000
All within Treatment	C/0 vs. C/112	-10.3475622188	4.8281518536e-12	5.21923215374e-09	0.001	1.000
All within Treatment	LH + LB/112 vs. LH/112	0.948261500751	0.349688032972	1	0.350	1.000
All within Treatment	LH + LB/112 vs. C/30	-2.9163581855	0.0062309419475	1	0.008	1.000
All within Treatment	LH + LB/112 vs. LB/30	-2.1827692657	0.0360544974291	1	0.037	1.000
All within Treatment	LH + LB/112 vs. LB/112	0.247910502132	0.805694812255	1	0.913	1.000
All within Treatment	LH + LB/112 vs. C/112	0.223568287993	0.824431144561	1	0.893	1.000
All within Treatment	LH/112 vs. C/30	-3.00486677592	0.00496244782853	1	0.007	1.000
All within Treatment	LH/112 vs. LB/30	-2.83329327426	0.00769343124294	1	0.011	1.000
All within Treatment	LH/112 vs. LB/112	0.704175686112	0.486118760189	1	0.559	1.000
All within Treatment	LH/112 vs. C/112	0.522308929649	0.604842006681	1	0.729	1.000
All within Treatment	C/30 vs. LB/30	-0.111045842675	0.912232940467	1	0.940	1.000
All within Treatment	C/30 vs. LB/112	-2.863527545	0.00712738870485	1	0.016	1.000
All within Treatment	C/30 vs. C/112	-3.80921359843	0.000557474794767	0.602630253143	0.002	1.000
All within Treatment	LB/30 vs. LB/112	-3.06070839734	0.00429206632405	1	0.006	1.000
All within Treatment	LB/30 vs. C/112	-3.22466935737	0.00278494481441	1	0.006	1.000
All within Treatment	LB/112 vs. C/112	-0.0053003058167	0.995801965391	1	0.995	1.000
All between Treatment	LH + LB/30 vs. LH + LB/30	1.89799087648	0.0585831459594	1	0.056	1.000
All between Treatment	LH/30 vs. LH/30	1.75323808979	0.0805039012199	1	0.073	1.000
All between Treatment	C/0 vs. C/0	-0.687992537072	0.49194821701	1	0.525	1.000
All between Treatment	LH + LB/112 vs. LH + LB/112	1.86725500642	0.0627660444786	1	0.064	1.000
All between Treatment	LH/112 vs. LH/112	1.90087509501	0.0582028514265	1	0.056	1.000
All between Treatment	C/30 vs. C/30	1.38924901571	0.165708134232	1	0.175	1.000
All between Treatment	LB/30 vs. LB/30	2.30815126828	0.0216181968579	1	0.011	1.000
All between Treatment	LB/112 vs. LB/112	1.63587821084	0.102833110174	1	0.110	1.000
All between Treatment	C/112 vs. C/112	1.61164990557	0.108008811301	1	0.093	1.000
All between Treatment	LH + LB/30 vs. LH/30	3.17947236786	0.00161483710862	1	0.001	1.000
All between Treatment	LH + LB/30 vs. C/0	-5.98675845506	5.56964121813e-09	6.0207821568e-06	0.001	1.000
All between Treatment	LH + LB/30 vs. LH + LB/112	-0.166900335976	0.867550380654	1	0.856	1.000
All between Treatment	LH + LB/30 vs. LH/112	-0.366674328092	0.714096240116	1	0.702	1.000
All between Treatment	LH + LB/30 vs. C/30	2.34173287278	0.0197870434786	1	0.014	1.000
All between Treatment	LH + LB/30 vs. LB/30	3.50108950583	0.000526890875191	0.569569036081	0.001	1.000
All between Treatment	LH + LB/30 vs. LB/112	-0.155938933244	0.876176215374	1	0.892	1.000
All between Treatment	LH + LB/30 vs. C/112	-0.367965004822	0.7131345201	1	0.705	1.000
All between Treatment	LH/30 vs. C/0	-5.72705664687	2.29521798719e-08	2.48113064415e-05	0.001	1.000
All between Treatment	LH/30 vs. LH + LB/112	0.0793880190635	0.936771971494	1	0.931	1.000
All between Treatment	LH/30 vs. LH/112	-0.154607387202	0.877225074616	1	0.868	1.000
All between Treatment	LH/30 vs. C/30	2.62229743556	0.00913759391025	1	0.006	1.000
All between Treatment	LH/30 vs. LB/30	3.35088284147	0.000898648053733	0.971438546085	0.003	1.000
All between Treatment	LH/30 vs. LB/112	-0.265517349596	0.790776237278	1	0.792	1.000
All between Treatment	LH/30 vs. C/112	-0.0771553569859	0.938546572	1	0.952	1.000
All between Treatment	C/0 vs. LH + LB/112	-3.87100352825	0.000130583467365	0.141160728222	0.001	1.000
All between Treatment	C/0 vs. LH/112	-3.67260591074	0.000279863141941	0.302532056438	0.002	1.000
All between Treatment	C/0 vs. C/30	-5.15087792349	4.46170724621e-07	0.000482310553315	0.001	1.000
All between Treatment	C/0 vs. LB/30	-5.35670864541	1.58987425343e-07	0.000171865406796	0.001	1.000
All between Treatment	C/0 vs. LB/112	-3.74456141471	0.000213063634953	0.230321789384	0.001	1.000
All between Treatment	C/0 vs. C/112	-4.37351648702	1.63997035362e-05	0.0177280795226	0.001	1.000
All between Treatment	LH + LB/112 vs. LH/112	3.29034487849	0.00110844576349	1	0.001	1.000
All between Treatment	LH + LB/112 vs. C/30	0.543200237456	0.587357554151	1	0.602	1.000
All between Treatment	LH + LB/112 vs. LB/30	1.14491522944	0.253071453246	1	0.249	1.000
All between Treatment	LH + LB/112 vs. LB/112	2.79932843522	0.0054213041623	1	0.011	1.000
All between Treatment	LH + LB/112 vs. C/112	2.78407396098	0.00567671655196	1	0.002	1.000
All between Treatment	LH/112 vs. C/30	0.409722924288	0.682274242197	1	0.672	1.000
All between Treatment	LH/112 vs. LB/30	0.667624986335	0.50483820604	1	0.516	1.000
All between Treatment	LH/112 vs. LB/112	3.11651971536	0.0019902503662	1	0.005	1.000
All between Treatment	LH/112 vs. C/112	2.99046694379	0.0029943190251	1	0.003	1.000
All between Treatment	C/30 vs. LB/30	2.55094326231	0.0111927112736	1	0.010	1.000
All between Treatment	C/30 vs. LB/112	0.579599258033	0.562579167568	1	0.586	1.000
All between Treatment	C/30 vs. C/112	-0.0792933299688	0.936847227465	1	0.944	1.000
All between Treatment	LB/30 vs. LB/112	0.537251352146	0.591454975586	1	0.590	1.000
All between Treatment	LB/30 vs. C/112	0.386524659359	0.699356498525	1	0.723	1.000
All between Treatment	LB/112 vs. C/112	2.62549610258	0.00905395178954	1	0.012	1.000
LH + LB/30 vs. LH + LB/30	LH/30 vs. LH/30	-0.831930847228	0.452230180684	1	0.553	1.000
LH + LB/30 vs. LH + LB/30	C/0 vs. C/0	-1.68767791476	0.166746335714	1	0.385	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/112 vs. LH + LB/112	-0.0712328058683	0.946631795991	1	0.887	1.000
LH + LB/30 vs. LH + LB/30	LH/112 vs. LH/112	0.0125113723199	0.990616776757	1	0.921	1.000
LH + LB/30 vs. LH + LB/30	C/30 vs. C/30	-1.16930835558	0.307205032914	1	0.319	1.000
LH + LB/30 vs. LH + LB/30	LB/30 vs. LB/30	2.40302379311	0.0741129207639	1	0.008	1.000
LH + LB/30 vs. LH + LB/30	LB/112 vs. LB/112	-1.41542434613	0.229870342501	1	0.309	1.000
LH + LB/30 vs. LH + LB/30	C/112 vs. C/112	-0.942940756647	0.399101804803	1	0.391	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/30 vs. LH/30	-0.195455183104	0.848950945348	1	0.849	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/30 vs. C/0	-28.9094518981	5.71511196877e-11	6.17803603824e-08	0.003	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/30 vs. LH + LB/112	-5.58530051572	0.000232387127845	0.251210485201	0.001	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/30 vs. LH/112	-5.33741267508	0.000329459306291	0.3561455101	0.003	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/30 vs. C/30	-1.74655597415	0.111299137873	1	0.123	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/30 vs. LB/30	0.971151626178	0.354376292914	1	0.343	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/30 vs. LB/112	-7.22235721656	2.8498662244e-05	0.0308070538858	0.004	1.000
LH + LB/30 vs. LH + LB/30	LH + LB/30 vs. C/112	-4.99172331222	0.000543931581458	0.587990039556	0.007	1.000
LH + LB/30 vs. LH + LB/30	LH/30 vs. C/0	-18.6325936015	4.28383942575e-09	4.63083041923e-06	0.005	1.000
LH + LB/30 vs. LH + LB/30	LH/30 vs. LH + LB/112	-4.83443429646	0.000687198783562	0.742861885031	0.005	1.000
LH + LB/30 vs. LH + LB/30	LH/30 vs. LH/112	-4.769334439	0.000757807538932	0.819189949586	0.004	1.000
LH + LB/30 vs. LH + LB/30	LH/30 vs. C/30	-0.918516923967	0.379969693026	1	0.389	1.000
LH + LB/30 vs. LH + LB/30	LH/30 vs. LB/30	0.164374349984	0.872711444499	1	0.883	1.000
LH + LB/30 vs. LH + LB/30	LH/30 vs. LB/112	-6.59397104921	6.1243744155e-05	0.0662044874316	0.001	1.000
LH + LB/30 vs. LH + LB/30	LH/30 vs. C/112	-4.45321839814	0.00122899357249	1	0.002	1.000
LH + LB/30 vs. LH + LB/30	C/0 vs. LH + LB/112	-11.3175508846	5.05676588836e-07	0.000546636392532	0.008	1.000
