Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R1_001	pass	0.0	fail	250.996006256	Sanger / Illumina 1.9	fail	pass	warn	227-251	Conventional base calls	pass	fail	71612.0	pass	fail	fail	51.0	3.26481595263	LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R2_001	pass	0.0	fail	250.026755292	Sanger / Illumina 1.9	warn	pass	warn	235-251	Conventional base calls	pass	fail	71612.0	pass	fail	fail	49.0	8.24861755013	LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-147-Control-0d-CS-16S_S2_L001_R1_001	pass	0.0	fail	250.99604147	Sanger / Illumina 1.9	fail	pass	warn	224-251	Conventional base calls	pass	fail	47745.0	pass	fail	fail	55.0	4.72510210493	LALL-PD-KC2015-147-Control-0d-CS-16S_S2_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-147-Control-0d-CS-16S_S2_L001_R2_001	pass	0.0	fail	250.033280972	Sanger / Illumina 1.9	warn	pass	warn	246-251	Conventional base calls	pass	fail	47745.0	pass	fail	fail	53.0	10.2419101477	LALL-PD-KC2015-147-Control-0d-CS-16S_S2_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R1_001	pass	0.0	fail	250.99562131	Sanger / Illumina 1.9	warn	pass	warn	147-251	Conventional base calls	pass	fail	97061.0	pass	fail	fail	54.0	3.93979044106	LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R2_001	pass	0.0	fail	250.989563264	Sanger / Illumina 1.9	warn	pass	warn	147-251	Conventional base calls	pass	fail	97061.0	pass	fail	fail	52.0	8.54205087522	LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R1_001	pass	0.0	fail	250.995647546	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	84550.0	pass	fail	fail	54.0	2.25310467179	LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R2_001	pass	0.0	fail	250.065274985	Sanger / Illumina 1.9	fail	pass	warn	246-251	Conventional base calls	pass	fail	84550.0	pass	fail	fail	52.0	7.19455943229	LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R1_001	pass	0.0	fail	250.984160711	Sanger / Illumina 1.9	fail	pass	warn	35-251	Conventional base calls	pass	fail	46593.0	pass	fail	fail	53.0	3.14854162642	LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R2_001	pass	0.0	fail	250.990298972	Sanger / Illumina 1.9	fail	pass	warn	136-251	Conventional base calls	pass	fail	46593.0	pass	fail	fail	50.0	8.58927306677	LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R2_001.fastq.gz	pass	pass
