# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Treatment	All between Treatment	-6.97065197433	6.99923047239e-12	2.99427079609e-08	0.001	1.000
All within Treatment	C/0 vs. C/0	-0.0907145821405	0.928172135787	1	0.918	1.000
All within Treatment	LH/30 vs. LH/30	0.702667379319	0.486332512108	1	0.469	1.000
All within Treatment	LH/10 vs. LH/10	0.229068104466	0.819983190569	1	0.807	1.000
All within Treatment	LB/10 vs. LB/10	1.01554503424	0.315949720636	1	0.329	1.000
All within Treatment	LH + LB/30 vs. LH + LB/30	-3.02809605198	0.0042945357604	1	0.007	1.000
All within Treatment	C/92 vs. C/92	-1.20562867508	0.23504433112	1	0.219	1.000
All within Treatment	LB/92 vs. LB/92	-0.265074484192	0.79231336592	1	0.783	1.000
All within Treatment	LH + LB/92 vs. LH + LB/92	-0.278745433816	0.781876249347	1	0.779	1.000
All within Treatment	C/30 vs. C/30	0.32192203704	0.749188163429	1	0.746	1.000
All within Treatment	LB/30 vs. LB/30	2.05877680962	0.046068766991	1	0.050	1.000
All within Treatment	LH + LB/10 vs. LH + LB/10	-1.38283462545	0.174387111458	1	0.184	1.000
All within Treatment	C/10 vs. C/10	2.23711114427	0.03091858672	1	0.028	1.000
All within Treatment	LH/92 vs. LH/92	-0.151166079102	0.880604512739	1	0.884	1.000
All within Treatment	C/0 vs. LH/30	-25.841784523	4.93452153691e-29	2.11098831349e-25	0.001	1.000
All within Treatment	C/0 vs. LH/10	-26.160618407	2.90773453841e-29	1.24392883553e-25	0.001	1.000
All within Treatment	C/0 vs. LB/10	-26.4810705348	1.71853631928e-29	7.3518983739e-26	0.001	1.000
All within Treatment	C/0 vs. LH + LB/30	-21.6772908738	8.74836254026e-26	3.74254949472e-22	0.001	1.000
All within Treatment	C/0 vs. C/92	-17.9616309661	2.03223650299e-22	8.69390775979e-19	0.001	1.000
All within Treatment	C/0 vs. LB/92	-21.0798154954	2.82014635414e-25	1.2064586103e-21	0.001	1.000
