# Constructed from biom file
#OTU ID	C/0	C/10	C/30	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
Unassigned;Other;Other	0.000827084999932	0.00056819776088	0.000202242939438	0.000229642217425	0.000126247682171	0.000240442414042	8.82122032762e-05	0.000182861919658	7.77207825373e-05	9.47657706037e-05	0.000113965958368	6.18013019474e-05	0.000249378631576
k__Archaea;p__Euryarchaeota;c__Methanobacteria	5.42350819628e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11029689339e-05	0.0	0.0	0.0	0.0
k__Bacteria;Other;Other	0.0	2.80591486854e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.0	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	1.57942951006e-05	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.00460998196684	0.0	2.60958631533e-05	0.000496027189639	4.73428808143e-05	0.0	0.000123497084587	5.87770456045e-05	5.55148446695e-05	0.000134251508355	2.27931916736e-05	2.06004339825e-05	3.32504842102e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.000284734180305	0.0	0.0	0.0	0.0	0.0	0.0	6.53078284494e-06	2.22059378678e-05	0.0	1.70948937552e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0	0.0	0.0	3.6742754788e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Aquificae;c__Aquificae	0.0	0.0	0.0	0.000156156707849	0.0	0.0	2.64636609829e-05	0.0	0.0	1.57942951006e-05	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.00108470163926	0.0	0.0	0.000192899462637	0.0	0.0	6.17485422933e-05	6.53078284494e-05	9.9926720405e-05	1.57942951006e-05	1.13965958368e-05	4.80676792924e-05	4.15631052627e-05
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.00166772877036	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.00100334901631	5.61182973709e-05	7.17636236716e-05	0.000137785330455	1.57809602714e-05	0.0	0.0	3.91846970696e-05	0.0	0.0	2.27931916736e-05	2.746724531e-05	0.000174565042103
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.00332189877022	7.71626588849e-05	2.60958631533e-05	0.000165342396546	3.94524006786e-05	0.0	0.0	9.14309598292e-05	1.11029689339e-05	1.57942951006e-05	7.97761708578e-05	0.0	0.000365755326312
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.000867761311404	0.0	0.000104383452613	0.000918568869701	2.36714404071e-05	0.0	0.000291100270811	6.53078284494e-06	0.0	0.000300091606912	1.13965958368e-05	0.0	0.000257691252629
k__Bacteria;p__Chloroflexi;c__Anaerolineae	6.77938524535e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ellin6529	4.06763114721e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
