# Constructed from biom file
#OTU ID	C/0	C/10	C/30	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
Unassigned;Other;Other;Other;Other	0.000827084999932	0.00056819776088	0.000202242939438	0.000229642217425	0.000126247682171	0.000240442414042	8.82122032762e-05	0.000182861919658	7.77207825373e-05	9.47657706037e-05	0.000113965958368	6.18013019474e-05	0.000249378631576
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	5.42350819628e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11029689339e-05	0.0	0.0	0.0	0.0
k__Bacteria;Other;Other;Other;Other	0.0	2.80591486854e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075	0.0	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	1.57942951006e-05	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae	6.77938524535e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	0.000149146475398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae	6.77938524535e-05	0.0	0.0	3.6742754788e-05	1.57809602714e-05	0.0	1.76424406552e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0.0	0.0	0.0	9.18568869701e-06	0.0	0.0	4.41061016381e-05	0.0	0.0	7.8971475503e-06	0.0	6.86681132749e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	0.000108470163926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae	5.42350819628e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11029689339e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	8.13526229442e-05	0.0	0.0	0.0	7.89048013572e-06	0.0	0.0	0.0	0.0	2.36914426509e-05	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae	9.49113934348e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.00267107778667	0.0	6.52396578832e-06	9.18568869701e-06	1.57809602714e-05	0.0	3.52848813105e-05	1.95923485348e-05	0.0	5.52800328521e-05	5.69829791841e-06	0.0	2.49378631576e-05
