Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
LALL-PD-KC2015-520-Control-0d-HMC-16S_S28_L001_R1_001	pass	0.0	fail	250.994950923	Sanger / Illumina 1.9	fail	pass	warn	245-251	Conventional base calls	pass	fail	49514.0	pass	fail	fail	56.0	3.09205477239	LALL-PD-KC2015-520-Control-0d-HMC-16S_S28_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-520-Control-0d-HMC-16S_S28_L001_R2_001	pass	0.0	fail	250.36498768	Sanger / Illumina 1.9	fail	pass	warn	245-251	Conventional base calls	pass	fail	49514.0	pass	fail	fail	53.0	8.6500787656	LALL-PD-KC2015-520-Control-0d-HMC-16S_S28_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-521-Control-0d-HMC-16S_S29_L001_R1_001	pass	0.0	fail	249.994143791	Sanger / Illumina 1.9	fail	pass	warn	167-251	Conventional base calls	pass	fail	38250.0	pass	fail	fail	56.0	3.43529411765	LALL-PD-KC2015-521-Control-0d-HMC-16S_S29_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-521-Control-0d-HMC-16S_S29_L001_R2_001	pass	0.0	fail	249.988601307	Sanger / Illumina 1.9	warn	pass	warn	167-251	Conventional base calls	pass	fail	38250.0	pass	fail	fail	53.0	9.61045751634	LALL-PD-KC2015-521-Control-0d-HMC-16S_S29_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-522-Control-0d-HMC-16S_S30_L001_R1_001	pass	0.0	fail	249.997989474	Sanger / Illumina 1.9	fail	pass	warn	190-251	Conventional base calls	pass	fail	118377.0	pass	fail	fail	56.0	2.13301570406	LALL-PD-KC2015-522-Control-0d-HMC-16S_S30_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-522-Control-0d-HMC-16S_S30_L001_R2_001	pass	0.0	fail	249.993089874	Sanger / Illumina 1.9	warn	pass	warn	190-251	Conventional base calls	pass	fail	118377.0	pass	fail	fail	53.0	7.40684423494	LALL-PD-KC2015-522-Control-0d-HMC-16S_S30_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-525-Control-10d-HMC-16S_S31_L001_R1_001	pass	0.0	fail	250.994381856	Sanger / Illumina 1.9	warn	pass	warn	219-251	Conventional base calls	pass	fail	67638.0	pass	fail	fail	53.0	2.60060912505	LALL-PD-KC2015-525-Control-10d-HMC-16S_S31_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-525-Control-10d-HMC-16S_S31_L001_R2_001	pass	0.0	fail	250.075564032	Sanger / Illumina 1.9	warn	pass	warn	219-251	Conventional base calls	pass	fail	67638.0	pass	fail	fail	51.0	6.74768621189	LALL-PD-KC2015-525-Control-10d-HMC-16S_S31_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-526-Control-10d-HMC-16S_S32_L001_R1_001	pass	0.0	fail	250.995210895	Sanger / Illumina 1.9	fail	pass	warn	230-251	Conventional base calls	pass	fail	40091.0	pass	fail	fail	53.0	3.16280461949	LALL-PD-KC2015-526-Control-10d-HMC-16S_S32_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-526-Control-10d-HMC-16S_S32_L001_R2_001	pass	0.0	fail	250.082761717	Sanger / Illumina 1.9	fail	pass	warn	230-251	Conventional base calls	pass	fail	40091.0	pass	fail	fail	51.0	7.83717043726	LALL-PD-KC2015-526-Control-10d-HMC-16S_S32_L001_R2_001.fastq.gz	pass	pass
