Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
LALL-PD-KC2015-520-Control-0d-HMC-16S_S28_L001_R1_001	96.9079452276	56.0	250.994950923	49514.0	41.6666666667
LALL-PD-KC2015-520-Control-0d-HMC-16S_S28_L001_R2_001	91.3499212344	53.0	250.36498768	49514.0	41.6666666667
LALL-PD-KC2015-521-Control-0d-HMC-16S_S29_L001_R1_001	96.5647058824	56.0	249.994143791	38250.0	41.6666666667
LALL-PD-KC2015-521-Control-0d-HMC-16S_S29_L001_R2_001	90.3895424837	53.0	249.988601307	38250.0	33.3333333333
LALL-PD-KC2015-522-Control-0d-HMC-16S_S30_L001_R1_001	97.8669842959	56.0	249.997989474	118377.0	41.6666666667
LALL-PD-KC2015-522-Control-0d-HMC-16S_S30_L001_R2_001	92.5931557651	53.0	249.993089874	118377.0	33.3333333333
LALL-PD-KC2015-525-Control-10d-HMC-16S_S31_L001_R1_001	97.399390875	53.0	250.994381856	67638.0	33.3333333333
LALL-PD-KC2015-525-Control-10d-HMC-16S_S31_L001_R2_001	93.2523137881	51.0	250.075564032	67638.0	33.3333333333
LALL-PD-KC2015-526-Control-10d-HMC-16S_S32_L001_R1_001	96.8371953805	53.0	250.995210895	40091.0	41.6666666667
LALL-PD-KC2015-526-Control-10d-HMC-16S_S32_L001_R2_001	92.1628295627	51.0	250.082761717	40091.0	41.6666666667
LALL-PD-KC2015-527-Control-10d-HMC-16S_S33_L001_R1_001	96.7578809107	53.0	250.996344133	45680.0	41.6666666667
LALL-PD-KC2015-527-Control-10d-HMC-16S_S33_L001_R2_001	92.1322241681	51.0	250.080188266	45680.0	33.3333333333
LALL-PD-KC2015-530-LH-10d-HMC-16S_S34_L001_R1_001	97.6975633562	53.0	250.99513717	57374.0	33.3333333333
LALL-PD-KC2015-530-LH-10d-HMC-16S_S34_L001_R2_001	93.1101195664	51.0	250.056680726	57374.0	41.6666666667
LALL-PD-KC2015-531-LH-10d-HMC-16S_S35_L001_R1_001	97.7991646464	53.0	250.994406636	68474.0	33.3333333333
LALL-PD-KC2015-531-LH-10d-HMC-16S_S35_L001_R2_001	93.6618278471	51.0	250.060767591	68474.0	41.6666666667
