Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	208.5	45.9313074057	325.75	217.467727491	-0.913695873697	1.0
C	LB500-NO	1491.5	29.5	355.85	84.705917739	15.0319505704	0.441
C	C-LATE	1491.5	29.5	176.133333333	18.2201963644	47.7096439375	1.0
LB500-LATE	LB500-NO	202.925	31.0436285733	355.85	84.705917739	-2.93601956297	0.483
C-LATE	C-NO	176.133333333	18.2201963644	208.5	45.9313074057	-0.975576431727	1.0
C-LATE	LB500-NO	176.133333333	18.2201963644	355.85	84.705917739	-3.05326017755	0.693
C-LATE	LB500-EARLY	176.133333333	18.2201963644	223.975	48.833818968	-1.36463912148	1.0
C-NO	LB500-LATE	208.5	45.9313074057	202.925	31.0436285733	0.174179295516	1.0
C-LATE	C-EARLY	176.133333333	18.2201963644	325.75	217.467727491	-1.00448057154	1.0
C-LATE	LB500-LATE	176.133333333	18.2201963644	202.925	31.0436285733	-1.12621602771	1.0
C-NO	LB500-EARLY	208.5	45.9313074057	223.975	48.833818968	-0.399810435645	1.0
C	C-NO	1491.5	29.5	208.5	45.9313074057	29.3675923645	1.0
C	C-EARLY	1491.5	29.5	325.75	217.467727491	6.16156718881	1.0
C-NO	LB500-NO	208.5	45.9313074057	355.85	84.705917739	-2.64865270753	0.987
C-EARLY	LB500-NO	325.75	217.467727491	355.85	84.705917739	-0.223387660227	1.0
LB500-LATE	LB500-EARLY	202.925	31.0436285733	223.975	48.833818968	-0.630073043361	1.0
LB500-LATE	C-EARLY	202.925	31.0436285733	325.75	217.467727491	-0.968438626385	1.0
C	LB500-LATE	1491.5	29.5	202.925	31.0436285733	39.7828882226	1.0
C	LB500-EARLY	1491.5	29.5	223.975	48.833818968	27.562055268	1.0
LB500-EARLY	LB500-NO	223.975	48.833818968	355.85	84.705917739	-2.33613489165	0.609
LB500-EARLY	C-EARLY	223.975	48.833818968	325.75	217.467727491	-0.790904884013	1.0
