# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-4.47758931084	1.07638451806e-05	0.00468227265357	0.001	0.435
All within treatment	C vs. C	-1.85007280282	[ 0.07327463]	1	0.113	1.000
All within treatment	C-LATE vs. C-LATE	0.218706092118	0.828149331505	1	0.791	1.000
All within treatment	C-NO vs. C-NO	1.03096656809	0.309073972289	1	0.288	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	0.332847676829	0.741078679325	1	0.764	1.000
All within treatment	LB500-LATE vs. LB500-LATE	0.432924724114	0.667516847257	1	0.687	1.000
All within treatment	C-EARLY vs. C-EARLY	-3.07943894387	0.0038415703443	1	0.002	0.870
All within treatment	LB500-NO vs. LB500-NO	0.742050697999	0.462618808303	1	0.501	1.000
All within treatment	C vs. C-LATE	-10.531571053	7.93656254776e-13	3.45240470827e-10	0.001	0.435
All within treatment	C vs. C-NO	-11.1025267098	8.69371669562e-14	3.78176676259e-11	0.001	0.435
All within treatment	C vs. LB500-EARLY	-11.1280277573	8.10716838106e-14	3.52661824576e-11	0.001	0.435
All within treatment	C vs. LB500-LATE	-11.5850074802	2.35193974315e-14	1.02309378827e-11	0.001	0.435
All within treatment	C vs. C-EARLY	-10.6199923295	3.31240309809e-13	1.44089534767e-10	0.001	0.435
All within treatment	C vs. LB500-NO	-9.40395930989	1.10212747489e-11	4.79425451576e-09	0.001	0.435
All within treatment	C-LATE vs. C-NO	-0.920365270009	0.362400596337	1	0.389	1.000
All within treatment	C-LATE vs. LB500-EARLY	-2.39756853812	0.0208148206743	1	0.026	1.000
All within treatment	C-LATE vs. LB500-LATE	-2.21269898307	0.0321532233232	1	0.034	1.000
All within treatment	C-LATE vs. C-EARLY	-3.03295900155	0.00405194479818	1	0.003	1.000
All within treatment	C-LATE vs. LB500-NO	-4.7348353595	2.30262351013e-05	0.0100164122691	0.002	0.870
All within treatment	C-NO vs. LB500-EARLY	-1.63171671925	0.109283684212	1	0.119	1.000
All within treatment	C-NO vs. LB500-LATE	-0.576358958062	0.567065557686	1	0.559	1.000
All within treatment	C-NO vs. C-EARLY	-3.0006956839	0.00426347425938	1	0.004	1.000
All within treatment	C-NO vs. LB500-NO	-1.13613377021	0.261541332591	1	0.268	1.000
All within treatment	LB500-EARLY vs. LB500-LATE	0.311084671056	0.757083268896	1	0.750	1.000
All within treatment	LB500-EARLY vs. C-EARLY	-1.83986436049	0.0719762131902	1	0.080	1.000
All within treatment	LB500-EARLY vs. LB500-NO	-1.29787260342	0.200533475322	1	0.215	1.000
All within treatment	LB500-LATE vs. C-EARLY	-3.28990538386	0.0018823052767	0.818802795363	0.001	0.435
All within treatment	LB500-LATE vs. LB500-NO	-1.01559615028	0.31491377219	1	0.310	1.000
All within treatment	C-EARLY vs. LB500-NO	-4.29755728465	8.39067987864e-05	0.0364994574721	0.002	0.870
All between treatment	C vs. C	-2.03978240448	[ 0.04236368]	1	0.046	1.000
All between treatment	C-LATE vs. C-LATE	1.51371050471	0.131282090499	1	0.105	1.000
All between treatment	C-NO vs. C-NO	2.63996607948	0.00877387597786	1	0.013	1.000
All between treatment	LB500-EARLY vs. LB500-EARLY	2.1590101478	0.0317303509165	1	0.024	1.000
All between treatment	LB500-LATE vs. LB500-LATE	2.22427016519	0.0269573532446	1	0.020	1.000
All between treatment	C-EARLY vs. C-EARLY	-0.424706933704	0.67138856749	1	0.671	1.000
All between treatment	LB500-NO vs. LB500-NO	2.4384382966	0.0153958598365	1	0.012	1.000
All between treatment	C vs. C-LATE	-5.16458751515	4.68439468821e-07	0.000203771168937	0.001	0.435
All between treatment	C vs. C-NO	-5.29187951887	2.49501912152e-07	0.000108533331786	0.001	0.435
All between treatment	C vs. LB500-EARLY	-5.34956409257	1.872250874e-07	8.14429130189e-05	0.001	0.435
All between treatment	C vs. LB500-LATE	-5.57567722468	5.94046291816e-08	2.5841013694e-05	0.001	0.435
All between treatment	C vs. C-EARLY	-5.12404904296	5.67669339085e-07	0.000246936162502	0.001	0.435
All between treatment	C vs. LB500-NO	-4.14715063318	4.50327992523e-05	0.0195892676747	0.001	0.435
All between treatment	C-LATE vs. C-NO	2.08981782594	0.037549517166	1	0.038	1.000
All between treatment	C-LATE vs. LB500-EARLY	0.997018807619	0.319628678303	1	0.338	1.000
All between treatment	C-LATE vs. LB500-LATE	1.18756377047	0.236026334195	1	0.213	1.000
All between treatment	C-LATE vs. C-EARLY	0.137296677794	0.890896399497	1	0.892	1.000
All between treatment	C-LATE vs. LB500-NO	-0.572669571034	0.567334654317	1	0.556	1.000
All between treatment	C-NO vs. LB500-EARLY	1.94806014507	0.0524068316789	1	0.054	1.000
All between treatment	C-NO vs. LB500-LATE	2.75166163832	0.00631629765511	1	0.004	1.000
All between treatment	C-NO vs. C-EARLY	0.703506418287	0.482324785596	1	0.474	1.000
All between treatment	C-NO vs. LB500-NO	2.2983695398	0.0222776590269	1	0.014	1.000
All between treatment	LB500-EARLY vs. LB500-LATE	3.36470691766	0.000873283353888	0.379878258941	0.001	0.435
All between treatment	LB500-EARLY vs. C-EARLY	1.55036621455	0.122183160764	1	0.115	1.000
All between treatment	LB500-EARLY vs. LB500-NO	2.16664152684	0.0311056177178	1	0.025	1.000
All between treatment	LB500-LATE vs. C-EARLY	0.531026729511	0.595821217645	1	0.593	1.000
All between treatment	LB500-LATE vs. LB500-NO	2.40668919292	0.0167455612783	1	0.017	1.000
All between treatment	C-EARLY vs. LB500-NO	0.0311220536441	0.975194373954	1	0.971	1.000
C vs. C	C-LATE vs. C-LATE	-6.855336507	[ 0.02062263]	1	0.251	1.000
C vs. C	C-NO vs. C-NO	-2.3220976803	[ 0.06787596]	1	0.079	1.000
C vs. C	LB500-EARLY vs. LB500-EARLY	-2.60430782872	[ 0.0479988]	1	0.142	1.000
C vs. C	LB500-LATE vs. LB500-LATE	-6.45482472509	[ 0.00132806]	[ 0.57770749]	0.142	1.000
C vs. C	C-EARLY vs. C-EARLY	-2.20933455161	[ 0.07816991]	1	0.132	1.000
C vs. C	LB500-NO vs. LB500-NO	-2.93816456722	[ 0.03232532]	1	0.021	1.000
C vs. C	C vs. C-LATE	-205.038099243	[  5.23624972e-11]	[  2.27776863e-08]	0.140	1.000
C vs. C	C vs. C-NO	-21.3209498212	[  1.25741582e-07]	[  5.46975884e-05]	0.036	1.000
C vs. C	C vs. LB500-EARLY	-15.9980799313	[  9.05383271e-07]	[ 0.00039384]	0.109	1.000
C vs. C	C vs. LB500-LATE	-50.1001434462	[  3.30475658e-10]	[  1.43756911e-07]	0.041	1.000
C vs. C	C vs. C-EARLY	-10.1194979844	[  1.97816735e-05]	[ 0.00860503]	0.122	1.000
C vs. C	C vs. LB500-NO	-17.9081552702	[  4.18060044e-07]	[ 0.00018186]	0.123	1.000
C vs. C	C-LATE vs. C-NO	-4.60602223013	[ 0.00075745]	[ 0.32948864]	0.052	1.000
C vs. C	C-LATE vs. LB500-EARLY	-3.69178960856	[ 0.00355206]	1	0.036	1.000
C vs. C	C-LATE vs. LB500-LATE	-5.08409246415	[ 0.00035271]	[ 0.15343061]	0.003	1.000
C vs. C	C-LATE vs. C-EARLY	-2.11272151009	[ 0.0583012]	1	0.045	1.000
C vs. C	C-LATE vs. LB500-NO	-6.44092343223	[  4.80172829e-05]	[ 0.02088752]	0.046	1.000
C vs. C	C-NO vs. LB500-EARLY	-3.4328242844	[ 0.00369998]	1	0.050	1.000
C vs. C	C-NO vs. LB500-LATE	-5.24257180581	[  9.93376152e-05]	[ 0.04321186]	0.063	1.000
C vs. C	C-NO vs. C-EARLY	-2.65271308691	[ 0.018093]	1	0.038	1.000
C vs. C	C-NO vs. LB500-NO	-3.0333682195	[ 0.008383]	1	0.061	1.000
C vs. C	LB500-EARLY vs. LB500-LATE	-3.03218529147	[ 0.00840324]	1	0.042	1.000
C vs. C	LB500-EARLY vs. C-EARLY	-2.02463519409	[ 0.06108765]	1	0.104	1.000
C vs. C	LB500-EARLY vs. LB500-NO	-2.92375360168	[ 0.01047735]	1	0.072	1.000
C vs. C	LB500-LATE vs. C-EARLY	-2.92304057435	[ 0.01049253]	1	0.059	1.000
C vs. C	LB500-LATE vs. LB500-NO	-3.39950924941	[ 0.00396177]	1	0.036	1.000
C vs. C	C-EARLY vs. LB500-NO	-4.7562572002	[ 0.00025486]	[ 0.11086603]	0.024	1.000
