# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-LATE	LB500-NO
Unassigned;Other	0.00911190320799	0.00190823388682	0.000143150661861	0.000282313085211	0.000257594940178	0.000266800751147	0.000854276754976
k__Bacteria;p__Acidobacteria	0.00035142326422	0.0	0.0	0.0	0.0	0.0	5.11542967052e-05
k__Bacteria;p__Actinobacteria	0.0314021788242	0.00882202158868	0.000193674424871	0.000100826101861	0.000109614868161	0.000123138808222	0.000485965818699
k__Bacteria;p__Armatimonadetes	2.510166173e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.123650785682	0.0562857793854	0.000522078884435	0.00100153927849	0.000602881774884	0.000507947583914	0.00391841912761
k__Bacteria;p__Chloroflexi	0.00010040664692	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.00559767056579	0.790457406511	0.982005119741	0.988425163506	0.940632587404	0.992375655458	0.96087719388
k__Bacteria;p__Fusobacteria	0.0	0.0	4.21031358416e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	2.510166173e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.00035142326422	0.0	0.0	0.0	3.83652038563e-05	0.0	2.04617186821e-05
k__Bacteria;p__Proteobacteria	0.828706260354	0.142526558628	0.0170938731517	0.0101901580281	0.0583425135785	0.00669054191337	0.0337925284034
k__Bacteria;p__Tenericutes	0.0	0.0	0.0	0.0	0.0	3.59154857313e-05	0.0
k__Bacteria;p__Verrucomicrobia	0.00067774486671	0.0	0.0	0.0	1.64422302241e-05	0.0	0.0
