Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
145.extendedFrags	pass	0.0	fail	411.576818022	Sanger / Illumina 1.9	fail	pass	warn	347-440	Conventional base calls	pass	fail	36977.0	pass	fail	fail	54.0	5.70354544717	145.extendedFrags.fastq	fail	pass
146.extendedFrags	pass	0.0	fail	411.22172789	Sanger / Illumina 1.9	warn	pass	warn	323-423	Conventional base calls	pass	warn	33266.0	pass	fail	fail	53.0	6.09330848314	146.extendedFrags.fastq	fail	pass
147.extendedFrags	pass	0.0	fail	412.286430052	Sanger / Illumina 1.9	warn	pass	warn	404-440	Conventional base calls	pass	fail	38121.0	pass	fail	fail	54.0	4.90543270114	147.extendedFrags.fastq	fail	pass
148.extendedFrags	pass	0.0	fail	411.55448138	Sanger / Illumina 1.9	fail	pass	warn	336-424	Conventional base calls	pass	fail	37031.0	pass	fail	fail	54.0	6.23261591639	148.extendedFrags.fastq	fail	pass
150.extendedFrags	pass	0.0	fail	412.930024427	Sanger / Illumina 1.9	fail	pass	warn	402-416	Conventional base calls	pass	fail	47488.0	pass	fail	fail	52.0	1.84467654987	150.extendedFrags.fastq	pass	pass
151.extendedFrags	pass	0.0	fail	411.981293426	Sanger / Illumina 1.9	warn	pass	warn	256-414	Conventional base calls	pass	fail	37420.0	pass	fail	fail	52.0	2.06039551042	151.extendedFrags.fastq	pass	pass
152.extendedFrags	pass	0.0	fail	412.941413486	Sanger / Illumina 1.9	fail	pass	warn	402-439	Conventional base calls	pass	fail	43184.0	pass	fail	fail	52.0	1.89422008151	152.extendedFrags.fastq	pass	pass
153.extendedFrags	pass	0.0	fail	412.923656735	Sanger / Illumina 1.9	fail	pass	warn	400-423	Conventional base calls	pass	fail	39270.0	pass	fail	fail	52.0	2.19251336898	153.extendedFrags.fastq	fail	pass
155.extendedFrags	pass	0.0	fail	412.942337296	Sanger / Illumina 1.9	warn	pass	warn	396-444	Conventional base calls	pass	fail	46772.0	pass	fail	fail	52.0	1.98195501582	155.extendedFrags.fastq	pass	pass
156.extendedFrags	pass	0.0	fail	411.799016008	Sanger / Illumina 1.9	fail	pass	warn	399-421	Conventional base calls	pass	fail	40854.0	pass	fail	fail	52.0	4.6042003231	156.extendedFrags.fastq	pass	pass
157.extendedFrags	pass	0.0	fail	412.880249529	Sanger / Illumina 1.9	fail	pass	warn	404-452	Conventional base calls	pass	warn	42480.0	pass	fail	fail	52.0	2.50470809793	157.extendedFrags.fastq	pass	pass
158.extendedFrags	pass	0.0	fail	411.982325275	Sanger / Illumina 1.9	warn	pass	warn	221-414	Conventional base calls	pass	fail	33381.0	pass	fail	fail	52.0	3.49600071897	158.extendedFrags.fastq	pass	pass
160.extendedFrags	pass	0.0	fail	412.905694706	Sanger / Illumina 1.9	fail	pass	warn	405-414	Conventional base calls	pass	fail	16489.0	pass	fail	fail	52.0	3.34768633635	160.extendedFrags.fastq	pass	pass
161.extendedFrags	pass	0.0	fail	411.960750639	Sanger / Illumina 1.9	warn	pass	warn	332-419	Conventional base calls	pass	fail	47746.0	pass	fail	fail	52.0	2.21170359821	161.extendedFrags.fastq	pass	pass
162.extendedFrags	pass	0.0	fail	412.915248107	Sanger / Illumina 1.9	warn	pass	warn	399-427	Conventional base calls	pass	fail	41474.0	pass	fail	fail	52.0	2.2230795197	162.extendedFrags.fastq	pass	pass
