Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
145.extendedFrags	94.2964545528	54.0	411.576818022	36977.0	50.0
146.extendedFrags	93.9066915169	53.0	411.22172789	33266.0	33.3333333333
147.extendedFrags	95.0945672989	54.0	412.286430052	38121.0	41.6666666667
148.extendedFrags	93.7673840836	54.0	411.55448138	37031.0	50.0
150.extendedFrags	98.1553234501	52.0	412.930024427	47488.0	41.6666666667
151.extendedFrags	97.9396044896	52.0	411.981293426	37420.0	33.3333333333
152.extendedFrags	98.1057799185	52.0	412.941413486	43184.0	41.6666666667
153.extendedFrags	97.807486631	52.0	412.923656735	39270.0	50.0
155.extendedFrags	98.0180449842	52.0	412.942337296	46772.0	33.3333333333
156.extendedFrags	95.3957996769	52.0	411.799016008	40854.0	41.6666666667
157.extendedFrags	97.4952919021	52.0	412.880249529	42480.0	33.3333333333
158.extendedFrags	96.503999281	52.0	411.982325275	33381.0	33.3333333333
160.extendedFrags	96.6523136637	52.0	412.905694706	16489.0	41.6666666667
161.extendedFrags	97.7882964018	52.0	411.960750639	47746.0	33.3333333333
162.extendedFrags	97.7769204803	52.0	412.915248107	41474.0	33.3333333333
163.extendedFrags	97.8670040396	52.0	411.982554268	45054.0	41.6666666667
165.extendedFrags	97.662911084	52.0	413.955047199	52544.0	41.6666666667
166.extendedFrags	97.2951065217	52.0	412.808067103	56749.0	50.0
167.extendedFrags	97.9278814247	52.0	411.985214955	54244.0	33.3333333333
168.extendedFrags	97.9152699294	52.0	411.982600645	62646.0	50.0
170.extendedFrags	97.8664318613	52.0	412.905208616	59056.0	33.3333333333
171.extendedFrags	97.6678588548	52.0	411.986357435	54242.0	41.6666666667
172.extendedFrags	97.3719008264	52.0	411.979090909	48400.0	33.3333333333
173.extendedFrags	97.6656360882	52.0	411.989832548	48193.0	25.0
175.extendedFrags	98.0496844268	52.0	412.931252752	54504.0	41.6666666667
176.extendedFrags	98.0594059406	52.0	413.969324932	55550.0	33.3333333333
177.extendedFrags	97.9285295397	52.0	411.967442916	52861.0	33.3333333333
178.extendedFrags	98.0109884735	52.0	411.977012244	61337.0	33.3333333333
