Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB-AS/90+140	LB-AS/90+140h	131.196352814	0.0	174.047997474	26.9747424886	-1.23051188493	1.0
C/90	C-AS/90	289.482155449	24.8652244896	241.242102275	43.1384929515	1.93767620838	1.0
LB-AS/90+50h	LB-AS/90+140	122.005804314	28.4036737171	131.196352814	0.0	0.264192987908	1.0
LB/90+50h	C/90+50h	119.531989102	13.8254804537	255.81492407	22.8804441896	-10.1958197831	1.0
LB+LP/90+140h	LB-AS/90+140	156.724751188	25.16527784	131.196352814	0.0	-0.828278158555	1.0
C/30	LB-AS/90	322.648416522	26.2538282763	121.750662483	23.9027370392	10.5752585473	0.462
LB/30+120h	LB-AS/90+140h	66.7015476191	7.08053527147	174.047997474	26.9747424886	-6.66687819931	1.0
LB+LP/90	C/30+120h	137.660841136	9.77974617486	171.146218582	30.1820286295	-2.05703670313	1.0
C/90	LB-AS/90+140h	289.482155449	24.8652244896	174.047997474	26.9747424886	5.87666774873	1.0
C/30	LB+LP/30+120h	322.648416522	26.2538282763	71.2195292208	6.29933537376	16.1297777278	1.0
LB+LP/30+120h	LB/90	71.2195292208	6.29933537376	120.086239979	13.79620883	-5.78382947425	1.0
LB/30	C/30+120h	76.0115368659	6.65635090702	171.146218582	30.1820286295	-5.33136329694	1.0
LB+LP/90+50h	LB/90	127.622411567	22.496704018	120.086239979	13.79620883	0.571136392513	1.0
LB+LP/90+140h	LB/30+120h	156.724751188	25.16527784	66.7015476191	7.08053527147	6.11893989116	1.0
LB/90+50h	LB-AS/90	119.531989102	13.8254804537	121.750662483	23.9027370392	-0.160697007011	1.0
LB-AS/90+50h	LB/90	122.005804314	28.4036737171	120.086239979	13.79620883	0.12158008031	1.0
LB/30	LB+LP/90+140h	76.0115368659	6.65635090702	156.724751188	25.16527784	-5.50522137994	0.924
C/90	C-AS/90+140h	289.482155449	24.8652244896	139.923142593	46.8743028478	5.63723823415	1.0
LB/90+140h	C-AS/90+140h	147.707509352	25.8625993048	139.923142593	46.8743028478	0.29081015103	1.0
LB/30+120h	LB+LP/30	66.7015476191	7.08053527147	72.3775501582	9.78193626663	-0.814130975842	1.0
LB+LP/90+140h	C/30+120h	156.724751188	25.16527784	171.146218582	30.1820286295	-0.689239052143	1.0
LB-AS/90+50h	C/30+120h	122.005804314	28.4036737171	171.146218582	30.1820286295	-2.21190799856	1.0
C/30	C/30+120h	322.648416522	26.2538282763	171.146218582	30.1820286295	6.55979001657	1.0
C/90+50h	LB/90	255.81492407	22.8804441896	120.086239979	13.79620883	10.1601032301	1.0
LB/30+120h	C/90+140h	66.7015476191	7.08053527147	180.116366794	32.1853364616	-6.09846886674	1.0
LB-AS/90+140	LB/90+50h	131.196352814	0.0	119.531989102	13.8254804537	0.688866699499	1.0
LB-AS/90+50h	C-AS/90	122.005804314	28.4036737171	241.242102275	43.1384929515	-4.61710899504	0.693
C-AS/90+50h	LB+LP/90+50h	151.250470102	27.4221901681	127.622411567	22.496704018	1.33230670749	1.0
LB/30+120h	LB/90+50h	66.7015476191	7.08053527147	119.531989102	13.8254804537	-6.12773680288	1.0
LB-AS/90+50h	LB+LP/90+50h	122.005804314	28.4036737171	127.622411567	22.496704018	-0.310022438771	1.0
C/90+50h	C-AS/90	255.81492407	22.8804441896	241.242102275	43.1384929515	0.596870423244	1.0
C/30+120h	LB+LP/90+50h	171.146218582	30.1820286295	127.622411567	22.496704018	2.1846144167	1.0
LB-AS/90+140	C/30+120h	131.196352814	0.0	171.146218582	30.1820286295	-1.02528008772	1.0
LB-AS/90+50h	C/90	122.005804314	28.4036737171	289.482155449	24.8652244896	-8.87296419021	1.0
LB/30	LB/30+120h	76.0115368659	6.65635090702	66.7015476191	7.08053527147	1.65931770753	1.0
LB-AS/90+50h	LB/90+50h	122.005804314	28.4036737171	119.531989102	13.8254804537	0.156621363455	1.0
LB-AS/90+50h	C-AS/90+50h	122.005804314	28.4036737171	151.250470102	27.4221901681	-1.48145715029	1.0
LB+LP/90	LB/30+120h	137.660841136	9.77974617486	66.7015476191	7.08053527147	10.7422717479	1.0
C/90	LB+LP/90	289.482155449	24.8652244896	137.660841136	9.77974617486	11.3641539676	1.0
LB/30	LB-AS/90	76.0115368659	6.65635090702	121.750662483	23.9027370392	-3.27512352199	1.0
LB/30	LB-AS/90+140h	76.0115368659	6.65635090702	174.047997474	26.9747424886	-6.11160709223	0.924
LB/30	LB-AS/90+140	76.0115368659	6.65635090702	131.196352814	0.0	6.42183310692	1.0
