Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB-AS/90+140	LB-AS/90+140h	73.3	0.0	90.95	12.4357347994	-1.09938266075	1.0
C/90	C-AS/90	147.62	12.0370095954	128.68	19.9097363117	1.62815629121	1.0
LB-AS/90+50h	LB-AS/90+140	66.66	11.8376686894	73.3	0.0	0.457990288427	1.0
LB/90+50h	C/90+50h	68.22	5.55027927225	137.06	9.34443149689	-12.6678171152	1.0
LB+LP/90+140h	LB-AS/90+140	83.08	10.3590347041	73.3	0.0	-0.77085720722	1.0
C/30	LB-AS/90	176.625	13.8035095175	67.36	10.490872223	11.8955406891	1.0
LB/30+120h	LB-AS/90+140h	37.9	2.1	90.95	12.4357347994	-7.28566066081	1.0
LB+LP/90	C/30+120h	75.52	4.86555238385	101.9	13.6486263045	-3.54066119815	1.0
C/90	LB-AS/90+140h	147.62	12.0370095954	90.95	12.4357347994	6.09890439289	1.0
C/30	LB+LP/30+120h	176.625	13.8035095175	39.925	1.60058583025	17.038815908	1.0
LB+LP/30+120h	LB/90	39.925	1.60058583025	66.12	5.114841151	-8.69893635831	1.0
LB/30	C/30+120h	42.125	4.85096639856	101.9	13.6486263045	-7.147596129	1.0
LB+LP/90+50h	LB/90	65.84	8.7860343728	66.12	5.114841151	-0.0550833291397	1.0
LB+LP/90+140h	LB/30+120h	83.08	10.3590347041	37.9	2.1	7.56938213567	0.693
LB/90+50h	LB-AS/90	68.22	5.55027927225	67.36	10.490872223	0.144920037799	1.0
LB-AS/90+50h	LB/90	66.66	11.8376686894	66.12	5.114841151	0.0837506289488	1.0
LB/30	LB+LP/90+140h	42.125	4.85096639856	83.08	10.3590347041	-6.43201003479	0.462
C/90	C-AS/90+140h	147.62	12.0370095954	78.48	22.7908227144	5.36504765096	1.0
LB/90+140h	C-AS/90+140h	80.86	8.10718200116	78.48	22.7908227144	0.19677688902	1.0
LB/30+120h	LB+LP/30	37.9	2.1	41.3	4.05647630339	-1.28922984272	1.0
LB+LP/90+140h	C/30+120h	83.08	10.3590347041	101.9	13.6486263045	-2.07334332609	1.0
LB-AS/90+50h	C/30+120h	66.66	11.8376686894	101.9	13.6486263045	-3.6553229586	1.0
C/30	C/30+120h	176.625	13.8035095175	101.9	13.6486263045	6.66743050892	1.0
C/90+50h	LB/90	137.06	9.34443149689	66.12	5.114841151	13.3186901732	1.0
LB/30+120h	C/90+140h	37.9	2.1	100.06	20.7340878748	-5.26634228299	1.0
LB-AS/90+140	LB/90+50h	73.3	0.0	68.22	5.55027927225	0.747314221079	1.0
LB-AS/90+50h	C-AS/90	66.66	11.8376686894	128.68	19.9097363117	-5.35507505041	1.0
C-AS/90+50h	LB+LP/90+50h	77.16	16.6272787912	65.84	8.7860343728	1.20387933588	1.0
LB/30+120h	LB/90+50h	37.9	2.1	68.22	5.55027927225	-9.12698394013	1.0
LB-AS/90+50h	LB+LP/90+50h	66.66	11.8376686894	65.84	8.7860343728	0.111247229401	1.0
C/90+50h	C-AS/90	137.06	9.34443149689	128.68	19.9097363117	0.762041788869	1.0
C/30+120h	LB+LP/90+50h	101.9	13.6486263045	65.84	8.7860343728	4.22878573304	1.0
LB-AS/90+140	C/30+120h	73.3	0.0	101.9	13.6486263045	-1.6231277966	1.0
LB-AS/90+50h	C/90	66.66	11.8376686894	147.62	12.0370095954	-9.59097650909	1.0
LB/30	LB/30+120h	42.125	4.85096639856	37.9	2.1	1.38439355222	1.0
LB-AS/90+50h	LB/90+50h	66.66	11.8376686894	68.22	5.55027927225	-0.238637024626	1.0
LB-AS/90+50h	C-AS/90+50h	66.66	11.8376686894	77.16	16.6272787912	-1.02887195621	1.0
LB+LP/90	LB/30+120h	75.52	4.86555238385	37.9	2.1	12.7227011858	0.924
C/90	LB+LP/90	147.62	12.0370095954	75.52	4.86555238385	11.1066702141	1.0
LB/30	LB-AS/90	42.125	4.85096639856	67.36	10.490872223	-3.92068305228	1.0
LB/30	LB-AS/90+140h	42.125	4.85096639856	90.95	12.4357347994	-6.33540180077	1.0
LB/30	LB-AS/90+140	42.125	4.85096639856	73.3	0.0	4.97798772029	1.0
LB-AS/90+140	LB+LP/90+50h	73.3	0.0	65.84	8.7860343728	0.693266636035	1.0
LB/30	C-AS/90+140h	42.125	4.85096639856	78.48	22.7908227144	-2.76395558956	1.0
LB/30	LB/90+140h	42.125	4.85096639856	80.86	8.10718200116	-7.43018514507	0.924
LB/30+120h	C-AS/90+140h	37.9	2.1	78.48	22.7908227144	-3.12996791801	1.0
C/90	LB+LP/90+140h	147.62	12.0370095954	83.08	10.3590347041	8.12806381015	1.0
LB-AS/90+140	C-AS/90	73.3	0.0	128.68	19.9097363117	-2.27112905686	1.0
LB/30	C/90+50h	42.125	4.85096639856	137.06	9.34443149689	-16.2531145169	1.0
