# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Treatment	All between Treatment	-11.1105057805	2.44529031428e-28	7.85696230883e-24	0.001	1.000
All within Treatment	LB-AS/90+50h vs. LB-AS/90+50h	0.887687359721	0.375831269518	1	0.337	1.000
All within Treatment	LB+LP/30 vs. LB+LP/30	0.668098026934	0.504899207782	1	0.494	1.000
All within Treatment	C/90 vs. C/90	0.889582359378	0.374815120517	1	0.349	1.000
All within Treatment	LB/30 vs. LB/30	3.26261180139	0.00131344941365	1	0.002	1.000
All within Treatment	LB+LP/90+140h vs. LB+LP/90+140h	1.13412679511	0.258170246906	1	0.288	1.000
All within Treatment	LB/90+140h vs. LB/90+140h	2.09999739022	0.0370491069382	1	0.042	1.000
All within Treatment	LB+LP/90 vs. LB+LP/90	0.705639094843	0.481276854745	1	0.492	1.000
All within Treatment	LB/30+120h vs. LB/30+120h	1.18745895823	0.236560874301	1	0.229	1.000
All within Treatment	C/30 vs. C/30	1.60399146144	0.110412598607	1	0.112	1.000
All within Treatment	LB/90+50h vs. LB/90+50h	0.446442538451	0.655786010098	1	0.687	1.000
All within Treatment	C/30+120h vs. C/30+120h	-2.09359799988	0.0376514979946	1	0.042	1.000
All within Treatment	C-AS/90+50h vs. C-AS/90+50h	-1.98018956434	0.0491256511828	1	0.042	1.000
All within Treatment	LB-AS/90+140h vs. LB-AS/90+140h	0.589220446424	0.556428369902	1	0.566	1.000
All within Treatment	C-AS/90+140h vs. C-AS/90+140h	-6.39360082617	1.22522447162e-09	3.93676874978e-05	0.001	1.000
All within Treatment	C/90+140h vs. C/90+140h	-3.41368775993	0.000783341107236	1	0.004	1.000
All within Treatment	LB+LP/90+50h vs. LB+LP/90+50h	0.441232883364	0.659546098784	1	0.678	1.000
All within Treatment	LB+LP/30+120h vs. LB+LP/30+120h	1.4095455691	0.160343716289	1	0.146	1.000
All within Treatment	C/90+50h vs. C/90+50h	-1.35682303517	0.176447264105	1	0.185	1.000
All within Treatment	C-AS/90 vs. C-AS/90	-0.272376719764	0.785628147344	1	0.798	1.000
All within Treatment	LB-AS/90 vs. LB-AS/90	-0.146431921727	0.883735677707	1	0.884	1.000
All within Treatment	LB/90 vs. LB/90	1.93014178341	0.0550783025791	1	0.054	1.000
All within Treatment	LB-AS/90+50h vs. LB+LP/30	-1.80670209706	0.0723118043103	1	0.089	1.000
All within Treatment	LB-AS/90+50h vs. C/90	-8.22276062526	2.2556040828e-14	7.24748147846e-10	0.001	1.000
All within Treatment	LB-AS/90+50h vs. LB/30	1.44614257128	0.149702496263	1	0.162	1.000
All within Treatment	LB-AS/90+50h vs. LB+LP/90+140h	0.634490127456	0.526468437835	1	0.521	1.000
All within Treatment	LB-AS/90+50h vs. LB-AS/90+140	1.953105072	0.0523155155032	1	0.051	1.000
All within Treatment	LB-AS/90+50h vs. LB/90+140h	1.52196301451	0.12955934641	1	0.141	1.000
All within Treatment	LB-AS/90+50h vs. LB+LP/90	1.90009966028	0.0588234877762	1	0.060	1.000
All within Treatment	LB-AS/90+50h vs. LB/30+120h	-1.57760480007	0.116236789216	1	0.125	1.000
All within Treatment	LB-AS/90+50h vs. C/30	-7.59463397961	1.15861491192e-12	3.7227455735e-08	0.001	1.000
All within Treatment	LB-AS/90+50h vs. LB/90+50h	1.23960151454	0.216539991873	1	0.200	1.000
All within Treatment	LB-AS/90+50h vs. C/30+120h	-11.0445951942	1.89620842582e-22	6.09270729302e-18	0.001	1.000
All within Treatment	LB-AS/90+50h vs. C-AS/90+50h	-3.16042375157	0.0018139204361	1	0.003	1.000
All within Treatment	LB-AS/90+50h vs. LB-AS/90+140h	0.813978985676	0.416625051741	1	0.436	1.000
All within Treatment	LB-AS/90+50h vs. C-AS/90+140h	-14.6631861496	9.11418853035e-34	2.92847991669e-29	0.001	1.000
All within Treatment	LB-AS/90+50h vs. C/90+140h	-12.5036801092	4.93030648612e-27	1.58415677706e-22	0.001	1.000
All within Treatment	LB-AS/90+50h vs. LB+LP/90+50h	1.7026203683	0.0901548504227	1	0.075	1.000
All within Treatment	LB-AS/90+50h vs. LB+LP/30+120h	-0.621361965962	0.535069058393	1	0.529	1.000
All within Treatment	LB-AS/90+50h vs. C/90+50h	-6.01573037353	8.11667427436e-09	0.00026079686111	0.001	1.000
All within Treatment	LB-AS/90+50h vs. C-AS/90	-4.90355122739	1.9122918783e-06	0.0614438503416	0.001	1.000
All within Treatment	LB-AS/90+50h vs. LB-AS/90	0.366780110437	0.714161346421	1	0.714	1.000
All within Treatment	LB-AS/90+50h vs. LB/90	2.70864500009	0.00732696522655	1	0.007	1.000
All within Treatment	LB+LP/30 vs. C/90	-11.3445415156	2.36823915439e-23	7.60938922696e-19	0.001	1.000
All within Treatment	LB+LP/30 vs. LB/30	2.93586578075	0.00372393348763	1	0.005	1.000
All within Treatment	LB+LP/30 vs. LB+LP/90+140h	-3.14084436407	0.00194007982289	1	0.002	1.000
All within Treatment	LB+LP/30 vs. LB-AS/90+140	-0.341677727461	0.732983338109	1	0.707	1.000
All within Treatment	LB+LP/30 vs. LB/90+140h	-1.85544579078	0.0650040766998	1	0.046	1.000
All within Treatment	LB+LP/30 vs. LB+LP/90	-2.88755635024	0.00430959813133	1	0.004	1.000
All within Treatment	LB+LP/30 vs. LB/30+120h	1.63572700506	0.103501577486	1	0.118	1.000
All within Treatment	LB+LP/30 vs. C/30	-10.3042159887	3.58022274686e-20	1.15036137079e-15	0.001	1.000
All within Treatment	LB+LP/30 vs. LB/90+50h	-2.52764666375	0.0122563035906	1	0.009	1.000
All within Treatment	LB+LP/30 vs. C/30+120h	-9.68574413042	2.23442747279e-18	7.17943891284e-14	0.001	1.000
All within Treatment	LB+LP/30 vs. C-AS/90+50h	-5.1216948123	7.1006985015e-07	0.0228152543552	0.001	1.000
All within Treatment	LB+LP/30 vs. LB-AS/90+140h	-3.3222777211	0.00106517182451	1	0.004	1.000
All within Treatment	LB+LP/30 vs. C-AS/90+140h	-12.8394490399	6.48955342982e-28	2.08515841253e-23	0.001	1.000
All within Treatment	LB+LP/30 vs. C/90+140h	-12.0474852609	1.73500722173e-25	5.57475170414e-21	0.001	1.000
All within Treatment	LB+LP/30 vs. LB+LP/90+50h	-1.72221636213	0.0865762852521	1	0.078	1.000
All within Treatment	LB+LP/30 vs. LB+LP/30+120h	0.526519817352	0.599122411967	1	0.578	1.000
All within Treatment	LB+LP/30 vs. C/90+50h	-9.99265441082	2.497981811e-19	8.02626535694e-15	0.001	1.000
All within Treatment	LB+LP/30 vs. C-AS/90	-8.77940143665	7.34715034046e-16	2.36071287589e-11	0.001	1.000
All within Treatment	LB+LP/30 vs. LB-AS/90	-3.23299336096	0.00143291186535	1	0.008	1.000
All within Treatment	LB+LP/30 vs. LB/90	0.506945039128	0.612751851476	1	0.623	1.000
All within Treatment	C/90 vs. LB/30	-9.85921403695	6.12025621089e-19	1.96649952312e-14	0.001	1.000
All within Treatment	C/90 vs. LB+LP/90+140h	-6.11128903164	4.90378921265e-09	0.000157563651192	0.001	1.000
All within Treatment	C/90 vs. LB-AS/90+140	-2.11209265789	0.036020638864	1	0.041	1.000
All within Treatment	C/90 vs. LB/90+140h	-5.90706749754	1.43052666773e-08	0.000459642523609	0.001	1.000
All within Treatment	C/90 vs. LB+LP/90	-7.51004784152	1.78662502307e-12	5.74060486162e-08	0.001	1.000
All within Treatment	C/90 vs. LB/30+120h	-11.9579962874	3.25310396484e-25	1.04525483494e-20	0.001	1.000
All within Treatment	C/90 vs. C/30	-3.35434043475	0.000951682113987	1	0.003	1.000
All within Treatment	C/90 vs. LB/90+50h	-6.69690777909	2.00573437003e-10	6.44462510436e-06	0.001	1.000
All within Treatment	C/90 vs. C/30+120h	-13.1596398091	6.71060002026e-29	2.15618289251e-24	0.001	1.000
All within Treatment	C/90 vs. C-AS/90+50h	-8.79337989028	5.95045881386e-16	1.91194192148e-11	0.001	1.000
All within Treatment	C/90 vs. LB-AS/90+140h	-5.41088752995	1.7823307202e-07	0.00572680683709	0.001	1.000
All within Treatment	C/90 vs. C-AS/90+140h	-18.042699245	3.32296380167e-44	1.06770149911e-39	0.001	1.000
All within Treatment	C/90 vs. C/90+140h	-12.8210907278	5.09884909203e-28	1.63831120176e-23	0.001	1.000
All within Treatment	C/90 vs. LB+LP/90+50h	-7.26600876908	7.60730955833e-12	2.44430463419e-07	0.001	1.000
All within Treatment	C/90 vs. LB+LP/30+120h	-10.4303359478	1.28812518269e-20	4.1388750245e-16	0.001	1.000
All within Treatment	C/90 vs. C/90+50h	-1.52197332612	0.129556763434	1	0.125	1.000
All within Treatment	C/90 vs. C-AS/90	-0.678639373179	0.498131775624	1	0.496	1.000
All within Treatment	C/90 vs. LB-AS/90	-7.07852519325	2.273717206e-11	7.30568075459e-07	0.001	1.000
All within Treatment	C/90 vs. LB/90	-8.62480325226	1.76150435837e-15	5.65988965389e-11	0.001	1.000
All within Treatment	LB/30 vs. LB+LP/90+140h	-0.985059737708	0.32578489871	1	0.305	1.000
All within Treatment	LB/30 vs. LB-AS/90+140	1.13635061563	0.257287683912	1	0.272	1.000
All within Treatment	LB/30 vs. LB/90+140h	0.160349307767	0.872767757603	1	0.884	1.000
