# Constructed from biom file
#OTU ID	C-AS/90	C-AS/90+50h	C-AS/90+140h	C/30	C/30+120h	C/90	C/90+50h	C/90+140h	LB+LP/30	LB+LP/30+120h	LB+LP/90	LB+LP/90+50h	LB+LP/90+140h	LB-AS/90	LB-AS/90+50h	LB-AS/90+140	LB-AS/90+140h	LB/30	LB/30+120h	LB/90	LB/90+50h	LB/90+140h
Unassigned;Other	0.000996545017933	0.000374953130859	0.000161353525575	0.00340382245349	0.00019727756954	0.00315138685078	0.00256725401457	0.000171276869059	0.000311862468651	0.000200846232125	0.000628418291432	0.000488745640917	0.00116844750805	0.000633747029311	0.000505912112477	0.000588622277622	0.00094478889873	0.000356278669299	0.000219002501239	0.00050482238223	0.000563919331802	0.000890743528797
k__Bacteria;Other	2.19503307915e-05	8.33229179686e-06	0.0	0.000156497584069	0.0	3.36789434434e-05	3.44597854304e-05	0.0	2.59885390543e-05	0.0	1.21629346729e-05	1.76124555285e-05	7.3487264657e-06	4.40102103688e-06	1.76480969469e-05	0.0	4.4286979628e-05	1.48449445541e-05	3.45793423009e-05	1.89782850463e-05	0.0	2.42049871956e-05
k__Bacteria;p__Actinobacteria	0.0	1.66645835937e-05	0.00463315123435	0.000176059782077	0.00177549812586	3.36789434434e-05	7.46628684325e-05	0.000642288258971	5.19770781086e-05	0.0	4.05431155763e-05	4.40311388214e-06	4.40923587942e-05	1.32030631106e-05	1.17653979646e-05	0.0	0.0	1.48449445541e-05	0.0	0.000390952671953	8.32012128888e-05	4.84099743911e-06
k__Bacteria;p__Armatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21629346729e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	7.4631124691e-05	9.16552097654e-05	6.91515109605e-05	0.0	0.0	7.69804421564e-05	0.000103379356291	0.0	0.0	0.0	1.62172462305e-05	0.0	7.3487264657e-06	5.72132734794e-05	0.0	0.0	1.47623265427e-05	0.0	0.0	3.41609130833e-05	0.0	4.84099743911e-06
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	1.92451105391e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5182628037e-05	0.0	0.0
k__Bacteria;p__Firmicutes	0.722758541971	0.902462192226	0.989973030911	0.663471507659	0.993726573289	0.563761456855	0.419651266971	0.98137364049	0.989682549995	0.988136682556	0.931530786415	0.916974884638	0.867590646541	0.919043218027	0.873174892641	0.91832000277	0.817559787423	0.986906758903	0.988300655855	0.950204775696	0.919798653065	0.894829330635
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.000352119564154	0.0	1.92451105391e-05	0.0	0.0	0.0	0.0	4.05431155763e-06	0.0	0.0	0.0	1.76480969469e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.000368808058456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.20461793971e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.276148331555	0.097046202558	0.00479450475993	0.332439992958	0.00430065101598	0.432904327744	0.577568977004	0.0178127943821	0.00992762191873	0.011662471212	0.0677313288817	0.0825143541513	0.13116006996	0.0802482175865	0.126272133655	0.0810913749524	0.181436374373	0.0127072725383	0.0114457623016	0.048831127424	0.0795542263905	0.104246038854
k__Bacteria;p__[Thermi]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43258693458e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
