Sample	Top over-represented sequence	Sum of remaining over-represented sequences
1016.extendedFrags	36.9236883943	53.1582487465
1017.extendedFrags	37.3078317235	52.3998379496
1018.extendedFrags	33.693518729	55.4699283073
1019.extendedFrags	29.6974256102	59.4888833166
1020.extendedFrags	21.4480639213	68.196681008
1021.extendedFrags	49.2553336514	41.9228409788
1022.extendedFrags	50.1897533207	40.7881790709
1023.extendedFrags	49.4528829278	41.106368226
1024.extendedFrags	52.4254597574	38.9224216242
1025.extendedFrags	52.1213377557	39.2643265156
1026.extendedFrags	51.1550023201	40.0831198176
1027.extendedFrags	48.4176327985	42.980358527
1028.extendedFrags	52.580301768	38.3967416458
1029.extendedFrags	48.8420735269	42.2129680228
1030.extendedFrags	46.848495212	44.316005472
1031.extendedFrags	39.4225294835	51.1346075641
1032.extendedFrags	48.4839156534	42.5765738033
1033.extendedFrags	50.1476356265	41.4040809131
1034.extendedFrags	51.8639135255	40.0914634146
1035.extendedFrags	48.294495103	43.1442080378
1036.extendedFrags	52.6948140103	38.6946782514
1037.extendedFrags	55.3316467475	36.4331617668
1038.extendedFrags	44.0350179069	46.7190608834
1039.extendedFrags	48.2514285714	42.3571428571
1040.extendedFrags	43.1510936439	47.815798679
1138.extendedFrags	36.3257454312	54.947098429
1139.extendedFrags	40.8416833667	50.4876419506
1140.extendedFrags	42.6141148728	48.4588175846
1141.extendedFrags	34.1367080445	56.6903111398
1142.extendedFrags	35.8434586041	54.4998587172
1143.extendedFrags	47.7939486109	43.1095156413
1144.extendedFrags	46.7343772041	44.2022852306
1145.extendedFrags	49.670150618	41.1795095974
1146.extendedFrags	45.9090909091	44.5947684391
1147.extendedFrags	42.1228324126	48.701663171
1148.extendedFrags	38.8204778157	50.9187713311
1149.extendedFrags	44.1038692782	46.8333886614
1150.extendedFrags	45.2648205404	45.5672805485
1151.extendedFrags	39.8580573337	51.0687447815
1152.extendedFrags	36.6795132461	53.9890146572
1153.extendedFrags	46.2927093825	45.8665840242
1154.extendedFrags	49.2878871681	42.3603429204
1155.extendedFrags	45.0927835052	47.5670103093
1156.extendedFrags	43.129888054	47.7457445177
1157.extendedFrags	35.68359375	54.39453125
1158.extendedFrags	44.1557674707	47.2321454932
1159.extendedFrags	46.5459459459	44.9513513514
1160.extendedFrags	38.8014184397	51.3380614657
1161.extendedFrags	37.2659828719	52.7235610436
1162.extendedFrags	36.7395736327	53.7967833682
424.extendedFrags	41.9178082192	48.8184931507
425.extendedFrags	37.7652456509	50.3918944752
426.extendedFrags	43.2411288069	47.2757753562
427.extendedFrags	42.3719832362	47.4059444097
429.extendedFrags	21.3528647135	67.0382961704
430.extendedFrags	27.4760383387	61.3160878079
431.extendedFrags	16.9141630901	71.9656652361
432.extendedFrags	12.8981940449	75.2192450345
434.extendedFrags	49.6435954095	42.1448428256
435.extendedFrags	48.2712901581	43.799082101
436.extendedFrags	49.1774018314	42.6121372032
437.extendedFrags	49.7860606637	41.4154860385
439.extendedFrags	48.3722246937	42.0269341206
440.extendedFrags	49.419725551	41.5907458511
441.extendedFrags	49.5244011337	42.5360096285
442.extendedFrags	49.1566688419	42.9019627529
447.extendedFrags	25.2481806138	64.3763271084
448.extendedFrags	28.9862032026	61.0088100031
449.extendedFrags	27.9258306275	62.4680920582
450.extendedFrags	23.1770348296	66.5370646303
451.extendedFrags	22.0018851508	67.7222302784
452.extendedFrags	53.1537237803	37.9124440255
453.extendedFrags	49.0529400342	42.618581087
454.extendedFrags	49.3054979339	41.8145007385
455.extendedFrags	51.2318413038	40.5080448406
456.extendedFrags	50.3061915059	41.48688576
457.extendedFrags	47.0299249075	44.1625882617
458.extendedFrags	49.3363741728	42.3281115639
459.extendedFrags	50.3103329026	41.4098760489
460.extendedFrags	50.6546046248	40.5839939093
461.extendedFrags	47.0473773266	44.2605752961
757.extendedFrags	38.8686996366	50.6047997753
758.extendedFrags	36.8888975732	53.2240415804
759.extendedFrags	24.4683255951	65.352044099
760.extendedFrags	31.6071554087	57.7212342729
761.extendedFrags	26.8942739737	62.6368140098
762.extendedFrags	49.808561433	41.2951757481
763.extendedFrags	52.5143745144	38.9324009324
764.extendedFrags	45.9769095714	44.4588291628
765.extendedFrags	47.1073781768	44.3583616924
766.extendedFrags	50.9867212512	40.0934236078
831.extendedFrags	34.9587702331	55.9706810547
832.extendedFrags	37.2201257862	53.8238993711
833.extendedFrags	45.4873429138	45.186699537
834.extendedFrags	36.4542207182	53.7131039669
836.extendedFrags	49.4863417427	42.3624911583
837.extendedFrags	49.5599594783	42.4623274661
838.extendedFrags	49.7487437186	42.1446856926
839.extendedFrags	52.4499763668	39.5021269891
841.extendedFrags	53.0135301353	38.9667896679
842.extendedFrags	53.2843506657	38.8030645566
843.extendedFrags	51.7345399698	40.4977375566
844.extendedFrags	52.5747708635	39.2938977328
