Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
1016.extendedFrags	pass	0.0	fail	412.264675309	Sanger / Illumina 1.9	fail	pass	warn	404-423	Conventional base calls	pass	fail	32708.0	pass	fail	fail	54.0	3.72997431821	1016.extendedFrags.fastq	fail	pass
1017.extendedFrags	pass	0.0	fail	413.976758566	Sanger / Illumina 1.9	warn	pass	warn	81-428	Conventional base calls	pass	fail	46899.0	pass	fail	fail	54.0	3.41585108424	1017.extendedFrags.fastq	fail	pass
1018.extendedFrags	pass	0.0	fail	411.931654305	Sanger / Illumina 1.9	fail	pass	warn	395-451	Conventional base calls	pass	fail	48401.0	pass	fail	fail	54.0	3.43174727795	1018.extendedFrags.fastq	fail	pass
1019.extendedFrags	pass	0.0	fail	411.939317954	Sanger / Illumina 1.9	fail	pass	warn	370-425	Conventional base calls	pass	fail	47856.0	pass	fail	fail	53.0	3.49381477767	1019.extendedFrags.fastq	fail	pass
1020.extendedFrags	pass	0.0	fail	413.971161647	Sanger / Illumina 1.9	fail	pass	warn	81-431	Conventional base calls	pass	fail	40675.0	pass	fail	fail	53.0	4.10571604179	1020.extendedFrags.fastq	fail	pass
1021.extendedFrags	pass	0.0	fail	411.984868107	Sanger / Illumina 1.9	warn	pass	warn	403-452	Conventional base calls	pass	fail	58684.0	pass	fail	fail	53.0	2.39588303456	1021.extendedFrags.fastq	fail	pass
1022.extendedFrags	pass	0.0	fail	411.984064235	Sanger / Illumina 1.9	fail	pass	warn	220-450	Conventional base calls	pass	fail	56916.0	pass	fail	fail	53.0	2.64249068803	1022.extendedFrags.fastq	fail	pass
1023.extendedFrags	pass	0.0	fail	411.985395766	Sanger / Illumina 1.9	fail	pass	warn	220-430	Conventional base calls	pass	fail	46151.0	pass	fail	fail	53.0	2.85800957726	1023.extendedFrags.fastq	fail	pass
1024.extendedFrags	pass	0.0	fail	411.97401942	Sanger / Illumina 1.9	fail	pass	warn	220-450	Conventional base calls	pass	fail	49537.0	pass	fail	fail	53.0	2.45473080728	1024.extendedFrags.fastq	pass	pass
1025.extendedFrags	pass	0.0	fail	411.985857748	Sanger / Illumina 1.9	warn	pass	warn	250-421	Conventional base calls	pass	fail	43416.0	pass	fail	fail	53.0	2.63036668509	1025.extendedFrags.fastq	pass	pass
1026.extendedFrags	pass	0.0	fail	412.868622269	Sanger / Illumina 1.9	fail	pass	warn	404-428	Conventional base calls	pass	fail	49567.0	pass	fail	fail	53.0	2.58841567979	1026.extendedFrags.fastq	fail	pass
1027.extendedFrags	pass	0.0	fail	412.847617791	Sanger / Illumina 1.9	warn	pass	warn	400-423	Conventional base calls	pass	fail	60637.0	pass	fail	fail	53.0	2.31871629533	1027.extendedFrags.fastq	fail	pass
1028.extendedFrags	pass	0.0	fail	411.985420716	Sanger / Illumina 1.9	warn	pass	warn	220-419	Conventional base calls	pass	fail	43212.0	pass	fail	fail	53.0	2.67518281959	1028.extendedFrags.fastq	pass	pass
1029.extendedFrags	pass	0.0	fail	412.853398406	Sanger / Illumina 1.9	fail	pass	warn	402-442	Conventional base calls	pass	fail	53069.0	pass	fail	fail	53.0	2.61169420943	1029.extendedFrags.fastq	fail	pass
1030.extendedFrags	pass	0.0	fail	412.813320793	Sanger / Illumina 1.9	fail	pass	warn	403-423	Conventional base calls	pass	fail	58480.0	pass	fail	fail	53.0	2.49316005472	1030.extendedFrags.fastq	fail	pass
1031.extendedFrags	pass	0.0	fail	411.986851023	Sanger / Illumina 1.9	warn	pass	warn	220-423	Conventional base calls	pass	fail	36885.0	pass	fail	fail	53.0	3.21539921377	1031.extendedFrags.fastq	fail	pass
1032.extendedFrags	pass	0.0	fail	411.979836848	Sanger / Illumina 1.9	fail	pass	warn	220-423	Conventional base calls	pass	warn	32485.0	pass	fail	fail	52.0	3.11836232107	1032.extendedFrags.fastq	pass	pass
1033.extendedFrags	pass	0.0	fail	412.91613415	Sanger / Illumina 1.9	warn	pass	warn	403-423	Conventional base calls	pass	fail	22691.0	pass	fail	fail	52.0	2.96152659645	1033.extendedFrags.fastq	pass	pass
1034.extendedFrags	pass	0.0	fail	412.881478659	Sanger / Illumina 1.9	warn	pass	warn	405-435	Conventional base calls	pass	warn	28864.0	pass	fail	fail	52.0	2.8616962306	1034.extendedFrags.fastq	fail	pass
1035.extendedFrags	pass	0.0	fail	411.975177305	Sanger / Illumina 1.9	fail	pass	warn	256-422	Conventional base calls	pass	fail	17766.0	pass	fail	fail	52.0	3.81064955533	1035.extendedFrags.fastq	fail	pass
1036.extendedFrags	pass	0.0	fail	412.859285908	Sanger / Illumina 1.9	warn	pass	warn	404-433	Conventional base calls	pass	fail	29464.0	pass	fail	fail	53.0	2.97311973934	1036.extendedFrags.fastq	pass	pass
1037.extendedFrags	pass	0.0	fail	411.989531536	Sanger / Illumina 1.9	warn	pass	warn	267-424	Conventional base calls	pass	fail	34389.0	pass	fail	fail	53.0	2.56768152607	1037.extendedFrags.fastq	fail	pass
1038.extendedFrags	pass	0.0	fail	412.756884202	Sanger / Illumina 1.9	warn	pass	warn	403-423	Conventional base calls	pass	fail	50260.0	pass	fail	fail	53.0	2.57461201751	1038.extendedFrags.fastq	fail	pass
1039.extendedFrags	pass	0.0	fail	411.965142857	Sanger / Illumina 1.9	warn	pass	warn	190-418	Conventional base calls	pass	fail	35000.0	pass	fail	fail	53.0	3.04285714286	1039.extendedFrags.fastq	pass	pass
1040.extendedFrags	pass	0.0	fail	411.992489557	Sanger / Illumina 1.9	warn	pass	warn	267-423	Conventional base calls	pass	fail	48599.0	pass	fail	fail	53.0	2.53914689603	1040.extendedFrags.fastq	fail	pass
1138.extendedFrags	pass	0.0	fail	412.907662712	Sanger / Illumina 1.9	fail	pass	warn	402-420	Conventional base calls	pass	fail	15595.0	pass	fail	fail	52.0	4.57839050978	1138.extendedFrags.fastq	pass	pass
1139.extendedFrags	pass	0.0	fail	411.942284569	Sanger / Illumina 1.9	fail	pass	warn	256-421	Conventional base calls	pass	fail	7485.0	pass	fail	fail	52.0	6.17234468938	1139.extendedFrags.fastq	pass	pass
1140.extendedFrags	pass	0.0	fail	411.924877884	Sanger / Illumina 1.9	fail	pass	warn	81-414	Conventional base calls	pass	fail	5937.0	pass	fail	fail	52.0	6.85531413172	1140.extendedFrags.fastq	pass	pass
1141.extendedFrags	pass	0.0	fail	412.92382718	Sanger / Illumina 1.9	fail	pass	warn	403-429	Conventional base calls	pass	fail	12406.0	pass	fail	fail	52.0	5.14267290021	1141.extendedFrags.fastq	fail	pass
1142.extendedFrags	pass	0.0	fail	411.970542526	Sanger / Illumina 1.9	fail	pass	warn	220-421	Conventional base calls	pass	fail	14156.0	pass	fail	fail	52.0	5.37581237638	1142.extendedFrags.fastq	fail	pass
1143.extendedFrags	pass	0.0	fail	412.845019364	Sanger / Illumina 1.9	fail	pass	warn	402-433	Conventional base calls	pass	fail	56549.0	pass	fail	fail	53.0	2.61719924313	1143.extendedFrags.fastq	fail	pass
1144.extendedFrags	pass	0.0	fail	412.815700381	Sanger / Illumina 1.9	fail	pass	warn	402-449	Conventional base calls	pass	fail	56712.0	pass	fail	fail	53.0	2.58322753562	1144.extendedFrags.fastq	fail	pass
