# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-3.68000421373	0.000270071816325	0.117481240102	0.002	0.870
All within treatment	C vs. C	-3.46550685894	0.00127768855266	0.555794520405	0.007	1.000
All within treatment	C-LATE vs. C-LATE	1.23330105976	0.224162993796	1	0.209	1.000
All within treatment	C-NO vs. C-NO	1.40525645779	0.167128983312	1	0.099	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	1.02289273918	0.312079025935	1	0.433	1.000
All within treatment	LB500-LATE vs. LB500-LATE	1.4320261242	0.159365804505	1	0.093	1.000
All within treatment	C-EARLY vs. C-EARLY	-3.23652228238	0.0023315638624	1	0.005	1.000
All within treatment	LB500-NO vs. LB500-NO	0.81456433185	0.419810261096	1	0.475	1.000
All within treatment	C vs. C-LATE	-16.2289960202	2.3997185283e-21	1.04387755981e-18	0.001	0.435
All within treatment	C vs. C-NO	-16.0586808557	3.71388738318e-21	1.61554101168e-18	0.001	0.435
All within treatment	C vs. LB500-EARLY	-13.7129669107	2.13376678486e-18	9.28188551414e-16	0.001	0.435
All within treatment	C vs. LB500-LATE	-13.7976016451	1.67734162757e-18	7.29643607992e-16	0.001	0.435
All within treatment	C vs. C-EARLY	-13.9883963313	9.78124718775e-19	4.25484252667e-16	0.001	0.435
All within treatment	C vs. LB500-NO	-13.6207782558	2.77613354834e-18	1.20761809353e-15	0.001	0.435
All within treatment	C-LATE vs. C-NO	2.16011952933	0.0353055875248	1	0.033	1.000
All within treatment	C-LATE vs. LB500-EARLY	-0.684505457078	0.496638537979	1	0.506	1.000
All within treatment	C-LATE vs. LB500-LATE	-0.410488992365	0.68310207889	1	0.655	1.000
All within treatment	C-LATE vs. C-EARLY	-2.81093568036	0.0069080485048	1	0.005	1.000
All within treatment	C-LATE vs. LB500-NO	-0.414244936228	0.680366502185	1	0.682	1.000
All within treatment	C-NO vs. LB500-EARLY	-0.645892474754	0.521135849021	1	0.486	1.000
All within treatment	C-NO vs. LB500-LATE	-0.167602908466	0.867533575913	1	0.883	1.000
All within treatment	C-NO vs. C-EARLY	-2.76080376596	0.00790303422639	1	0.016	1.000
All within treatment	C-NO vs. LB500-NO	-0.16361624534	0.870655587301	1	0.857	1.000
All within treatment	LB500-EARLY vs. LB500-LATE	1.57638820052	0.120887212763	1	0.117	1.000
All within treatment	LB500-EARLY vs. C-EARLY	-1.93374089091	0.0584931427528	1	0.060	1.000
All within treatment	LB500-EARLY vs. LB500-NO	1.27733522088	0.207051245727	1	0.221	1.000
All within treatment	LB500-LATE vs. C-EARLY	-2.18980170764	0.0329616006212	1	0.037	1.000
All within treatment	LB500-LATE vs. LB500-NO	1.61527086646	0.112190189006	1	0.127	1.000
All within treatment	C-EARLY vs. LB500-NO	-2.21102049063	0.0313710107549	1	0.025	1.000
All between treatment	C vs. C	-0.887801347404	0.375329319196	1	0.438	1.000
All between treatment	C-LATE vs. C-LATE	2.13689355086	0.0333742590764	1	0.029	1.000
All between treatment	C-NO vs. C-NO	2.22989567693	0.0264565865854	1	0.032	1.000
All between treatment	LB500-EARLY vs. LB500-EARLY	2.02286028316	0.0439293498572	1	0.033	1.000
All between treatment	LB500-LATE vs. LB500-LATE	2.24435225167	0.025501552781	1	0.021	1.000
All between treatment	C-EARLY vs. C-EARLY	-0.371954811919	0.710175795146	1	0.720	1.000
All between treatment	LB500-NO vs. LB500-NO	1.91028672755	0.0570012810922	1	0.031	1.000
All between treatment	C vs. C-LATE	-6.76048446981	6.47138229673e-11	2.81505129908e-08	0.001	0.435
All between treatment	C vs. C-NO	-6.66776134306	1.13028107928e-10	4.91672269486e-08	0.001	0.435
All between treatment	C vs. LB500-EARLY	-5.39635549984	1.320946818e-07	5.74611865831e-05	0.001	0.435
All between treatment	C vs. LB500-LATE	-5.43583411007	1.07910035229e-07	4.69408653248e-05	0.001	0.435
All between treatment	C vs. C-EARLY	-5.64487808352	3.62927653545e-08	1.57873529292e-05	0.001	0.435
All between treatment	C vs. LB500-NO	-5.3809903798	1.42867078989e-07	6.21471793603e-05	0.001	0.435
All between treatment	C-LATE vs. C-NO	3.56439339677	0.000419215174023	0.1823586007	0.003	1.000
All between treatment	C-LATE vs. LB500-EARLY	2.02605547138	0.0435731353985	1	0.049	1.000
All between treatment	C-LATE vs. LB500-LATE	2.17610159859	0.0302653199856	1	0.032	1.000
All between treatment	C-LATE vs. C-EARLY	0.492781955794	0.622498399104	1	0.649	1.000
All between treatment	C-LATE vs. LB500-NO	2.17175964128	0.0305944016029	1	0.033	1.000
All between treatment	C-NO vs. LB500-EARLY	2.04734445698	0.0414254739283	1	0.036	1.000
All between treatment	C-NO vs. LB500-LATE	2.30727579969	0.0216656088764	1	0.026	1.000
All between treatment	C-NO vs. C-EARLY	0.526241665315	0.599078131488	1	0.604	1.000
All between treatment	C-NO vs. LB500-NO	2.30796915609	0.0216265200743	1	0.020	1.000
All between treatment	LB500-EARLY vs. LB500-LATE	3.25063742916	0.00127173072634	0.553202865958	0.001	0.435
All between treatment	LB500-EARLY vs. C-EARLY	1.21567534866	0.224988217485	1	0.242	1.000
All between treatment	LB500-EARLY vs. LB500-NO	3.09005494484	0.00217354136184	0.945490492402	0.002	0.870
All between treatment	LB500-LATE vs. C-EARLY	1.05582574696	0.291829648107	1	0.290	1.000
All between treatment	LB500-LATE vs. LB500-NO	3.27378759468	0.00117505797606	0.511150219588	0.004	1.000
All between treatment	C-EARLY vs. LB500-NO	1.03563096418	0.301141932879	1	0.315	1.000
C vs. C	C-LATE vs. C-LATE	7.00710207549	0.000210224503139	0.0914476588656	0.006	1.000
