New.ReferenceOTU0	146_24705
New.ReferenceOTU1	150_21903
New.ReferenceOTU2	170_21962
New.ReferenceOTU3	148_20974
New.ReferenceOTU4	172_19777
New.ReferenceOTU5	147_15078
New.ReferenceOTU6	165_1623
New.ReferenceOTU7	178_36576
New.ReferenceOTU8	150_23101
New.ReferenceOTU9	156_14739
New.ReferenceOTU10	162_36869
New.ReferenceOTU11	146_19272
New.ReferenceOTU12	156_11953
New.ReferenceOTU13	155_11206	178_37394	170_17321
New.ReferenceOTU14	165_45139
New.ReferenceOTU15	148_5429
New.ReferenceOTU16	146_41
New.ReferenceOTU17	162_29277
New.ReferenceOTU18	148_12381
New.ReferenceOTU19	158_7458
New.ReferenceOTU20	166_20345
New.ReferenceOTU21	161_29128
New.ReferenceOTU22	172_17686
New.ReferenceOTU23	172_11800
New.ReferenceOTU24	171_5235
New.ReferenceOTU25	150_40538
New.ReferenceOTU26	147_22071
New.ReferenceOTU27	161_31475
New.ReferenceOTU28	173_18095
New.ReferenceOTU29	153_22118
New.ReferenceOTU30	167_8361
New.ReferenceOTU31	157_17531
New.ReferenceOTU32	171_47529
New.ReferenceOTU33	168_2414
New.ReferenceOTU34	147_19256
New.ReferenceOTU35	146_20270
New.ReferenceOTU36	158_20427
New.ReferenceOTU37	146_546
New.ReferenceOTU38	157_22328
New.ReferenceOTU39	170_40176
New.ReferenceOTU40	176_45824
New.ReferenceOTU41	156_39770
New.ReferenceOTU42	178_59169	155_12103	155_7572	171_41613	168_7803	168_57421	176_46562	176_38318
New.ReferenceOTU43	165_22088
New.ReferenceOTU44	173_27737
New.ReferenceOTU45	158_24228	157_16638
New.ReferenceOTU46	176_38293	161_29397
New.ReferenceOTU47	171_33293
New.ReferenceOTU48	175_38497	170_9911	168_44319	175_40797	165_12914
New.ReferenceOTU49	153_20953
New.ReferenceOTU50	146_17981
New.ReferenceOTU51	158_8021
New.ReferenceOTU52	157_15440
New.ReferenceOTU53	161_35927	163_363	153_9606
New.ReferenceOTU54	172_19594
New.ReferenceOTU55	152_2875
New.ReferenceOTU56	178_11448
New.ReferenceOTU57	146_6756
New.ReferenceOTU58	156_18529
New.ReferenceOTU59	147_27458
New.ReferenceOTU60	157_35534
New.ReferenceOTU61	178_13181
New.ReferenceOTU62	158_29838
New.ReferenceOTU63	156_27832
New.ReferenceOTU64	165_11339
New.ReferenceOTU65	148_27729
New.ReferenceOTU66	161_42283
New.ReferenceOTU67	166_15065
New.ReferenceOTU68	146_16124
New.ReferenceOTU69	170_35200
New.ReferenceOTU70	176_50264
