Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	10.22224425	1.52176638995	13.35426175	7.62499275938	-0.697692524977	1.0
C	LB500-NO	40.363159	2.33525775393	14.81268725	2.80235078624	10.8226702251	0.63
C	C-LATE	40.363159	2.33525775393	8.7986405	0.742653140328	21.4467592196	0.546
LB500-EARLY	LB500-NO	10.46612925	2.64467258496	14.81268725	2.80235078624	-1.95379943887	1.0
C-LATE	C-NO	8.7986405	0.742653140328	10.22224425	1.52176638995	-1.45617201705	1.0
C-LATE	LB500-NO	8.7986405	0.742653140328	14.81268725	2.80235078624	-3.59307452879	0.42
C-LATE	LB500-EARLY	8.7986405	0.742653140328	10.46612925	2.64467258496	-1.05140520951	1.0
C-NO	LB500-EARLY	10.22224425	1.52176638995	10.46612925	2.64467258496	-0.138442469323	1.0
C-LATE	C-EARLY	8.7986405	0.742653140328	13.35426175	7.62499275938	-1.02995583993	1.0
C	LB500-LATE	40.363159	2.33525775393	9.63881975	1.08049502108	19.6149779494	0.504
C-NO	LB500-LATE	10.22224425	1.52176638995	9.63881975	1.08049502108	0.541443866896	1.0
C	C-NO	40.363159	2.33525775393	10.22224425	1.52176638995	17.4327074143	0.336
C	C-EARLY	40.363159	2.33525775393	13.35426175	7.62499275938	5.01188983528	1.0
C-NO	LB500-NO	10.22224425	1.52176638995	14.81268725	2.80235078624	-2.49331599224	0.189
C-EARLY	LB500-NO	13.35426175	7.62499275938	14.81268725	2.80235078624	-0.3109522391	1.0
LB500-EARLY	LB500-LATE	10.46612925	2.64467258496	9.63881975	1.08049502108	0.501575899055	1.0
LB500-LATE	C-EARLY	9.63881975	1.08049502108	13.35426175	7.62499275938	-0.835630979657	1.0
C-LATE	LB500-LATE	8.7986405	0.742653140328	9.63881975	1.08049502108	-1.10992654768	1.0
C	LB500-EARLY	40.363159	2.33525775393	10.46612925	2.64467258496	13.1452621213	0.462
LB500-LATE	LB500-NO	9.63881975	1.08049502108	14.81268725	2.80235078624	-2.98371452328	0.588
LB500-EARLY	C-EARLY	10.46612925	2.64467258496	13.35426175	7.62499275938	-0.619827974886	1.0
