Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	320.320655515	54.5121519084	454.482936636	243.999697576	-0.929448326064	1.0
C	LB500-NO	1665.65491907	91.937104318	532.675864687	110.944969849	12.1450996616	0.756
C	C-LATE	1665.65491907	91.937104318	257.301128726	43.6468957432	22.7054184959	0.042
LB500-EARLY	LB500-NO	363.889981021	67.5631439017	532.675864687	110.944969849	-2.25057415875	0.861
C-LATE	C-NO	257.301128726	43.6468957432	320.320655515	54.5121519084	-1.56306137279	1.0
C-LATE	LB500-NO	257.301128726	43.6468957432	532.675864687	110.944969849	-4.00063603847	0.168
C-LATE	LB500-EARLY	257.301128726	43.6468957432	363.889981021	67.5631439017	-2.29522878161	0.987
C-NO	LB500-EARLY	320.320655515	54.5121519084	363.889981021	67.5631439017	-0.869282315228	1.0
C-LATE	C-EARLY	257.301128726	43.6468957432	454.482936636	243.999697576	-1.37783963447	1.0
C	LB500-LATE	1665.65491907	91.937104318	340.989952076	23.8802739108	23.3279456472	0.63
C-NO	LB500-LATE	320.320655515	54.5121519084	340.989952076	23.8802739108	-0.601549985364	1.0
C	C-NO	1665.65491907	91.937104318	320.320655515	54.5121519084	20.4094370847	0.588
C	C-EARLY	1665.65491907	91.937104318	454.482936636	243.999697576	6.90782826214	0.693
C-NO	LB500-NO	320.320655515	54.5121519084	532.675864687	110.944969849	-2.97547796466	0.462
C-EARLY	LB500-NO	454.482936636	243.999697576	532.675864687	110.944969849	-0.505278618483	1.0
LB500-EARLY	LB500-LATE	363.889981021	67.5631439017	340.989952076	23.8802739108	0.553508753992	1.0
LB500-LATE	C-EARLY	340.989952076	23.8802739108	454.482936636	243.999697576	-0.801807838513	1.0
C-LATE	LB500-LATE	257.301128726	43.6468957432	340.989952076	23.8802739108	-2.9134830938	1.0
C	LB500-EARLY	1665.65491907	91.937104318	363.889981021	67.5631439017	18.2487966297	0.273
LB500-LATE	LB500-NO	340.989952076	23.8802739108	532.675864687	110.944969849	-2.92555889391	0.567
LB500-EARLY	C-EARLY	363.889981021	67.5631439017	454.482936636	243.999697576	-0.619760515837	1.0
