Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	155.275	34.2869782133	255.125	183.388608902	-0.926991031677	1.0
C	LB500-NO	1024.76666667	94.1582474112	266.625	65.103969733	10.6359366107	0.63
C	C-LATE	1024.76666667	94.1582474112	139.475	7.58958990987	15.8241716136	0.567
LB500-EARLY	LB500-NO	163.075	34.4216773996	266.625	65.103969733	-2.43543062578	1.0
C-LATE	C-NO	139.475	7.58958990987	155.275	34.2869782133	-0.779293719885	1.0
C-LATE	LB500-NO	139.475	7.58958990987	266.625	65.103969733	-3.35999280789	0.588
C-LATE	LB500-EARLY	139.475	7.58958990987	163.075	34.4216773996	-1.15966490617	1.0
C-NO	LB500-EARLY	155.275	34.2869782133	163.075	34.4216773996	-0.278072436552	1.0
C-LATE	C-EARLY	139.475	7.58958990987	255.125	183.388608902	-1.09134561868	1.0
C	LB500-LATE	1024.76666667	94.1582474112	152.275	23.3680738402	15.0567233299	0.525
C-NO	LB500-LATE	155.275	34.2869782133	152.275	23.3680738402	0.125229807899	1.0
C	C-NO	1024.76666667	94.1582474112	155.275	34.2869782133	14.3887094643	0.609
C	C-EARLY	1024.76666667	94.1582474112	255.125	183.388608902	5.61353717869	0.63
C-NO	LB500-NO	155.275	34.2869782133	266.625	65.103969733	-2.62111912725	1.0
C-EARLY	LB500-NO	255.125	183.388608902	266.625	65.103969733	-0.102355536354	1.0
LB500-EARLY	LB500-LATE	163.075	34.4216773996	152.275	23.3680738402	0.449620435199	1.0
LB500-LATE	C-EARLY	152.275	23.3680738402	255.125	183.388608902	-0.963596254045	1.0
C-LATE	LB500-LATE	139.475	7.58958990987	152.275	23.3680738402	-0.902342161016	1.0
C	LB500-EARLY	1024.76666667	94.1582474112	163.075	34.4216773996	14.2512064461	0.546
LB500-LATE	LB500-NO	152.275	23.3680738402	266.625	65.103969733	-2.86334884605	0.588
LB500-EARLY	C-EARLY	163.075	34.4216773996	255.125	183.388608902	-0.854463519106	1.0
