# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-5.29147148193	2.14830116084e-07	9.34511004964e-05	0.001	0.435
All within treatment	C vs. C	2.69798164334	0.0101655249226	1	0.011	1.000
All within treatment	C-LATE vs. C-LATE	-0.663000224734	0.510869063381	1	0.495	1.000
All within treatment	C-NO vs. C-NO	0.671026502314	0.505792383828	1	0.524	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	-0.650233465581	0.519000590155	1	0.494	1.000
All within treatment	LB500-LATE vs. LB500-LATE	0.920856293313	0.362263129227	1	0.354	1.000
All within treatment	C-EARLY vs. C-EARLY	-3.49340221951	0.00111797016928	0.486317023635	0.003	1.000
All within treatment	LB500-NO vs. LB500-NO	1.50883221356	0.138654948202	1	0.146	1.000
All within treatment	C vs. C-LATE	-12.2663433636	1.50064313233e-16	6.52779762566e-14	0.001	0.435
All within treatment	C vs. C-NO	-10.3370973563	6.62019414734e-14	2.87978445409e-11	0.001	0.435
All within treatment	C vs. LB500-EARLY	-10.1369363363	1.27922672019e-13	5.56463623284e-11	0.001	0.435
All within treatment	C vs. LB500-LATE	-10.6078937557	2.73688385851e-14	1.19054447845e-11	0.001	0.435
All within treatment	C vs. C-EARLY	-10.2968725471	7.55423132208e-14	3.2860906251e-11	0.001	0.435
All within treatment	C vs. LB500-NO	-8.36874654294	5.24473201423e-11	2.28145842619e-08	0.001	0.435
All within treatment	C-LATE vs. C-NO	-1.07911856079	0.285421529011	1	0.283	1.000
All within treatment	C-LATE vs. LB500-EARLY	-2.869594163	0.00589127284473	1	0.002	0.870
All within treatment	C-LATE vs. LB500-LATE	-2.2530732803	0.0284175881597	1	0.025	1.000
All within treatment	C-LATE vs. C-EARLY	-3.82740933989	0.000343806740664	0.149555932189	0.001	0.435
All within treatment	C-LATE vs. LB500-NO	-4.97380730966	7.28168817616e-06	0.00316753435663	0.001	0.435
All within treatment	C-NO vs. LB500-EARLY	-1.48329443648	0.143918856775	1	0.134	1.000
All within treatment	C-NO vs. LB500-LATE	-0.331085356492	0.741885504994	1	0.752	1.000
All within treatment	C-NO vs. C-EARLY	-2.96713734856	0.00450223282503	1	0.005	1.000
All within treatment	C-NO vs. LB500-NO	-0.377452364025	0.707344766579	1	0.713	1.000
All within treatment	LB500-EARLY vs. LB500-LATE	0.262220633991	0.794167869974	1	0.783	1.000
