# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-3.73337628122	0.000220538652961	0.0959343140379	0.001	0.435
All within treatment	C vs. C	-3.52700787453	0.0010713792695	0.466049982231	0.003	1.000
All within treatment	C-LATE vs. C-LATE	1.25405331058	0.216597413165	1	0.187	1.000
All within treatment	C-NO vs. C-NO	1.40653072625	0.166752894815	1	0.093	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	1.07345242	0.289055464201	1	0.324	1.000
All within treatment	LB500-LATE vs. LB500-LATE	1.40227395026	0.16801182176	1	0.110	1.000
All within treatment	C-EARLY vs. C-EARLY	-3.15101394702	0.00296034752623	1	0.011	1.000
All within treatment	LB500-NO vs. LB500-NO	0.736559606561	0.46538990994	1	0.531	1.000
All within treatment	C vs. C-LATE	-18.2751144696	1.60364512882e-23	6.97585631035e-21	0.001	0.435
All within treatment	C vs. C-NO	-18.107780327	2.37740601075e-23	1.03417161468e-20	0.001	0.435
All within treatment	C vs. LB500-EARLY	-15.6352910143	1.11526160423e-20	4.85138797841e-18	0.001	0.435
All within treatment	C vs. LB500-LATE	-15.6140019922	1.17928670067e-20	5.12989714794e-18	0.001	0.435
All within treatment	C vs. C-EARLY	-16.0671289308	3.63402621928e-21	1.58080140539e-18	0.001	0.435
All within treatment	C vs. LB500-NO	-15.4637669373	1.75118577464e-20	7.61765811968e-18	0.001	0.435
All within treatment	C-LATE vs. C-NO	2.17056138203	0.0344648236263	1	0.023	1.000
All within treatment	C-LATE vs. LB500-EARLY	-0.942865552559	0.350027914389	1	0.344	1.000
All within treatment	C-LATE vs. LB500-LATE	-0.796967266136	0.429025922614	1	0.432	1.000
All within treatment	C-LATE vs. C-EARLY	-2.65110058499	0.010556473855	1	0.012	1.000
All within treatment	C-LATE vs. LB500-NO	-0.745283191109	0.459393002115	1	0.438	1.000
All within treatment	C-NO vs. LB500-EARLY	-0.873305701393	0.386436190278	1	0.386	1.000
All within treatment	C-NO vs. LB500-LATE	-0.555670990235	0.580773981511	1	0.596	1.000
All within treatment	C-NO vs. C-EARLY	-2.59636201035	0.0121653195835	1	0.008	1.000
All within treatment	C-NO vs. LB500-NO	-0.463363562812	0.645001044503	1	0.656	1.000
All within treatment	LB500-EARLY vs. LB500-LATE	1.61942290424	0.111292246578	1	0.113	1.000
All within treatment	LB500-EARLY vs. C-EARLY	-1.70008674568	0.0949766769553	1	0.105	1.000
All within treatment	LB500-EARLY vs. LB500-NO	1.22241511716	0.226959173243	1	0.204	1.000
All within treatment	LB500-LATE vs. C-EARLY	-1.97922172172	0.0529962107701	1	0.055	1.000
All within treatment	LB500-LATE vs. LB500-NO	1.4870691085	0.142921983428	1	0.143	1.000
All within treatment	C-EARLY vs. LB500-NO	-2.02278940887	0.0481527999257	1	0.058	1.000
All between treatment	C vs. C	-0.692682832186	0.489022215457	1	0.529	1.000
All between treatment	C-LATE vs. C-LATE	2.09466575726	0.0369967453073	1	0.024	1.000
All between treatment	C-NO vs. C-NO	2.16865311067	0.0308546775575	1	0.026	1.000
All between treatment	LB500-EARLY vs. LB500-EARLY	2.00679921286	0.0456225557015	1	0.038	1.000
All between treatment	LB500-LATE vs. LB500-LATE	2.16655543103	0.0310158807213	1	0.026	1.000
All between treatment	C-EARLY vs. C-EARLY	-0.140404751289	0.888429657561	1	0.929	1.000
All between treatment	LB500-NO vs. LB500-NO	1.84351436552	0.0661901701876	1	0.050	1.000
All between treatment	C vs. C-LATE	-6.8148853847	4.65367384116e-11	2.02434812091e-08	0.001	0.435
All between treatment	C vs. C-NO	-6.73400868553	7.59266778027e-11	3.30281048442e-08	0.001	0.435
All between treatment	C vs. LB500-EARLY	-5.53305932966	6.5263386921e-08	2.83895733106e-05	0.001	0.435
All between treatment	C vs. LB500-LATE	-5.51601061141	7.13150447542e-08	3.10220444681e-05	0.001	0.435
All between treatment	C vs. C-EARLY	-5.91835124189	8.32179624823e-09	3.61998136798e-06	0.001	0.435
All between treatment	C vs. LB500-NO	-5.49559389039	7.92830155947e-08	3.44881117837e-05	0.001	0.435
All between treatment	C-LATE vs. C-NO	3.47632285675	0.000577207025759	0.251085056205	0.002	0.870
All between treatment	C-LATE vs. LB500-EARLY	1.96525046527	0.0502339781725	1	0.050	1.000
All between treatment	C-LATE vs. LB500-LATE	2.03815158214	0.0423415577312	1	0.046	1.000
All between treatment	C-LATE vs. C-EARLY	0.834641637957	0.404530717137	1	0.405	1.000
All between treatment	C-LATE vs. LB500-NO	2.05900682428	0.0402876140408	1	0.039	1.000
All between treatment	C-NO vs. LB500-EARLY	1.99956618149	0.0463766534469	1	0.045	1.000
All between treatment	C-NO vs. LB500-LATE	2.15508097495	0.0318873600555	1	0.033	1.000
All between treatment	C-NO vs. C-EARLY	0.867588792672	0.386257656198	1	0.392	1.000
All between treatment	C-NO vs. LB500-NO	2.19658968781	0.0287534131275	1	0.033	1.000
All between treatment	LB500-EARLY vs. LB500-LATE	3.21021630594	0.0014584019414	0.634404844507	0.002	0.870
All between treatment	LB500-EARLY vs. C-EARLY	1.50803866883	0.132513098999	1	0.123	1.000
All between treatment	LB500-EARLY vs. LB500-NO	3.01929049679	0.00273363924452	1	0.003	1.000
All between treatment	LB500-LATE vs. C-EARLY	1.36299153335	0.173825855038	1	0.161	1.000
All between treatment	LB500-LATE vs. LB500-NO	3.14886098736	0.00179069747098	0.778953399878	0.003	1.000
All between treatment	C-EARLY vs. LB500-NO	1.32707995689	0.185410936976	1	0.182	1.000
C vs. C	C-LATE vs. C-LATE	9.12044070591	3.91205288111e-05	0.0170174300328	0.010	1.000
C vs. C	C-NO vs. C-NO	9.43865011566	3.12699813012e-05	0.013602441866	0.009	1.000
C vs. C	LB500-EARLY vs. LB500-EARLY	8.86095383174	4.71979956835e-05	0.0205311281223	0.006	1.000
C vs. C	LB500-LATE vs. LB500-LATE	9.44649227228	3.1100433233e-05	0.0135286884563	0.004	1.000
C vs. C	C-EARLY vs. C-EARLY	1.10023270747	0.307621575416	1	0.303	1.000
C vs. C	LB500-NO vs. LB500-NO	7.86480014334	0.000101612608109	0.0442014845274	0.010	1.000
C vs. C	C vs. C-LATE	-14.5661417495	1.98180729832e-09	8.62086174768e-07	0.001	0.435
C vs. C	C vs. C-NO	-14.3187536858	2.4460973819e-09	1.06405236113e-06	0.003	1.000
C vs. C	C vs. LB500-EARLY	-10.9193319136	6.42593017518e-08	2.7952796262e-05	0.002	0.870
C vs. C	C vs. LB500-LATE	-11.112476518	5.22266462843e-08	2.27185911337e-05	0.005	1.000
C vs. C	C vs. C-EARLY	-8.25129821562	1.59126201818e-06	0.000692198977909	0.002	0.870
C vs. C	C vs. LB500-NO	-9.4963204555	3.26614032032e-07	0.000142077103934	0.002	0.870
C vs. C	C-LATE vs. C-NO	16.0643951696	1.03828057263e-11	4.51652049094e-09	0.002	0.870
C vs. C	C-LATE vs. LB500-EARLY	9.89712294475	1.80130037553e-08	7.83565663354e-06	0.001	0.435
C vs. C	C-LATE vs. LB500-LATE	11.4036559818	2.18573248389e-09	9.50793630494e-07	0.001	0.435
C vs. C	C-LATE vs. C-EARLY	1.81543273238	0.0871388110034	1	0.106	1.000
C vs. C	C-LATE vs. LB500-NO	8.93322072345	7.87583673834e-08	3.42598898118e-05	0.001	0.435
C vs. C	C-NO vs. LB500-EARLY	10.2441732634	1.08587272507e-08	4.72354635406e-06	0.005	1.000
C vs. C	C-NO vs. LB500-LATE	11.7308928284	1.42248013368e-09	6.18778858152e-07	0.001	0.435
C vs. C	C-NO vs. C-EARLY	1.84167725108	0.083038579923	1	0.096	1.000
C vs. C	C-NO vs. LB500-NO	9.02537797186	6.80824729926e-08	2.96158757518e-05	0.001	0.435
C vs. C	LB500-EARLY vs. LB500-LATE	14.5657900501	4.93010077207e-11	2.14459383585e-08	0.004	1.000
C vs. C	LB500-EARLY vs. C-EARLY	3.40116409995	0.00339920415386	1	0.006	1.000
C vs. C	LB500-EARLY vs. LB500-NO	12.7391140885	4.01135569206e-10	1.74493972604e-07	0.001	0.435
C vs. C	LB500-LATE vs. C-EARLY	3.30213713211	0.00421062569662	1	0.004	1.000
C vs. C	LB500-LATE vs. LB500-NO	12.7348729006	4.03207467414e-10	1.75395248325e-07	0.002	0.870
C vs. C	C-EARLY vs. LB500-NO	3.09316349608	0.00660051117757	1	0.006	1.000
C-LATE vs. C-LATE	C-NO vs. C-NO	1.48503021891	0.168361613294	1	0.162	1.000
C-LATE vs. C-LATE	LB500-EARLY vs. LB500-EARLY	-1.47024485435	0.172244977437	1	0.186	1.000
C-LATE vs. C-LATE	LB500-LATE vs. LB500-LATE	1.4902698293	0.167003746537	1	0.203	1.000
C-LATE vs. C-LATE	C-EARLY vs. C-EARLY	-4.74251417581	0.000789106054293	0.343261133617	0.001	0.435
C-LATE vs. C-LATE	LB500-NO vs. LB500-NO	-2.42686433839	0.0356408083213	1	0.041	1.000
C-LATE vs. C-LATE	C vs. C-LATE	-66.8787367292	5.12545370477e-21	2.22957236157e-18	0.001	0.435
C-LATE vs. C-LATE	C vs. C-NO	-65.8827840287	6.51079350415e-21	2.8321951743e-18	0.001	0.435
C-LATE vs. C-LATE	C vs. LB500-EARLY	-54.8639131236	1.2024690273e-19	5.23074026877e-17	0.001	0.435
C-LATE vs. C-LATE	C vs. LB500-LATE	-58.5169006753	4.30785035974e-20	1.87391490649e-17	0.001	0.435
C-LATE vs. C-LATE	C vs. C-EARLY	-27.954099634	5.2049794536e-15	2.26416606232e-12	0.001	0.435
C-LATE vs. C-LATE	C vs. LB500-NO	-39.8731677009	1.91561551701e-17	8.332927499e-15	0.001	0.435
C-LATE vs. C-LATE	C-LATE vs. C-NO	0.898021488862	0.379858140003	1	0.387	1.000
C-LATE vs. C-LATE	C-LATE vs. LB500-EARLY	-10.6864549073	1.02425722016e-09	4.4555189077e-07	0.001	0.435
C-LATE vs. C-LATE	C-LATE vs. LB500-LATE	-20.0337553393	1.04576897873e-14	4.54909505749e-12	0.001	0.435
C-LATE vs. C-LATE	C-LATE vs. C-EARLY	-2.8075028197	0.0108750654235	1	0.010	1.000
C-LATE vs. C-LATE	C-LATE vs. LB500-NO	-7.05110250127	7.7379420659e-07	0.000336600479867	0.001	0.435
C-LATE vs. C-LATE	C-NO vs. LB500-EARLY	-11.4354648679	3.17017760418e-10	1.37902725782e-07	0.001	0.435
C-LATE vs. C-LATE	C-NO vs. LB500-LATE	-17.7254326027	1.06783362537e-13	4.64507627038e-11	0.001	0.435
C-LATE vs. C-LATE	C-NO vs. C-EARLY	-2.77389507956	0.0117132706507	1	0.016	1.000
C-LATE vs. C-LATE	C-NO vs. LB500-NO	-5.98481041411	7.48936563176e-06	0.00325787404982	0.001	0.435
C-LATE vs. C-LATE	LB500-EARLY vs. LB500-LATE	-2.30491200643	0.0320196393932	1	0.023	1.000
C-LATE vs. C-LATE	LB500-EARLY vs. C-EARLY	-3.14956041664	0.00504388084637	1	0.007	1.000
C-LATE vs. C-LATE	LB500-EARLY vs. LB500-NO	-2.88099489908	0.00923739317469	1	0.005	1.000
C-LATE vs. C-LATE	LB500-LATE vs. C-EARLY	-3.46092941577	0.00246846585628	1	0.003	1.000
C-LATE vs. C-LATE	LB500-LATE vs. LB500-NO	-1.7854548694	0.089361901399	1	0.095	1.000
C-LATE vs. C-LATE	C-EARLY vs. LB500-NO	-3.31634204046	0.0034446765309	1	0.005	1.000
C-NO vs. C-NO	LB500-EARLY vs. LB500-EARLY	-3.25816924821	0.00860074018889	1	0.005	1.000
C-NO vs. C-NO	LB500-LATE vs. LB500-LATE	-0.0601062418497	0.953255274302	1	0.945	1.000
C-NO vs. C-NO	C-EARLY vs. C-EARLY	-4.91167179897	0.000612390947415	0.266390062126	0.005	1.000
C-NO vs. C-NO	LB500-NO vs. LB500-NO	-3.31780498946	0.00777620761001	1	0.009	1.000
C-NO vs. C-NO	C vs. C-LATE	-69.2934401416	2.9111755991e-21	1.26636138561e-18	0.001	0.435
C-NO vs. C-NO	C vs. C-NO	-68.2444387345	3.71303048848e-21	1.61516826249e-18	0.001	0.435
C-NO vs. C-NO	C vs. LB500-EARLY	-56.7787957995	6.96360769598e-20	3.02916934775e-17	0.001	0.435
C-NO vs. C-NO	C vs. LB500-LATE	-60.7560554591	2.36827927153e-20	1.03020148312e-17	0.001	0.435
C-NO vs. C-NO	C vs. C-EARLY	-28.4292668086	3.9946618674e-15	1.73767791232e-12	0.001	0.435
C-NO vs. C-NO	C vs. LB500-NO	-40.8386817658	1.31093387309e-17	5.70256234793e-15	0.001	0.435
C-NO vs. C-NO	C-LATE vs. C-NO	-1.23580149371	0.230851351618	1	0.216	1.000
C-NO vs. C-NO	C-LATE vs. LB500-EARLY	-11.9029508962	1.5691177403e-10	6.82566217032e-08	0.001	0.435
C-NO vs. C-NO	C-LATE vs. LB500-LATE	-24.5489595052	2.09066909064e-16	9.09441054427e-14	0.001	0.435
C-NO vs. C-NO	C-LATE vs. C-EARLY	-2.94071381861	0.00808352007643	1	0.004	1.000
C-NO vs. C-NO	C-LATE vs. LB500-NO	-7.78328263656	1.77702383322e-07	7.73005367452e-05	0.001	0.435
C-NO vs. C-NO	C-NO vs. LB500-EARLY	-12.835467215	4.10189714441e-11	1.78432525782e-08	0.001	0.435
C-NO vs. C-NO	C-NO vs. LB500-LATE	-21.6896795411	2.28362847533e-15	9.93378386766e-13	0.001	0.435
C-NO vs. C-NO	C-NO vs. C-EARLY	-2.90720745999	0.00871266711916	1	0.005	1.000
C-NO vs. C-NO	C-NO vs. LB500-NO	-6.65681237069	1.76057622635e-06	0.000765850658461	0.001	0.435
C-NO vs. C-NO	LB500-EARLY vs. LB500-LATE	-3.86977009695	0.000953802319066	0.414904008794	0.002	0.870
C-NO vs. C-NO	LB500-EARLY vs. C-EARLY	-3.35359272561	0.00316194428563	1	0.004	1.000
C-NO vs. C-NO	LB500-EARLY vs. LB500-NO	-3.85037366414	0.000997999987448	0.43412999454	0.001	0.435
C-NO vs. C-NO	LB500-LATE vs. C-EARLY	-3.66978199253	0.00152050614251	0.661420171992	0.003	1.000
C-NO vs. C-NO	LB500-LATE vs. LB500-NO	-2.63831014223	0.015761940981	1	0.017	1.000
C-NO vs. C-NO	C-EARLY vs. LB500-NO	-3.51257889697	0.00219037953223	0.952815096518	0.004	1.000
