# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-LATE	LB500-NO
Unassigned;Other;Other;Other	0.00722996696653	0.00239510277921	0.000380215228978	0.000426644562415	0.000437249748213	0.000455593444977	0.00103009714961
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0.000425903226477	0.0	0.0	0.0	0.0	0.0	4.57820955381e-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	3.11636507178e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	2.71582306413e-05	6.09492232022e-06	0.0	9.20390797933e-06	4.57820955381e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0214302038103	0.00976513978864	0.000196897172149	0.000109708601764	0.000108084207423	0.000115048849742	0.00057685440378
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.0	3.18497710001e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.0	1.91098626001e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales	3.11636507178e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.0	8.91793588004e-05	0.0	0.0	2.45645925962e-05	2.7611723938e-05	2.74692573228e-05
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.00206718883095	6.36995420003e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0142314004945	0.0177785421723	0.000101843364905	0.000511973474898	0.000245645925962	0.000253107469432	0.00108503566425
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.0568424989093	0.040188041048	0.00021047628747	0.000505878552578	0.000348817214866	0.000211689883525	0.00224790089092
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.00153740676874	0.000121029129801	0.000237634518111	3.65695339213e-05	2.94775111155e-05	3.22136779276e-05	0.000792030252809
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031	3.11636507178e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales	4.15515342904e-05	0.0	0.0	0.0	0.0	0.0	0.0
