# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-LATE	LB500-NO
Unassigned;Other	0.00718766878557	0.0022942503537	0.000298793282584	0.00042674600078	0.000358720595968	0.000469522468031	0.00101227092217
k__Bacteria;p__Acidobacteria	0.000457019402551	0.0	0.0	0.0	0.0	0.0	4.58041141255e-05
k__Bacteria;p__Actinobacteria	0.0214902987245	0.00976330983851	0.000224094961938	0.000115831057355	0.000108107576867	0.000124285359185	0.000577131837982
k__Bacteria;p__Armatimonadetes	3.11604138103e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.0746395778803	0.0583822985839	0.000550051270211	0.00105467225907	0.000648645461202	0.000524760405446	0.00415443315119
k__Bacteria;p__Chloroflexi	7.2707632224e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.344187544144	0.000127458352983	0.000292002526161	0.000237758486149	0.000481570115135	0.000418887692067	0.00129167601834
k__Bacteria;p__Firmicutes	0.00495450579584	0.783339918682	0.982744687931	0.987667040577	0.938029788551	0.991323040664	0.958034270638
k__Bacteria;p__Fusobacteria	0.0	0.0	5.43260513789e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	7.2707632224e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.000280443724293	0.0	0.0	0.0	3.93118461334e-05	0.0	1.83216456502e-05
k__Bacteria;p__Proteobacteria	0.545920063152	0.146092764189	0.0158360439769	0.0104979516192	0.060319113911	0.00710267811933	0.0348660916724
k__Bacteria;p__Tenericutes	0.0	0.0	0.0	0.0	0.0	3.68252916103e-05	0.0
k__Bacteria;p__Verrucomicrobia	0.000706302713033	0.0	0.0	0.0	1.47419423e-05	0.0	0.0
