New.ReferenceOTU0	167_41834
New.ReferenceOTU1	177_30789
New.ReferenceOTU2	148_22152
New.ReferenceOTU3	177_49996
New.ReferenceOTU4	146_32923
New.ReferenceOTU5	156_13346
New.ReferenceOTU6	161_27896
New.ReferenceOTU7	177_50889
New.ReferenceOTU8	146_15883
New.ReferenceOTU9	173_37419
New.ReferenceOTU10	150_42286
New.ReferenceOTU11	162_37463
New.ReferenceOTU12	166_196	173_27792
New.ReferenceOTU13	172_30914
New.ReferenceOTU14	157_12720
New.ReferenceOTU15	166_1861
New.ReferenceOTU16	146_13541
New.ReferenceOTU17	168_21162
New.ReferenceOTU18	148_6689
New.ReferenceOTU19	173_6278
New.ReferenceOTU20	177_3823
New.ReferenceOTU21	166_2519
New.ReferenceOTU22	147_7664
New.ReferenceOTU23	147_27257
New.ReferenceOTU24	172_5477
New.ReferenceOTU25	171_14199
New.ReferenceOTU26	148_4747
New.ReferenceOTU27	146_30568
New.ReferenceOTU28	148_3217
New.ReferenceOTU29	156_4736
New.ReferenceOTU30	172_29053
New.ReferenceOTU31	178_41244
New.ReferenceOTU32	148_35806
New.ReferenceOTU33	177_1409
New.ReferenceOTU34	172_19229
New.ReferenceOTU35	148_24339
New.ReferenceOTU36	171_20946
New.ReferenceOTU37	172_17805
New.ReferenceOTU38	151_10529
New.ReferenceOTU39	175_34719
New.ReferenceOTU40	157_2778
New.ReferenceOTU41	158_10365
New.ReferenceOTU42	155_45991
New.ReferenceOTU43	167_8733
New.ReferenceOTU44	166_33994
New.ReferenceOTU45	148_31908
New.ReferenceOTU46	147_35537
New.ReferenceOTU47	170_34958	171_46661	165_8648
New.ReferenceOTU48	146_20754
New.ReferenceOTU49	165_8322
New.ReferenceOTU50	151_14755
New.ReferenceOTU51	156_13091
New.ReferenceOTU52	156_11845
New.ReferenceOTU53	161_33521
New.ReferenceOTU54	147_8188
New.ReferenceOTU55	167_36871
New.ReferenceOTU56	146_17739
New.ReferenceOTU57	177_34723
New.ReferenceOTU58	177_31598
New.ReferenceOTU59	166_47357
New.ReferenceOTU60	148_26445
New.ReferenceOTU61	167_37440
New.ReferenceOTU62	172_28912	158_16727
New.ReferenceOTU63	178_29921
New.ReferenceOTU64	156_15402
New.ReferenceOTU65	166_30192
New.ReferenceOTU66	168_31277
New.ReferenceOTU67	175_21146
New.ReferenceOTU68	158_28234
New.ReferenceOTU69	147_24988
New.ReferenceOTU70	156_13209	156_35310
New.ReferenceOTU71	157_12516
New.ReferenceOTU72	171_53988
New.ReferenceOTU73	167_25464
New.ReferenceOTU74	172_23048	173_2074
New.ReferenceOTU75	147_6428
New.ReferenceOTU76	172_44633	172_8283	173_27901	177_50376	165_22706	158_10520	167_11957	167_12538	176_4752	162_14478
New.ReferenceOTU77	148_19558
New.ReferenceOTU78	165_22044
New.ReferenceOTU79	177_3671
New.ReferenceOTU80	163_34719
New.ReferenceOTU81	147_30034
New.ReferenceOTU82	147_3629
New.ReferenceOTU83	171_8621
New.ReferenceOTU84	176_23961
New.ReferenceOTU85	178_27152
New.ReferenceOTU86	175_39708
New.ReferenceOTU87	147_24277
New.ReferenceOTU88	153_10199
New.ReferenceOTU89	151_6571
New.ReferenceOTU90	160_3458
New.ReferenceOTU91	153_13548
New.ReferenceOTU92	148_16681
New.ReferenceOTU93	178_48992
New.ReferenceOTU94	148_16865
New.ReferenceOTU95	160_4228
New.ReferenceOTU96	170_35948
New.ReferenceOTU97	165_16067
New.ReferenceOTU98	147_21695
New.ReferenceOTU99	177_37679
New.ReferenceOTU100	152_32611
New.ReferenceOTU101	156_30895
New.ReferenceOTU102	172_41266
New.ReferenceOTU103	147_12604
New.ReferenceOTU104	166_15254
