New.CleanUp.ReferenceOTU0	156_597
New.CleanUp.ReferenceOTU1	167_39865
New.CleanUp.ReferenceOTU2	147_6475	147_1043
New.CleanUp.ReferenceOTU3	156_32459
New.CleanUp.ReferenceOTU4	151_27053
New.CleanUp.ReferenceOTU5	146_31448
New.CleanUp.ReferenceOTU6	155_10081
New.CleanUp.ReferenceOTU7	152_25210
New.CleanUp.ReferenceOTU8	152_5344
New.CleanUp.ReferenceOTU9	155_10088
New.CleanUp.ReferenceOTU10	168_55143
New.CleanUp.ReferenceOTU11	158_14535
New.CleanUp.ReferenceOTU12	178_17073
New.CleanUp.ReferenceOTU13	162_17330
New.CleanUp.ReferenceOTU14	148_9538
New.CleanUp.ReferenceOTU15	167_47851
New.CleanUp.ReferenceOTU16	156_16930
New.CleanUp.ReferenceOTU17	153_36438
New.CleanUp.ReferenceOTU18	171_35624
New.CleanUp.ReferenceOTU19	150_32504
New.CleanUp.ReferenceOTU20	175_14708
New.CleanUp.ReferenceOTU21	165_21518
New.CleanUp.ReferenceOTU22	170_52087
New.CleanUp.ReferenceOTU23	166_48408	166_48409
New.CleanUp.ReferenceOTU24	178_34838
New.CleanUp.ReferenceOTU25	178_34830
New.CleanUp.ReferenceOTU26	148_36480
New.CleanUp.ReferenceOTU27	172_11675
New.CleanUp.ReferenceOTU28	148_36485	146_10149
New.CleanUp.ReferenceOTU29	166_6156	171_16561	167_39924	153_6180
New.CleanUp.ReferenceOTU30	171_41661
New.CleanUp.ReferenceOTU31	147_35138
New.CleanUp.ReferenceOTU32	176_30252
New.CleanUp.ReferenceOTU33	171_37365	162_24865
New.CleanUp.ReferenceOTU34	150_30909
New.CleanUp.ReferenceOTU35	173_18829
New.CleanUp.ReferenceOTU36	166_35801
New.CleanUp.ReferenceOTU37	150_16824
New.CleanUp.ReferenceOTU38	175_50647
New.CleanUp.ReferenceOTU39	161_45335
New.CleanUp.ReferenceOTU40	163_1971
New.CleanUp.ReferenceOTU41	147_15579	147_15577
New.CleanUp.ReferenceOTU42	146_28369
New.CleanUp.ReferenceOTU43	147_15571	147_15570
New.CleanUp.ReferenceOTU44	147_15576	147_15581
New.CleanUp.ReferenceOTU45	146_28360
New.CleanUp.ReferenceOTU46	173_8227
New.CleanUp.ReferenceOTU47	171_16346
New.CleanUp.ReferenceOTU48	175_26240
New.CleanUp.ReferenceOTU49	166_20801
New.CleanUp.ReferenceOTU50	155_40877
New.CleanUp.ReferenceOTU51	173_8220
New.CleanUp.ReferenceOTU52	161_14414
New.CleanUp.ReferenceOTU53	162_39649
New.CleanUp.ReferenceOTU54	156_22519	156_22520	156_15057	167_29143	157_17409	156_3840	175_29417
New.CleanUp.ReferenceOTU55	148_22109	148_22107
New.CleanUp.ReferenceOTU56	166_2706
