# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-5.0989810787	5.61231828998e-07	0.000244135845614	0.001	0.435
All within treatment	C vs. C	2.31280859872	0.0259594403437	1	0.030	1.000
All within treatment	C-LATE vs. C-LATE	-1.48871242787	0.143861166601	1	0.158	1.000
All within treatment	C-NO vs. C-NO	1.89987393978	0.0641692771877	1	0.045	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	0.403889818533	0.688295455094	1	0.719	1.000
All within treatment	LB500-LATE vs. LB500-LATE	-0.405347749861	0.687231693959	1	0.679	1.000
All within treatment	C-EARLY vs. C-EARLY	-2.49836053201	0.0163788937593	1	0.018	1.000
All within treatment	LB500-NO vs. LB500-NO	0.75162819527	0.45636908396	1	0.451	1.000
All within treatment	C vs. C-LATE	-10.5899159425	2.90135594871e-14	1.26208983769e-11	0.001	0.435
All within treatment	C vs. C-NO	-9.24003793495	2.59474609119e-12	1.12871454967e-09	0.001	0.435
All within treatment	C vs. LB500-EARLY	-8.94367418142	7.15403005e-12	3.11200307175e-09	0.001	0.435
All within treatment	C vs. LB500-LATE	-9.86565187838	3.14800843615e-13	1.36938366972e-10	0.001	0.435
All within treatment	C vs. C-EARLY	-9.03034276357	5.31291996667e-12	2.3111201855e-09	0.001	0.435
All within treatment	C vs. LB500-NO	-7.30463718981	2.24092868244e-09	9.74803976863e-07	0.001	0.435
All within treatment	C-LATE vs. C-NO	-0.999212547846	0.322232052953	1	0.324	1.000
All within treatment	C-LATE vs. LB500-EARLY	-2.97746674937	0.00437453634519	1	0.004	1.000
All within treatment	C-LATE vs. LB500-LATE	-2.1893868309	0.0329933956562	1	0.034	1.000
All within treatment	C-LATE vs. C-EARLY	-3.37674067012	0.00138015693409	0.600368266327	0.002	0.870
All within treatment	C-LATE vs. LB500-NO	-4.28962173483	7.61986160715e-05	0.0331463979911	0.001	0.435
All within treatment	C-NO vs. LB500-EARLY	-0.934467750125	0.354300811911	1	0.354	1.000
All within treatment	C-NO vs. LB500-LATE	-0.67932291224	0.499889433207	1	0.472	1.000
All within treatment	C-NO vs. C-EARLY	-1.97768783073	0.0531741043973	1	0.053	1.000
All within treatment	C-NO vs. LB500-NO	-0.0937937969253	0.925626644069	1	0.927	1.000
All within treatment	LB500-EARLY vs. LB500-LATE	-0.606140583129	0.547008828653	1	0.546	1.000
All within treatment	LB500-EARLY vs. C-EARLY	-1.43192847248	0.158035645189	1	0.153	1.000
All within treatment	LB500-EARLY vs. LB500-NO	-0.447060368985	0.656653141487	1	0.672	1.000
All within treatment	LB500-LATE vs. C-EARLY	-2.50172285104	0.0154817770687	1	0.013	1.000
All within treatment	LB500-LATE vs. LB500-NO	-1.12546885622	0.265461283248	1	0.262	1.000
All within treatment	C-EARLY vs. LB500-NO	-3.03968831338	0.00367405119144	1	0.004	1.000
All between treatment	C vs. C	3.46815191604	0.00059743792448	0.259885497149	0.001	0.435
All between treatment	C-LATE vs. C-LATE	0.743491151806	0.457736798271	1	0.446	1.000
All between treatment	C-NO vs. C-NO	3.72236142422	0.000233603239504	0.101617409184	0.001	0.435
All between treatment	LB500-EARLY vs. LB500-EARLY	2.43377291649	0.0154962150944	1	0.011	1.000
All between treatment	LB500-LATE vs. LB500-LATE	1.71094724171	0.0880722101829	1	0.086	1.000
All between treatment	C-EARLY vs. C-EARLY	-0.254154553569	0.799541457001	1	0.790	1.000
All between treatment	LB500-NO vs. LB500-NO	2.73252174032	0.00663880349809	1	0.007	1.000
All between treatment	C vs. C-LATE	-6.1738467243	2.00522089255e-09	8.72271088259e-07	0.001	0.435
All between treatment	C vs. C-NO	-4.99654451398	9.5943722793e-07	0.00041735519415	0.001	0.435
All between treatment	C vs. LB500-EARLY	-4.85935882155	1.84261885236e-06	0.000801539200775	0.001	0.435
All between treatment	C vs. LB500-LATE	-5.49840177881	7.81379066432e-08	3.39899893898e-05	0.001	0.435
All between treatment	C vs. C-EARLY	-4.95323928769	1.1807462609e-06	0.000513624623493	0.001	0.435
All between treatment	C vs. LB500-NO	-3.35611880964	0.000885016446639	0.384982154288	0.002	0.870
All between treatment	C-LATE vs. C-NO	2.39462386823	0.0172017036791	1	0.016	1.000
All between treatment	C-LATE vs. LB500-EARLY	0.667404695867	0.504985817687	1	0.502	1.000
All between treatment	C-LATE vs. LB500-LATE	1.27746289443	0.202347870767	1	0.187	1.000
All between treatment	C-LATE vs. C-EARLY	-0.00160800053155	0.998717985272	1	0.998	1.000
All between treatment	C-LATE vs. LB500-NO	-0.516150655233	0.606099098812	1	0.632	1.000
All between treatment	C-NO vs. LB500-EARLY	2.54660802106	0.0113369292072	1	0.013	1.000
All between treatment	C-NO vs. LB500-LATE	2.76246646131	0.00606215233042	1	0.007	1.000
All between treatment	C-NO vs. C-EARLY	1.47614723031	0.140869614211	1	0.160	1.000
All between treatment	C-NO vs. LB500-NO	3.31458275861	0.00102111900169	0.444186765736	0.002	0.870
All between treatment	LB500-EARLY vs. LB500-LATE	2.81418354322	0.00518719009879	1	0.002	0.870
All between treatment	LB500-EARLY vs. C-EARLY	1.96561406362	0.0501917328558	1	0.051	1.000
All between treatment	LB500-EARLY vs. LB500-NO	2.95677708154	0.003335585453	1	0.005	1.000
All between treatment	LB500-LATE vs. C-EARLY	0.931403521612	0.352334107756	1	0.345	1.000
All between treatment	LB500-LATE vs. LB500-NO	2.35732043239	0.0189980321174	1	0.018	1.000
All between treatment	C-EARLY vs. LB500-NO	0.696342852197	0.486710318671	1	0.483	1.000
C vs. C	C-LATE vs. C-LATE	-3.67150333692	0.00794842882299	1	0.017	1.000
C vs. C	C-NO vs. C-NO	-2.40812371729	0.0469030688313	1	0.049	1.000
C vs. C	LB500-EARLY vs. LB500-EARLY	-3.88436489906	0.00601898401387	1	0.001	0.435
C vs. C	LB500-LATE vs. LB500-LATE	-2.67890580598	0.0315893030339	1	0.043	1.000
C vs. C	C-EARLY vs. C-EARLY	-3.33327183896	0.0125347138728	1	0.032	1.000
C vs. C	LB500-NO vs. LB500-NO	-4.4784010577	0.00287179084328	1	0.006	1.000
C vs. C	C vs. C-LATE	-25.5956652887	1.65698991957e-12	7.20790615015e-10	0.002	0.870
C vs. C	C vs. C-NO	-25.3873161084	1.83916291757e-12	8.00035869142e-10	0.001	0.435
C vs. C	C vs. LB500-EARLY	-15.6412561159	8.22788643751e-10	3.57913060032e-07	0.004	1.000
C vs. C	C vs. LB500-LATE	-35.1684880448	2.81649404603e-14	1.22517491002e-11	0.001	0.435
C vs. C	C vs. C-EARLY	-15.0664440062	1.30724864617e-09	5.68653161085e-07	0.005	1.000
C vs. C	C vs. LB500-NO	-18.6212456877	9.3359294281e-11	4.06112930122e-08	0.004	1.000
C vs. C	C-LATE vs. C-NO	-3.06874002942	0.00695481695442	1	0.007	1.000
C vs. C	C-LATE vs. LB500-EARLY	-5.64624815347	2.90285417231e-05	0.0126274156496	0.001	0.435
C vs. C	C-LATE vs. LB500-LATE	-3.92748175119	0.00108504773645	0.471995765355	0.005	1.000
C vs. C	C-LATE vs. C-EARLY	-3.93723467385	0.00106233919296	0.462117548939	0.001	0.435
C vs. C	C-LATE vs. LB500-NO	-6.72550876989	3.55668772073e-06	0.00154715915852	0.002	0.870
C vs. C	C-NO vs. LB500-EARLY	-4.68315357255	0.000213712851109	0.0929650902322	0.001	0.435
C vs. C	C-NO vs. LB500-LATE	-3.99133199939	0.000944785366093	0.410981634251	0.006	1.000
C vs. C	C-NO vs. C-EARLY	-3.78351112833	0.00148299657568	0.64510351042	0.004	1.000
C vs. C	C-NO vs. LB500-NO	-5.45741515089	4.25755000817e-05	0.0185203425355	0.002	0.870
C vs. C	LB500-EARLY vs. LB500-LATE	-3.53097130902	0.00256580236074	1	0.002	0.870
C vs. C	LB500-EARLY vs. C-EARLY	-3.21855293683	0.00504213279113	1	0.001	0.435
C vs. C	LB500-EARLY vs. LB500-NO	-3.30326086058	0.00420042275243	1	0.003	1.000
C vs. C	LB500-LATE vs. C-EARLY	-3.81224584183	0.0013933082687	0.606089096883	0.002	0.870
C vs. C	LB500-LATE vs. LB500-NO	-4.35539261424	0.000430508976311	0.187271404695	0.003	1.000
C vs. C	C-EARLY vs. LB500-NO	-7.35441170878	1.1254435692e-06	0.000489567952601	0.001	0.435
C-LATE vs. C-LATE	C-NO vs. C-NO	3.79019003151	0.00354228208617	1	0.003	1.000
