ID	File R1
657	4924-657-MSITS2a_R1
658	4924-658-MSITS2a_R1
659	4924-659-MSITS2a_R1
660	4924-660-MSITS2a_R1
662	4924-662-MSITS2a_R1
663	4924-663-MSITS2a_R1
664	4924-664-MSITS2a_R1
665	4924-665-MSITS2a_R1
667	4924-667-MSITS2a_R1
668	4924-668-MSITS2a_R1
669	4924-669-MSITS2a_R1
670	4924-670-MSITS2a_R1
672	4924-672-MSITS2a_R1
673	4924-673-MSITS2a_R1
674	4924-674-MSITS2a_R1
675	4924-675-MSITS2a_R1
677	4924-677-MSITS2a_R1
678	4924-678-MSITS2a_R1
679	4924-679-MSITS2a_R1
680	4924-680-MSITS2a_R1
692	4924-692-MSITS2a_R1
693	4924-693-MSITS2a_R1
694	4924-694-MSITS2a_R1
695	4924-695-MSITS2a_R1
697	4924-697-MSITS2a_R1
698	4924-698-MSITS2a_R1
699	4924-699-MSITS2a_R1
700	4924-700-MSITS2a_R1
