Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C	C-3H-LATE	116.475	23.9441407238	36.75	8.35	3.73290307266	0.735
C-3H-LATE	S2-3H	36.75	8.35	65.1	20.6803046399	-1.52212228366	1.0
C-NS	S2-NS	76.075	22.0928014294	80.65	8.69611982438	-0.333750688985	1.0
C	S2-NS	116.475	23.9441407238	80.65	8.69611982438	2.43580821171	0.405
C	S2-3H	116.475	23.9441407238	65.1	20.6803046399	2.81252312139	0.375
C-3H-LATE	C-3H	36.75	8.35	59.7	14.5060332276	-1.69205882105	1.0
C-3H	S2-NS	59.7	14.5060332276	80.65	8.69611982438	-2.14548546381	0.735
S2-3H	C-NS	65.1	20.6803046399	76.075	22.0928014294	-0.628163490497	1.0
S2-3H	S2-NS	65.1	20.6803046399	80.65	8.69611982438	-1.20054552743	1.0
C	C-3H	116.475	23.9441407238	59.7	14.5060332276	3.51260939963	0.315
C-3H-LATE	C-NS	36.75	8.35	76.075	22.0928014294	-1.98566837185	1.0
S2-3H	C-3H	65.1	20.6803046399	59.7	14.5060332276	0.370262743595	1.0
C-3H-LATE	S2-NS	36.75	8.35	80.65	8.69611982438	-4.82263823822	0.915
C-NS	C-3H	76.075	22.0928014294	59.7	14.5060332276	1.0731328387	1.0
C	C-NS	116.475	23.9441407238	76.075	22.0928014294	2.14782868279	0.375
