# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-4.33125972334	2.21849101174e-05	0.00561278225971	0.001	0.253
All within treatment	C vs. C	-3.70207093952	0.000732099824252	0.185221255536	0.002	0.506
All within treatment	C-3H-LATE vs. C-3H-LATE	1.11786536986	[ 0.27249677]	1	0.277	1.000
All within treatment	S2-NS vs. S2-NS	1.62213108293	0.113750277595	1	0.105	1.000
All within treatment	S2-3H vs. S2-3H	1.64471583867	0.108981880645	1	0.102	1.000
All within treatment	C-NS vs. C-NS	0.458960049948	0.649100517576	1	0.659	1.000
All within treatment	C-3H vs. C-3H	0.488234491569	0.628428714977	1	0.617	1.000
All within treatment	C vs. C-3H-LATE	-12.6991409807	4.67506714599e-15	1.18279198794e-12	0.001	0.253
All within treatment	C vs. S2-NS	-15.1237795879	2.93558473094e-19	7.42702936927e-17	0.001	0.253
All within treatment	C vs. S2-3H	-15.4742949346	1.23200721789e-19	3.11697826127e-17	0.001	0.253
All within treatment	C vs. C-NS	-14.2046016096	3.05686590786e-18	7.73387074689e-16	0.001	0.253
All within treatment	C vs. C-3H	-14.519334761	1.35543509475e-18	3.42925078972e-16	0.001	0.253
All within treatment	C-3H-LATE vs. S2-NS	-8.46197269439	3.53415455065e-10	8.94141101315e-08	0.001	0.253
All within treatment	C-3H-LATE vs. S2-3H	-8.71854455093	1.67730126453e-10	4.24357219925e-08	0.001	0.253
All within treatment	C-3H-LATE vs. C-NS	-8.72697979858	1.63692394622e-10	4.14141758393e-08	0.001	0.253
All within treatment	C-3H-LATE vs. C-3H	-9.11291016781	5.41930576631e-11	1.37108435888e-08	0.001	0.253
All within treatment	S2-NS vs. S2-3H	2.7228263795	0.00917745603409	1	0.012	1.000
All within treatment	S2-NS vs. C-NS	1.92733292774	0.0602652135551	1	0.061	1.000
All within treatment	S2-NS vs. C-3H	1.44297309368	0.155953336563	1	0.162	1.000
All within treatment	S2-3H vs. C-NS	1.64216361092	0.107527202056	1	0.106	1.000
All within treatment	S2-3H vs. C-3H	1.53988737942	0.130590899595	1	0.109	1.000
All within treatment	C-NS vs. C-3H	0.940340138428	0.352063674181	1	0.341	1.000
All between treatment	C vs. C	0.2702998965	0.787202802785	1	0.787	1.000
All between treatment	C-3H-LATE vs. C-3H-LATE	-0.301914354679	[ 0.76303264]	1	0.945	1.000
All between treatment	S2-NS vs. S2-NS	2.64496708225	0.00880588931794	1	0.004	1.000
All between treatment	S2-3H vs. S2-3H	2.65120440299	0.0086503130716	1	0.007	1.000
All between treatment	C-NS vs. C-NS	2.13542552269	0.0339185698867	1	0.031	1.000
All between treatment	C-3H vs. C-3H	2.14432426678	0.0331898084537	1	0.023	1.000
All between treatment	C vs. C-3H-LATE	-3.52541041788	0.000521013613174	0.131816444133	0.001	0.253
All between treatment	C vs. S2-NS	-3.45939115739	0.000653275871275	0.165278795433	0.001	0.253
All between treatment	C vs. S2-3H	-3.63091416004	0.000353413756299	0.0894136803437	0.001	0.253
All between treatment	C vs. C-NS	-3.45222670438	0.000669921658707	0.169490179653	0.002	0.506
All between treatment	C vs. C-3H	-3.44341516476	0.000690938820192	0.174807521509	0.001	0.253
All between treatment	C-3H-LATE vs. S2-NS	-2.39177598255	0.0176661585609	1	0.017	1.000
All between treatment	C-3H-LATE vs. S2-3H	-2.46779277179	0.0144100334903	1	0.005	1.000
All between treatment	C-3H-LATE vs. C-NS	-2.47435739841	0.0141555799539	1	0.016	1.000
All between treatment	C-3H-LATE vs. C-3H	-2.57855295563	0.0106185345515	1	0.008	1.000
All between treatment	S2-NS vs. S2-3H	4.37726323218	1.87902250803e-05	0.00475392694532	0.001	0.253
All between treatment	S2-NS vs. C-NS	4.02709765101	7.84147491011e-05	0.0198389315226	0.001	0.253
All between treatment	S2-NS vs. C-3H	3.80819446313	0.000182858247418	0.0462631365968	0.001	0.253
All between treatment	S2-3H vs. C-NS	3.88371670294	0.000137097957508	0.0346857832496	0.001	0.253
All between treatment	S2-3H vs. C-3H	3.84751998601	0.000157476930284	0.0398416633619	0.001	0.253
All between treatment	C-NS vs. C-3H	3.58195930632	0.000422134134682	0.106799936075	0.001	0.253
C vs. C	C-3H-LATE vs. C-3H-LATE	-0.628517199164	[ 0.55725515]	1	0.675	1.000
C vs. C	S2-NS vs. S2-NS	6.82820250671	4.57918081771e-05	0.0115853274688	0.003	0.759
C vs. C	S2-3H vs. S2-3H	7.2465301241	2.76982037415e-05	0.0070076455466	0.002	0.506
C vs. C	C-NS vs. C-NS	4.45391450825	0.00122766665159	0.310599662851	0.001	0.253
C vs. C	C-3H vs. C-3H	5.62957973302	0.000218539343732	0.0552904539643	0.003	0.759
C vs. C	C vs. C-3H-LATE	-8.94960277173	1.17149763e-06	0.00029638890039	0.002	0.506
C vs. C	C vs. S2-NS	-12.035725833	1.289958237e-10	3.2635943396e-08	0.001	0.253
C vs. C	C vs. S2-3H	-12.2371388704	9.61354374026e-11	2.43222656629e-08	0.001	0.253
C vs. C	C vs. C-NS	-7.8997150546	1.41570480401e-07	3.58173315413e-05	0.001	0.253
C vs. C	C vs. C-3H	-8.937326615	2.02020891031e-08	5.11112854308e-06	0.001	0.253
C vs. C	C-3H-LATE vs. S2-NS	-3.19201250975	0.00774652785158	1	0.014	1.000
C vs. C	C-3H-LATE vs. S2-3H	-3.39094762255	0.00535861029067	1	0.004	1.000
C vs. C	C-3H-LATE vs. C-NS	-3.39531142993	0.00531556696043	1	0.010	1.000
C vs. C	C-3H-LATE vs. C-3H	-3.71920234135	0.0029311339246	0.741576882924	0.008	1.000
C vs. C	S2-NS vs. S2-3H	9.44222263831	8.23109402859e-09	2.08246678923e-06	0.001	0.253
C vs. C	S2-NS vs. C-NS	8.03183644771	1.09622803945e-07	2.77345693982e-05	0.001	0.253
C vs. C	S2-NS vs. C-3H	7.38865379209	3.89195248918e-07	9.84663979762e-05	0.001	0.253
C vs. C	S2-3H vs. C-NS	8.82651716851	2.47070521819e-08	6.25088420203e-06	0.001	0.253
C vs. C	S2-3H vs. C-3H	7.85114531338	1.5561744604e-07	3.93712138482e-05	0.001	0.253
C vs. C	C-NS vs. C-3H	6.47825205125	2.57205897736e-06	0.000650730921271	0.001	0.253
C-3H-LATE vs. C-3H-LATE	S2-NS vs. S2-NS	3.53782118867	[ 0.016601]	1	0.154	1.000
C-3H-LATE vs. C-3H-LATE	S2-3H vs. S2-3H	4.28579721816	[ 0.00782026]	1	0.125	1.000
C-3H-LATE vs. C-3H-LATE	C-NS vs. C-NS	1.70379030012	[ 0.14914623]	1	0.175	1.000
C-3H-LATE vs. C-3H-LATE	C-3H vs. C-3H	3.00185208673	[ 0.03003527]	1	0.135	1.000
C-3H-LATE vs. C-3H-LATE	C vs. C-3H-LATE	-5.21238750226	[ 0.00123608]	[ 0.3127286]	0.063	1.000
C-3H-LATE vs. C-3H-LATE	C vs. S2-NS	-10.4671457373	[  2.73150342e-08]	[  6.91070366e-06]	0.012	1.000
C-3H-LATE vs. C-3H-LATE	C vs. S2-3H	-9.99969021985	[  4.99893519e-08]	[  1.26473060e-05]	0.058	1.000
C-3H-LATE vs. C-3H-LATE	C vs. C-NS	-4.53997466542	[ 0.00039091]	[ 0.09890087]	0.023	1.000
C-3H-LATE vs. C-3H-LATE	C vs. C-3H	-5.48614010645	[  6.26611433e-05]	[ 0.01585327]	0.051	1.000
C-3H-LATE vs. C-3H-LATE	C-3H-LATE vs. S2-NS	-1.57406399487	[ 0.15947272]	1	0.123	1.000
C-3H-LATE vs. C-3H-LATE	C-3H-LATE vs. S2-3H	-1.67155839399	[ 0.13853347]	1	0.065	1.000
C-3H-LATE vs. C-3H-LATE	C-3H-LATE vs. C-NS	-1.67283178275	[ 0.13827785]	1	0.098	1.000
C-3H-LATE vs. C-3H-LATE	C-3H-LATE vs. C-3H	-1.83568007039	[ 0.10903354]	1	0.116	1.000
C-3H-LATE vs. C-3H-LATE	S2-NS vs. S2-3H	4.01299536585	[ 0.00112908]	[ 0.28565754]	0.060	1.000
C-3H-LATE vs. C-3H-LATE	S2-NS vs. C-NS	3.18872154946	[ 0.00610315]	1	0.057	1.000
C-3H-LATE vs. C-3H-LATE	S2-NS vs. C-3H	2.84893633138	[ 0.0121927]	1	0.044	1.000
C-3H-LATE vs. C-3H-LATE	S2-3H vs. C-NS	3.82372749132	[ 0.0016607]	[ 0.42015793]	0.072	1.000
C-3H-LATE vs. C-3H-LATE	S2-3H vs. C-3H	3.12595321867	[ 0.00693929]	1	0.068	1.000
C-3H-LATE vs. C-3H-LATE	C-NS vs. C-3H	2.37161571214	[ 0.03152367]	1	0.012	1.000
S2-NS vs. S2-NS	S2-3H vs. S2-3H	0.0219463057057	0.982922524851	1	0.993	1.000
S2-NS vs. S2-NS	C-NS vs. C-NS	-1.3697315445	0.200740019913	1	0.204	1.000
S2-NS vs. S2-NS	C-3H vs. C-3H	-1.85730099448	0.0929256895352	1	0.094	1.000
S2-NS vs. S2-NS	C vs. C-3H-LATE	-17.1576954522	8.28324942577e-10	2.09566210472e-07	0.001	0.253
S2-NS vs. S2-NS	C vs. S2-NS	-29.3677022946	6.36590416787e-18	1.61057375447e-15	0.001	0.253
S2-NS vs. S2-NS	C vs. S2-3H	-28.8632510756	8.93393406019e-18	2.26028531723e-15	0.001	0.253
S2-NS vs. S2-NS	C vs. C-NS	-17.0198481211	2.29286249699e-13	5.80094211738e-11	0.001	0.253
S2-NS vs. S2-NS	C vs. C-3H	-19.7636270807	1.3549922947e-14	3.42813050559e-12	0.001	0.253
S2-NS vs. S2-NS	C-3H-LATE vs. S2-NS	-6.57563510859	2.62929832834e-05	0.00665212477071	0.001	0.253
S2-NS vs. S2-NS	C-3H-LATE vs. S2-3H	-6.90405374877	1.64160758057e-05	0.00415326717885	0.001	0.253
S2-NS vs. S2-NS	C-3H-LATE vs. C-NS	-6.90438189885	1.64084668852e-05	0.00415134212195	0.001	0.253
S2-NS vs. S2-NS	C-3H-LATE vs. C-3H	-7.4560588185	7.67271228175e-06	0.00194119620728	0.001	0.253
S2-NS vs. S2-NS	S2-NS vs. S2-3H	0.163165465984	0.872025610794	1	0.881	1.000
S2-NS vs. S2-NS	S2-NS vs. C-NS	-0.709548062467	0.486175076737	1	0.524	1.000
S2-NS vs. S2-NS	S2-NS vs. C-3H	-1.21747075878	0.237595467738	1	0.211	1.000
S2-NS vs. S2-NS	S2-3H vs. C-NS	-1.26747272564	0.219545619658	1	0.211	1.000
S2-NS vs. S2-NS	S2-3H vs. C-3H	-1.19492779657	0.246093392229	1	0.257	1.000
S2-NS vs. S2-NS	C-NS vs. C-3H	-1.63282563766	0.118150905959	1	0.109	1.000
S2-3H vs. S2-3H	C-NS vs. C-NS	-1.45605650015	0.17604402513	1	0.168	1.000
S2-3H vs. S2-3H	C-3H vs. C-3H	-2.07377521144	0.0648717592436	1	0.060	1.000
S2-3H vs. S2-3H	C vs. C-3H-LATE	-17.9659789316	4.86015579142e-10	1.22961941523e-07	0.001	0.253
S2-3H vs. S2-3H	C vs. S2-NS	-32.2813706598	9.96432852202e-19	2.52097511607e-16	0.001	0.253
S2-3H vs. S2-3H	C vs. S2-3H	-31.4834224014	1.62870738829e-18	4.12062969237e-16	0.001	0.253
S2-3H vs. S2-3H	C vs. C-NS	-17.5501305013	1.28781727138e-13	3.25817769659e-11	0.001	0.253
S2-3H vs. S2-3H	C vs. C-3H	-20.6009348598	6.13262079503e-15	1.55155306114e-12	0.001	0.253
S2-3H vs. S2-3H	C-3H-LATE vs. S2-NS	-6.6449392455	2.37770011976e-05	0.00601558130298	0.001	0.253
S2-3H vs. S2-3H	C-3H-LATE vs. S2-3H	-6.98144764472	1.47214097435e-05	0.00372451666509	0.001	0.253
S2-3H vs. S2-3H	C-3H-LATE vs. C-NS	-6.98160779697	1.47181026437e-05	0.00372367996885	0.001	0.253
S2-3H vs. S2-3H	C-3H-LATE vs. C-3H	-7.54868697497	6.77833589715e-06	0.00171491898198	0.001	0.253
S2-3H vs. S2-3H	S2-NS vs. S2-3H	0.144094072454	0.88686825004	1	0.897	1.000
S2-3H vs. S2-3H	S2-NS vs. C-NS	-0.760970848314	0.455553635284	1	0.476	1.000
S2-3H vs. S2-3H	S2-NS vs. C-3H	-1.28533468297	0.213360678139	1	0.213	1.000
S2-3H vs. S2-3H	S2-3H vs. C-NS	-1.36657126655	0.186927571173	1	0.180	1.000
S2-3H vs. S2-3H	S2-3H vs. C-3H	-1.26943309208	0.218860119417	1	0.228	1.000
S2-3H vs. S2-3H	C-NS vs. C-3H	-1.70544307358	0.103595915252	1	0.109	1.000
C-NS vs. C-NS	C-3H vs. C-3H	0.0200308508736	0.984412802559	1	0.982	1.000
C-NS vs. C-NS	C vs. C-3H-LATE	-13.3954413744	1.40681074124e-08	3.55923117532e-06	0.001	0.253
C-NS vs. C-NS	C vs. S2-NS	-20.035052636	1.04447680611e-14	2.64252631945e-12	0.001	0.253
C-NS vs. C-NS	C vs. S2-3H	-20.0592066921	1.02072122065e-14	2.58242468825e-12	0.001	0.253
C-NS vs. C-NS	C vs. C-NS	-13.6533231895	1.34573159725e-11	3.40470094105e-09	0.001	0.253
C-NS vs. C-NS	C vs. C-3H	-15.337109424	1.59620757464e-12	4.03840516384e-10	0.001	0.253
C-NS vs. C-NS	C-3H-LATE vs. S2-NS	-5.65605113265	0.000106256974663	0.0268830145896	0.002	0.506
C-NS vs. C-NS	C-3H-LATE vs. S2-3H	-5.93283560507	6.89377630428e-05	0.0174412540498	0.002	0.506
C-NS vs. C-NS	C-3H-LATE vs. C-NS	-5.93448307004	6.87626667557e-05	0.0173969546892	0.003	0.759
C-NS vs. C-NS	C-3H-LATE vs. C-3H	-6.39228198576	3.44154912534e-05	0.00870711928711	0.001	0.253
C-NS vs. C-NS	S2-NS vs. S2-3H	2.04707902898	0.0540165006566	1	0.053	1.000
C-NS vs. C-NS	S2-NS vs. C-NS	1.16799413361	0.256544690428	1	0.245	1.000
C-NS vs. C-NS	S2-NS vs. C-3H	0.683140444032	0.502355786522	1	0.493	1.000
C-NS vs. C-NS	S2-3H vs. C-NS	0.96648141958	0.345345835991	1	0.333	1.000
C-NS vs. C-NS	S2-3H vs. C-3H	0.800115743275	0.433045361541	1	0.403	1.000
C-NS vs. C-NS	C-NS vs. C-3H	0.19511209086	0.84727368427	1	0.858	1.000
C-3H vs. C-3H	C vs. C-3H-LATE	-16.2035238847	1.60297794515e-09	4.05553420123e-07	0.001	0.253
C-3H vs. C-3H	C vs. S2-NS	-28.2205638392	1.38726310663e-17	3.50977565977e-15	0.001	0.253
C-3H vs. C-3H	C vs. S2-3H	-27.6471119856	2.07120115075e-17	5.24013891139e-15	0.001	0.253
C-3H vs. C-3H	C vs. C-NS	-15.5813563152	1.19117245282e-12	3.01366630564e-10	0.001	0.253
C-3H vs. C-3H	C vs. C-3H	-18.2408772313	6.2140589436e-14	1.57215691273e-11	0.001	0.253
C-3H vs. C-3H	C-3H-LATE vs. S2-NS	-5.92216309531	7.00835539835e-05	0.0177311391578	0.001	0.253
C-3H vs. C-3H	C-3H-LATE vs. S2-3H	-6.2312145408	4.37610406756e-05	0.0110715432909	0.001	0.253
C-3H vs. C-3H	C-3H-LATE vs. C-NS	-6.23227100873	4.36916342071e-05	0.0110539834544	0.001	0.253
C-3H vs. C-3H	C-3H-LATE vs. C-3H	-6.75099852706	2.04099431401e-05	0.00516371561445	0.001	0.253
C-3H vs. C-3H	S2-NS vs. S2-3H	2.43933998297	0.02415680716	1	0.031	1.000
C-3H vs. C-3H	S2-NS vs. C-NS	1.34354315461	0.194142641081	1	0.190	1.000
C-3H vs. C-3H	S2-NS vs. C-3H	0.768583362507	0.451121654404	1	0.471	1.000
C-3H vs. C-3H	S2-3H vs. C-NS	1.16784859381	0.256602053816	1	0.253	1.000
C-3H vs. C-3H	S2-3H vs. C-3H	0.919938073324	0.368568355702	1	0.362	1.000
C-3H vs. C-3H	C-NS vs. C-3H	0.196661193174	0.846077348245	1	0.852	1.000
C vs. C-3H-LATE	C vs. S2-NS	4.87064266019	7.20979484938e-05	0.0182407809689	0.001	0.253
C vs. C-3H-LATE	C vs. S2-3H	4.23429825115	0.000340443690499	0.0861322536963	0.001	0.253
C vs. C-3H-LATE	C vs. C-NS	3.40875224607	0.00251814927901	0.63709176759	0.004	1.000
C vs. C-3H-LATE	C vs. C-3H	3.84024817917	0.000889748523112	0.225106376347	0.001	0.253
C vs. C-3H-LATE	C-3H-LATE vs. S2-NS	1.49859084803	0.15618683855	1	0.145	1.000
C vs. C-3H-LATE	C-3H-LATE vs. S2-3H	1.44317891764	0.170971270013	1	0.125	1.000
C vs. C-3H-LATE	C-3H-LATE vs. C-NS	1.4324620111	0.17396109653	1	0.125	1.000
C vs. C-3H-LATE	C-3H-LATE vs. C-3H	1.36055580028	0.195157360238	1	0.133	1.000
C vs. C-3H-LATE	S2-NS vs. S2-3H	24.1788866393	0.0	0.0	0.001	0.253
C vs. C-3H-LATE	S2-NS vs. C-NS	21.9225746858	2.22044604925e-16	5.6177285046e-14	0.001	0.253
C vs. C-3H-LATE	S2-NS vs. C-3H	21.006846179	4.4408920985e-16	1.12354570092e-13	0.001	0.253
C vs. C-3H-LATE	S2-3H vs. C-NS	24.2469661624	0.0	0.0	0.001	0.253
C vs. C-3H-LATE	S2-3H vs. C-3H	22.0319975856	2.22044604925e-16	5.6177285046e-14	0.001	0.253
C vs. C-3H-LATE	C-NS vs. C-3H	19.3665945552	2.6645352591e-15	6.74127420552e-13	0.001	0.253
C vs. S2-NS	C vs. S2-3H	-1.07659826125	0.29024160752	1	0.287	1.000
C vs. S2-NS	C vs. C-NS	0.00212886936735	0.998315502836	1	0.995	1.000
C vs. S2-NS	C vs. C-3H	0.0515451636591	0.959232803087	1	0.965	1.000
C vs. S2-NS	C-3H-LATE vs. S2-NS	0.0711895623196	0.943890090001	1	0.935	1.000
C vs. S2-NS	C-3H-LATE vs. S2-3H	-0.0851219017488	0.932934380961	1	0.927	1.000
C vs. S2-NS	C-3H-LATE vs. C-NS	-0.0990904126957	0.921963853522	1	0.912	1.000
C vs. S2-NS	C-3H-LATE vs. C-3H	-0.335022924057	0.740781208797	1	0.735	1.000
C vs. S2-NS	S2-NS vs. S2-3H	35.6072250092	0.0	0.0	0.001	0.253
C vs. S2-NS	S2-NS vs. C-NS	31.1461934107	0.0	0.0	0.001	0.253
C vs. S2-NS	S2-NS vs. C-3H	29.4679787772	0.0	0.0	0.001	0.253
C vs. S2-NS	S2-3H vs. C-NS	36.4726651976	0.0	0.0	0.001	0.253
C vs. S2-NS	S2-3H vs. C-3H	31.5243800466	0.0	0.0	0.001	0.253
C vs. S2-NS	C-NS vs. C-3H	26.4542053412	0.0	0.0	0.001	0.253
C vs. S2-3H	C vs. C-NS	0.625653671713	0.536273219592	1	0.543	1.000
C vs. S2-3H	C vs. C-3H	0.77581036186	0.443934281725	1	0.465	1.000
C vs. S2-3H	C-3H-LATE vs. S2-NS	0.317697178775	0.753710420562	1	0.744	1.000
C vs. S2-3H	C-3H-LATE vs. S2-3H	0.170915827038	0.865852160724	1	0.863	1.000
C vs. S2-3H	C-3H-LATE vs. C-NS	0.156717289098	0.876896965024	1	0.866	1.000
C vs. S2-3H	C-3H-LATE vs. C-3H	-0.0625085698035	0.950722283587	1	0.949	1.000
C vs. S2-3H	S2-NS vs. S2-3H	35.6313986865	0.0	0.0	0.001	0.253
C vs. S2-3H	S2-NS vs. C-NS	31.3028654367	0.0	0.0	0.001	0.253
C vs. S2-3H	S2-NS vs. C-3H	29.6620250036	0.0	0.0	0.001	0.253
