OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-NS_mean	S2-NS_mean	S2-3H_mean	C-3H-LATE_mean	C-3H_mean	S2-3H-LATE_mean	taxonomy
GU721713	26.8203991131	0.000156466274088	0.0105731046872	0.0628994421832	7.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
GU721782	26.8203991131	0.000156466274088	0.0105731046872	0.0628994421832	2.25	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
EU828349	26.8203991131	0.000156466274088	0.0105731046872	0.0628994421832	2.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
FJ757763	26.8203991131	0.000156466274088	0.0105731046872	0.0628994421832	2.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
DQ267827	26.8005908419	0.000157807532644	0.0105731046872	0.063438628123	4.25	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_sp_2_TMS_2011
New.CleanUp.ReferenceOTU44	26.8005908419	0.000157807532644	0.0105731046872	0.063438628123	13.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AY301024	23.5187517109	0.000640112474442	0.0338243121373	0.257325214726	140.75	489.0	521.25	814.5	101.25	677.0	12.75	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ510076	23.270718232	0.00071069734468	0.0338243121373	0.285700332561	4.5	0.0	0.0	0.0	0.0	0.25	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__fungal_endophyte_sp_M13_3311
New.CleanUp.ReferenceOTU560	22.7247608927	0.000894102975335	0.0338243121373	0.359429396085	25.0	0.0	0.5	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU603	22.5110429448	0.000977922928559	0.0338243121373	0.393125017281	102.5	1.25	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_sp_CBS_10854
New.ReferenceOTU8	22.418744626	0.00101646351057	0.0338243121373	0.408618331248	0.5	4.25	6.5	6.0	0.5	7.5	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU053892	22.2431761787	0.00109393226473	0.0338243121373	0.439760770423	5.5	20.25	24.0	30.5	3.25	34.0	0.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU733329	22.2226354942	0.00110336580003	0.0338243121373	0.443553051612	0.0	0.0	0.0	0.0	13.0	0.0	4.25	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Incertae_sedis; f__Monascaceae; g__Monascus; s__Monascus_purpureus
HQ631046	22.0660273973	0.00117796111921	0.0338243121373	0.473540369922	18.25	161.25	248.5	312.0	22.25	301.0	9.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Bullera; s__Bullera_sp_TMS_2011
