# Constructed from biom file
#OTU ID	C	C-3H	C-3H-LATE	C-NS	S2-3H	S2-NS
No blast hit;Other;Other;Other	0.000134935957319	0.000356512016075	0.0	0.000141299484257	0.000120036010803	0.000105679696582
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.0297897075004	0.0223306162796	0.0141076432506	0.0513976873984	0.0485945783735	0.0973310005519
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales	0.000809615743912	0.0	0.0	0.0	0.0	1.17421885091e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.00552199456104	0.000437537474274	4.83138467485e-05	0.000376798624685	0.00295088526558	0.00100982821178
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified	0.252641630857	0.000599588390672	0.0	0.0	0.000990297089127	0.00223101581673
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.000871893878059	0.0	3.22092311657e-05	0.000482773237878	0.00100030009003	0.000117421885091
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Incertae_sedis	0.0	1.62050916398e-05	0.829436016362	0.0	1.00030009003e-05	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.00020759378049	0.0	6.44184623313e-05	0.000435673409792	6.00180054016e-05	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	0.152726744307	0.226709232041	0.0348503881212	0.194275015896	0.120406121837	0.145920176603
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	0.0614166199581	0.000437537474274	8.05230779141e-05	0.00323811318089	0.000950285085526	0.001291640736
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis	0.0	0.0	0.0	0.0	0.000100030009003	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.000332150048785	0.0	0.0	0.0	0.0	0.000915890703709
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales	5.18984451226e-05	1.62050916398e-05	0.0	0.000353248710642	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	0.0	0.0	0.0	0.000883121776606	0.0	0.00176132827636
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unidentified	0.000166075024392	0.0	0.0	0.0	0.0	0.00144428918662
k__Fungi;p__Ascomycota;c__unidentified;o__unidentified	0.0637935687447	0.00640101119772	0.000450929236319	0.0126816287121	0.00566169850955	0.00702182872844
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.000446326628054	0.000129640733118	0.0	0.0	0.000180054016205	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales	8.30375121961e-05	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales	0.000217973469515	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales	0.000134935957319	8.1025458199e-05	0.0	0.0	0.000100030009003	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales	0.00670527910984	0.00247937902089	0.00322092311657	0.00284953959918	0.00222066619986	0.0029707736928
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales	0.000581262585373	0.0	0.0	0.0	0.000420126037811	0.0
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales	0.00172302837807	0.00392163217683	0.00138499694012	0.00228434166215	0.00351105331599	0.00541314890269
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales	0.0016088517988	0.00351650488584	0.00275388926466	0.00475708263665	0.000880264079224	0.00136209386705
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.00689211351228	0.0489879920271	0.0130447386221	0.0573558156513	0.0603981194358	0.056761739253
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__unidentified	0.00120404392684	0.00631998573952	4.83138467485e-05	0.00183689329534	0.00499149744923	0.000798468818618
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales	0.00123518299392	3.24101832796e-05	0.0	8.24246991498e-05	1.00030009003e-05	5.87109425455e-05
k__Fungi;p__Basidiomycota;c__unidentified;o__unidentified	0.0409790122688	0.0142766857347	0.000724707701227	0.0117867319784	0.00942282684805	0.00980472740509
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales	0.0	0.000291691649516	0.0	0.0	0.000140042012604	0.000410976597818
k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mucorales	9.34172012207e-05	8.1025458199e-05	0.0	4.70998280856e-05	0.0	0.0
k__Fungi;p__unidentified;c__unidentified;o__unidentified	0.369631105852	0.662577581876	0.09975198892	0.654734710218	0.736881064319	0.663257517936
