Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	10.551716	1.62178132155	13.8857055	7.99743125577	-0.707657874006	1.0
C	LB500-NO	42.7722565	2.2910877558	15.0958115	2.97304445049	12.7715933773	0.231
C	C-LATE	42.7722565	2.2910877558	8.9336045	1.18999181954	22.7022171467	0.336
LB500-LATE	LB500-NO	10.32286675	1.55369276316	15.0958115	2.97304445049	-2.46441448603	1.0
C-LATE	C-NO	8.9336045	1.18999181954	10.551716	1.62178132155	-1.39329294266	1.0
C-LATE	LB500-NO	8.9336045	1.18999181954	15.0958115	2.97304445049	-3.33294014619	0.441
C-LATE	LB500-EARLY	8.9336045	1.18999181954	11.3893715	2.84330929139	-1.37998645517	1.0
C-NO	LB500-LATE	10.551716	1.62178132155	10.32286675	1.55369276316	0.176488630539	1.0
C-LATE	C-EARLY	8.9336045	1.18999181954	13.8857055	7.99743125577	-1.06082638391	1.0
C-LATE	LB500-LATE	8.9336045	1.18999181954	10.32286675	1.55369276316	-1.22954126613	1.0
C-NO	LB500-EARLY	10.551716	1.62178132155	11.3893715	2.84330929139	-0.443239491097	1.0
C	C-NO	42.7722565	2.2910877558	10.551716	1.62178132155	19.8815754084	0.252
C	C-EARLY	42.7722565	2.2910877558	13.8857055	7.99743125577	6.01420463304	0.336
C-NO	LB500-NO	10.551716	1.62178132155	15.0958115	2.97304445049	-2.32403209304	1.0
C-EARLY	LB500-NO	13.8857055	7.99743125577	15.0958115	2.97304445049	-0.245654438811	1.0
LB500-LATE	LB500-EARLY	10.32286675	1.55369276316	11.3893715	2.84330929139	-0.570115050569	1.0
LB500-LATE	C-EARLY	10.32286675	1.55369276316	13.8857055	7.99743125577	-0.757463138123	1.0
C	LB500-LATE	42.7722565	2.2910877558	10.32286675	1.55369276316	20.3032935045	0.252
C	LB500-EARLY	42.7722565	2.2910877558	11.3893715	2.84330929139	14.8861215023	0.189
LB500-EARLY	LB500-NO	11.3893715	2.84330929139	15.0958115	2.97304445049	-1.56053595205	1.0
LB500-EARLY	C-EARLY	11.3893715	2.84330929139	13.8857055	7.99743125577	-0.509408839592	1.0
