Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	317.298923893	45.6004185503	434.227722756	226.277942353	-0.877395702255	1.0
C	LB500-NO	1778.81501874	89.91854667	518.315738956	127.751624031	13.9751508759	0.609
C	C-LATE	1778.81501874	89.91854667	233.737436077	21.3777736078	28.9549040607	0.546
LB500-LATE	LB500-NO	315.669105232	50.1027588085	518.315738956	127.751624031	-2.5577968741	0.84
C-LATE	C-NO	233.737436077	21.3777736078	317.298923893	45.6004185503	-2.87380494408	1.0
C-LATE	LB500-NO	233.737436077	21.3777736078	518.315738956	127.751624031	-3.80538815054	0.336
C-LATE	LB500-EARLY	233.737436077	21.3777736078	343.286774751	86.3025407972	-2.13410442554	1.0
C-NO	LB500-LATE	317.298923893	45.6004185503	315.669105232	50.1027588085	0.0416685599706	1.0
C-LATE	C-EARLY	233.737436077	21.3777736078	434.227722756	226.277942353	-1.52785506697	0.483
C-LATE	LB500-LATE	233.737436077	21.3777736078	315.669105232	50.1027588085	-2.60514571787	0.735
C-NO	LB500-EARLY	317.298923893	45.6004185503	343.286774751	86.3025407972	-0.461148611536	1.0
C	C-NO	1778.81501874	89.91854667	317.298923893	45.6004185503	25.1082257038	0.294
C	C-EARLY	1778.81501874	89.91854667	434.227722756	226.277942353	9.56466364726	0.252
C-NO	LB500-NO	317.298923893	45.6004185503	518.315738956	127.751624031	-2.56676182499	1.0
C-EARLY	LB500-NO	434.227722756	226.277942353	518.315738956	127.751624031	-0.560494675775	1.0
LB500-LATE	LB500-EARLY	315.669105232	50.1027588085	343.286774751	86.3025407972	-0.479349794624	1.0
LB500-LATE	C-EARLY	315.669105232	50.1027588085	434.227722756	226.277942353	-0.886049770912	1.0
C	LB500-LATE	1778.81501874	89.91854667	315.669105232	50.1027588085	24.6198183137	0.63
C	LB500-EARLY	1778.81501874	89.91854667	343.286774751	86.3025407972	19.9497784674	0.588
LB500-EARLY	LB500-NO	343.286774751	86.3025407972	518.315738956	127.751624031	-1.96638564146	1.0
LB500-EARLY	C-EARLY	343.286774751	86.3025407972	434.227722756	226.277942353	-0.650409243034	1.0
