Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	152.2	34.1677479504	248.05	179.072897168	-0.910663489012	1.0
C	LB500-NO	1059.9	73.3589803637	259.675	68.9545638446	13.7668194635	0.693
C	C-LATE	1059.9	73.3589803637	132.475	9.85681870585	21.7020515043	0.735
LB500-LATE	LB500-NO	145.925	25.3958042794	259.675	68.9545638446	-2.68119296626	0.756
C-LATE	C-NO	132.475	9.85681870585	152.2	34.1677479504	-0.960732418704	1.0
C-LATE	LB500-NO	132.475	9.85681870585	259.675	68.9545638446	-3.16294996288	0.546
C-LATE	LB500-EARLY	132.475	9.85681870585	165.325	37.592111872	-1.46406707956	1.0
C-NO	LB500-LATE	152.2	34.1677479504	145.925	25.3958042794	0.255299228482	1.0
C-LATE	C-EARLY	132.475	9.85681870585	248.05	179.072897168	-1.11618903445	1.0
C-LATE	LB500-LATE	132.475	9.85681870585	145.925	25.3958042794	-0.855166340468	1.0
C-NO	LB500-EARLY	152.2	34.1677479504	165.325	37.592111872	-0.44750659006	1.0
C	C-NO	1059.9	73.3589803637	152.2	34.1677479504	19.4274722157	0.672
C	C-EARLY	1059.9	73.3589803637	248.05	179.072897168	7.26638463291	0.819
C-NO	LB500-NO	152.2	34.1677479504	259.675	68.9545638446	-2.41895484143	1.0
C-EARLY	LB500-NO	248.05	179.072897168	259.675	68.9545638446	-0.104930291371	1.0
LB500-LATE	LB500-EARLY	145.925	25.3958042794	165.325	37.592111872	-0.740674972821	1.0
LB500-LATE	C-EARLY	145.925	25.3958042794	248.05	179.072897168	-0.977999922491	1.0
C	LB500-LATE	1059.9	73.3589803637	145.925	25.3958042794	20.3921415204	0.693
C	LB500-EARLY	1059.9	73.3589803637	165.325	37.592111872	18.7971506247	0.525
LB500-EARLY	LB500-NO	165.325	37.592111872	259.675	68.9545638446	-2.0808171274	1.0
LB500-EARLY	C-EARLY	165.325	37.592111872	248.05	179.072897168	-0.783074228726	1.0
