# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-6.38868578871	4.94898285493e-10	2.1528075419e-07	0.001	0.435
All within treatment	C vs. C	2.64985013227	0.0110022152638	1	0.011	1.000
All within treatment	C-LATE vs. C-LATE	-0.752799322818	0.455405961316	1	0.461	1.000
All within treatment	C-NO vs. C-NO	1.48754499063	0.143694271004	1	0.139	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	0.133680138938	0.894238651418	1	0.895	1.000
All within treatment	LB500-LATE vs. LB500-LATE	-0.64163500205	0.524294733431	1	0.551	1.000
All within treatment	C-EARLY vs. C-EARLY	-3.2717042979	0.00203112965346	0.883541399256	0.002	0.870
All within treatment	LB500-NO vs. LB500-NO	0.732684236136	0.467468260153	1	0.444	1.000
All within treatment	C vs. C-LATE	-15.6378595606	4.3338902568e-22	1.88524226171e-19	0.001	0.435
All within treatment	C vs. C-NO	-14.3201299115	2.27281336211e-20	9.88673812517e-18	0.001	0.435
All within treatment	C vs. LB500-EARLY	-13.8812245783	8.91388294001e-20	3.8775390789e-17	0.001	0.435
All within treatment	C vs. LB500-LATE	-15.3424241581	1.03386089103e-21	4.49729487597e-19	0.001	0.435
All within treatment	C vs. C-EARLY	-13.2433466629	6.78473299051e-19	2.95135885087e-16	0.001	0.435
All within treatment	C vs. LB500-NO	-11.8253488811	7.45054001327e-17	3.24098490577e-14	0.001	0.435
All within treatment	C-LATE vs. C-NO	-0.919294717947	0.361884379739	1	0.356	1.000
All within treatment	C-LATE vs. LB500-EARLY	-3.48960066789	0.000950164425688	0.413321525174	0.003	1.000
All within treatment	C-LATE vs. LB500-LATE	-2.99422861515	0.00409053852485	1	0.005	1.000
All within treatment	C-LATE vs. C-EARLY	-4.14108471028	0.000117655220994	0.0511800211322	0.001	0.435
All within treatment	C-LATE vs. LB500-NO	-4.88120972728	9.15168938597e-06	0.0039809848829	0.001	0.435
All within treatment	C-NO vs. LB500-EARLY	-1.59421573891	0.116516778851	1	0.114	1.000
All within treatment	C-NO vs. LB500-LATE	-1.31642219477	0.193395063784	1	0.197	1.000
All within treatment	C-NO vs. C-EARLY	-3.07781314335	0.00322570433685	1	0.008	1.000
All within treatment	C-NO vs. LB500-NO	-1.00398656107	0.319703714003	1	0.320	1.000
All within treatment	LB500-EARLY vs. LB500-LATE	-0.760797802566	0.449969548563	1	0.466	1.000
All within treatment	LB500-EARLY vs. C-EARLY	-2.50600485305	0.0151427409477	1	0.008	1.000
All within treatment	LB500-EARLY vs. LB500-NO	-1.37609388402	0.174270935405	1	0.163	1.000
All within treatment	LB500-LATE vs. C-EARLY	-3.96565839678	0.000209958683207	0.0913320271949	0.002	0.870
All within treatment	LB500-LATE vs. LB500-NO	-1.98540121753	0.0520050650742	1	0.051	1.000
All within treatment	C-EARLY vs. LB500-NO	-3.64308026874	0.000590200329576	0.256737143365	0.001	0.435
All between treatment	C vs. C	4.24957431342	2.76940700144e-05	0.0120469204562	0.001	0.435
All between treatment	C-LATE vs. C-LATE	1.9525728613	0.0516905125158	1	0.060	1.000
All between treatment	C-NO vs. C-NO	3.47562733838	0.000575701734461	0.250430254491	0.002	0.870
All between treatment	LB500-EARLY vs. LB500-EARLY	2.5662402027	0.0107085590869	1	0.008	1.000
All between treatment	LB500-LATE vs. LB500-LATE	2.03526165373	0.042599730866	1	0.038	1.000
All between treatment	C-EARLY vs. C-EARLY	0.0829303304012	0.933955738826	1	0.930	1.000
All between treatment	LB500-NO vs. LB500-NO	2.96948473083	0.00319492444991	1	0.002	0.870
All between treatment	C vs. C-LATE	-6.45561916015	3.59908009465e-10	1.56559984117e-07	0.001	0.435
All between treatment	C vs. C-NO	-5.53728501835	6.04028169856e-08	2.62752253887e-05	0.001	0.435
All between treatment	C vs. LB500-EARLY	-5.43399012041	1.0344820328e-07	4.49999684266e-05	0.001	0.435
All between treatment	C vs. LB500-LATE	-6.16630306972	1.92794073111e-09	8.38654218034e-07	0.001	0.435
All between treatment	C vs. C-EARLY	-5.12329231422	4.97220558444e-07	0.000216290942923	0.001	0.435
All between treatment	C vs. LB500-NO	-3.89587300534	0.000117224916866	0.0509928388368	0.001	0.435
All between treatment	C-LATE vs. C-NO	3.38199568031	0.000800983773786	0.348427941597	0.003	1.000
All between treatment	C-LATE vs. LB500-EARLY	1.63258510861	0.103455574911	1	0.088	1.000
All between treatment	C-LATE vs. LB500-LATE	1.82287392327	0.0691754764546	1	0.050	1.000
