# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-4.73419169457	3.1201630506e-06	0.00135727092701	0.001	0.435
All within treatment	C vs. C	-2.62012420912	0.0118693172321	1	0.013	1.000
All within treatment	C-LATE vs. C-LATE	1.34882751814	0.183995392027	1	0.187	1.000
All within treatment	C-NO vs. C-NO	1.598921977	0.116684981526	1	0.075	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	1.04387079127	0.302000108264	1	0.362	1.000
All within treatment	LB500-LATE vs. LB500-LATE	1.56516563595	0.124398307378	1	0.087	1.000
All within treatment	C-EARLY vs. C-EARLY	-3.59672040021	0.00078391671473	0.341003770908	0.004	1.000
All within treatment	LB500-NO vs. LB500-NO	0.990127194412	0.327291778119	1	0.370	1.000
All within treatment	C vs. C-LATE	-17.7414061716	1.18819649668e-24	5.16865476056e-22	0.001	0.435
All within treatment	C vs. C-NO	-17.6860911808	1.37889103747e-24	5.998176013e-22	0.001	0.435
All within treatment	C vs. LB500-EARLY	-15.3987153537	8.75323431807e-22	3.80765692836e-19	0.001	0.435
All within treatment	C vs. LB500-LATE	-15.6281007005	4.45941688571e-22	1.93984634529e-19	0.001	0.435
All within treatment	C vs. C-EARLY	-15.8538468675	2.31039387243e-22	1.00502133451e-19	0.001	0.435
All within treatment	C vs. LB500-NO	-15.3933702966	8.89254330916e-22	3.86825633948e-19	0.001	0.435
All within treatment	C-LATE vs. C-NO	2.43940686889	0.0179047164946	1	0.010	1.000
All within treatment	C-LATE vs. LB500-EARLY	-1.75570439273	0.084607208395	1	0.085	1.000
All within treatment	C-LATE vs. LB500-LATE	-1.46409556454	0.148759132891	1	0.146	1.000
All within treatment	C-LATE vs. C-EARLY	-3.15597305716	0.00257461381119	1	0.001	0.435
All within treatment	C-LATE vs. LB500-NO	-1.0908818639	0.279996430175	1	0.282	1.000
All within treatment	C-NO vs. LB500-EARLY	-1.79428377657	0.0781664905533	1	0.083	1.000
All within treatment	C-NO vs. LB500-LATE	-1.16875100685	0.247455225117	1	0.247	1.000
All within treatment	C-NO vs. C-EARLY	-3.12148178303	0.00284505503134	1	0.003	1.000
All within treatment	C-NO vs. LB500-NO	-0.792007241255	0.431698700512	1	0.414	1.000
All within treatment	LB500-EARLY vs. LB500-LATE	1.33787136928	0.18634618648	1	0.188	1.000
All within treatment	LB500-EARLY vs. C-EARLY	-2.24404330718	0.0288007723572	1	0.017	1.000
All within treatment	LB500-EARLY vs. LB500-NO	1.15382689532	0.253471830094	1	0.238	1.000
All within treatment	LB500-LATE vs. C-EARLY	-2.72469217393	0.00857096803985	1	0.007	1.000
All within treatment	LB500-LATE vs. LB500-NO	1.7613896723	0.0836312229611	1	0.089	1.000
All within treatment	C-EARLY vs. LB500-NO	-2.46647962958	0.0167314204247	1	0.019	1.000
All between treatment	C vs. C	0.341494737741	0.732942121273	1	0.754	1.000
All between treatment	C-LATE vs. C-LATE	2.53754247763	0.0116095177993	1	0.014	1.000
All between treatment	C-NO vs. C-NO	2.67000613607	0.00794924253991	1	0.008	1.000
All between treatment	LB500-EARLY vs. LB500-EARLY	2.37486820564	0.0181095308922	1	0.012	1.000
All between treatment	LB500-LATE vs. LB500-LATE	2.65207028804	0.00837488754229	1	0.005	1.000
All between treatment	C-EARLY vs. C-EARLY	-0.189644407574	0.849700951417	1	0.825	1.000
All between treatment	LB500-NO vs. LB500-NO	2.34669464016	0.0195142314737	1	0.013	1.000
All between treatment	C vs. C-LATE	-6.60339680396	1.49380156037e-10	6.49803678762e-08	0.001	0.435
All between treatment	C vs. C-NO	-6.57050683011	1.81904291626e-10	7.91283668575e-08	0.001	0.435
All between treatment	C vs. LB500-EARLY	-5.3440349091	1.64206413407e-07	7.14297898322e-05	0.001	0.435
All between treatment	C vs. LB500-LATE	-5.4594931866	9.06469048795e-08	3.94314036226e-05	0.001	0.435
All between treatment	C vs. C-EARLY	-5.84573919379	1.15601793209e-08	5.0286780046e-06	0.001	0.435
All between treatment	C vs. LB500-NO	-5.37749147475	1.38377444864e-07	6.01941885158e-05	0.001	0.435
All between treatment	C-LATE vs. C-NO	4.26583050219	2.56620172305e-05	0.0111629774953	0.001	0.435
All between treatment	C-LATE vs. LB500-EARLY	2.03085656319	0.0430250075833	1	0.035	1.000
All between treatment	C-LATE vs. LB500-LATE	2.19360231314	0.0289211809913	1	0.024	1.000
All between treatment	C-LATE vs. C-EARLY	0.886728715911	0.375833851775	1	0.392	1.000
All between treatment	C-LATE vs. LB500-NO	2.38721515078	0.0175068125638	1	0.018	1.000
All between treatment	C-NO vs. LB500-EARLY	2.01200775199	0.044984971547	1	0.050	1.000
All between treatment	C-NO vs. LB500-LATE	2.350252272	0.0193153407098	1	0.014	1.000
All between treatment	C-NO vs. C-EARLY	0.898241726621	0.369674189287	1	0.368	1.000
All between treatment	C-NO vs. LB500-NO	2.5460369238	0.0113233573561	1	0.012	1.000
All between treatment	LB500-EARLY vs. LB500-LATE	3.68252614672	0.000267403187316	0.116320386482	0.001	0.435
All between treatment	LB500-EARLY vs. C-EARLY	1.63578843186	0.102782791271	1	0.103	1.000
All between treatment	LB500-EARLY vs. LB500-NO	3.5859518391	0.000383588677078	0.166861074529	0.001	0.435
All between treatment	LB500-LATE vs. C-EARLY	1.32990850917	0.184414428771	1	0.208	1.000
All between treatment	LB500-LATE vs. LB500-NO	3.90942942826	0.000111098500213	0.0483278475926	0.001	0.435
All between treatment	C-EARLY vs. LB500-NO	1.47346742516	0.14152381353	1	0.123	1.000
C vs. C	C-LATE vs. C-LATE	4.1162235432	0.00208966182622	0.909002894406	0.002	0.870
C vs. C	C-NO vs. C-NO	4.39983559955	0.00133541182924	0.580904145719	0.002	0.870
C vs. C	LB500-EARLY vs. LB500-EARLY	3.82580753091	0.00334167964805	1	0.004	1.000
C vs. C	LB500-LATE vs. LB500-LATE	4.36457526482	0.00141101511145	0.613791573479	0.003	1.000
C vs. C	C-EARLY vs. C-EARLY	-0.743909269504	0.474048279249	1	0.458	1.000
C vs. C	LB500-NO vs. LB500-NO	3.74310754406	0.00382693544196	1	0.005	1.000
C vs. C	C vs. C-LATE	-12.4115738571	7.4749098984e-11	3.2515858058e-08	0.002	0.870
C vs. C	C vs. C-NO	-12.380785765	7.81279197595e-11	3.39856450954e-08	0.001	0.435
C vs. C	C vs. LB500-EARLY	-10.1915394327	2.29739534541e-09	9.99366975252e-07	0.001	0.435
C vs. C	C vs. LB500-LATE	-10.4593796903	1.47882665006e-09	6.43289592775e-07	0.001	0.435
C vs. C	C vs. C-EARLY	-9.3475630201	9.71692140712e-09	4.2268608121e-06	0.001	0.435
C vs. C	C vs. LB500-NO	-9.96606378376	3.34980133281e-09	1.45716357977e-06	0.001	0.435
C vs. C	C-LATE vs. C-NO	7.23900178145	5.26823384916e-07	0.000229168172439	0.001	0.435
C vs. C	C-LATE vs. LB500-EARLY	2.71370097701	0.0133707277867	1	0.008	1.000
C vs. C	C-LATE vs. LB500-LATE	3.19981424825	0.00449812207918	1	0.013	1.000
C vs. C	C-LATE vs. C-EARLY	0.285674346027	0.778065307258	1	0.743	1.000
C vs. C	C-LATE vs. LB500-NO	3.39913128221	0.00284705558265	1	0.009	1.000
C vs. C	C-NO vs. LB500-EARLY	2.71292121298	0.013393595883	1	0.007	1.000
C vs. C	C-NO vs. LB500-LATE	3.50195820669	0.00224492183512	0.976540998279	0.008	1.000
C vs. C	C-NO vs. C-EARLY	0.292193750174	0.773148015841	1	0.774	1.000
C vs. C	C-NO vs. LB500-NO	3.65026117257	0.00159115475053	0.692152316482	0.004	1.000
C vs. C	LB500-EARLY vs. LB500-LATE	5.97648567146	7.62761091422e-06	0.00331801074768	0.001	0.435
C vs. C	LB500-EARLY vs. C-EARLY	1.23446684081	0.231337395958	1	0.238	1.000
C vs. C	LB500-EARLY vs. LB500-NO	5.6699229449	1.50446940352e-05	0.00654444190533	0.001	0.435
C vs. C	LB500-LATE vs. C-EARLY	0.847183738821	0.406916724419	1	0.397	1.000
C vs. C	LB500-LATE vs. LB500-NO	6.32200290001	3.59594099475e-06	0.00156423433272	0.001	0.435
C vs. C	C-EARLY vs. LB500-NO	0.983442113102	0.337138157696	1	0.337	1.000
C-LATE vs. C-LATE	C-NO vs. C-NO	1.62425522498	0.135384128115	1	0.126	1.000
C-LATE vs. C-LATE	LB500-EARLY vs. LB500-EARLY	-1.71266276578	0.117552495731	1	0.119	1.000
C-LATE vs. C-LATE	LB500-LATE vs. LB500-LATE	1.38606295025	0.195854604212	1	0.181	1.000
C-LATE vs. C-LATE	C-EARLY vs. C-EARLY	-5.58518394177	0.000232424803545	0.101104789542	0.003	1.000
C-LATE vs. C-LATE	LB500-NO vs. LB500-NO	-1.63965868463	0.132112827068	1	0.123	1.000
C-LATE vs. C-LATE	C vs. C-LATE	-37.3541289846	5.63023339819e-20	2.44915152821e-17	0.001	0.435
C-LATE vs. C-LATE	C vs. C-NO	-37.5621644987	5.04584204149e-20	2.19494128805e-17	0.001	0.435
C-LATE vs. C-LATE	C vs. LB500-EARLY	-32.4947943628	8.75454902507e-19	3.8082288259e-16	0.001	0.435
C-LATE vs. C-LATE	C vs. LB500-LATE	-33.7731048297	4.10031604955e-19	1.78363748155e-16	0.001	0.435
C-LATE vs. C-LATE	C vs. C-EARLY	-21.3007538857	3.23267891308e-15	1.40621532719e-12	0.001	0.435
C-LATE vs. C-LATE	C vs. LB500-NO	-29.4279965281	6.11547521251e-18	2.66023171744e-15	0.001	0.435
C-LATE vs. C-LATE	C-LATE vs. C-NO	1.12467969757	0.274042119514	1	0.275	1.000
C-LATE vs. C-LATE	C-LATE vs. LB500-EARLY	-10.0788185405	2.77204254564e-09	1.20583850735e-06	0.001	0.435
C-LATE vs. C-LATE	C-LATE vs. LB500-LATE	-19.043649399	2.74622059513e-14	1.19460595888e-11	0.001	0.435
C-LATE vs. C-LATE	C-LATE vs. C-EARLY	-3.05318312621	0.00627602253993	1	0.010	1.000
C-LATE vs. C-LATE	C-LATE vs. LB500-NO	-8.89528973821	2.18013108153e-08	9.48357020467e-06	0.001	0.435
C-LATE vs. C-LATE	C-NO vs. LB500-EARLY	-11.1477808721	4.93998185469e-10	2.14889210679e-07	0.001	0.435
C-LATE vs. C-LATE	C-NO vs. LB500-LATE	-16.9791085862	2.3983216392e-13	1.04326991305e-10	0.001	0.435
C-LATE vs. C-LATE	C-NO vs. C-EARLY	-2.99737992457	0.00711774921243	1	0.006	1.000
C-LATE vs. C-LATE	C-NO vs. LB500-NO	-7.44206604638	3.4958460994e-07	0.000152069305324	0.001	0.435
C-LATE vs. C-LATE	LB500-EARLY vs. LB500-LATE	-3.05995673677	0.00618065199328	1	0.009	1.000
C-LATE vs. C-LATE	LB500-EARLY vs. C-EARLY	-3.46840055814	0.00242619026773	1	0.003	1.000
C-LATE vs. C-LATE	LB500-EARLY vs. LB500-NO	-2.99478032039	0.00715950865965	1	0.011	1.000
C-LATE vs. C-LATE	LB500-LATE vs. C-EARLY	-3.65119081042	0.00158771780505	0.690657245197	0.002	0.870
C-LATE vs. C-LATE	LB500-LATE vs. LB500-NO	-1.34079071344	0.195019557506	1	0.195	1.000
C-LATE vs. C-LATE	C-EARLY vs. LB500-NO	-3.35936391965	0.00312022416185	1	0.003	1.000
C-NO vs. C-NO	LB500-EARLY vs. LB500-EARLY	-4.41605060052	0.00130209315902	0.566410524174	0.001	0.435
C-NO vs. C-NO	LB500-LATE vs. LB500-LATE	-0.377532561476	0.713667000963	1	0.734	1.000
C-NO vs. C-NO	C-EARLY vs. C-EARLY	-5.91306357992	0.000148423517901	0.064564230287	0.007	1.000
C-NO vs. C-NO	LB500-NO vs. LB500-NO	-3.4102321372	0.00665568712585	1	0.010	1.000
C-NO vs. C-NO	C vs. C-LATE	-39.104942206	2.27927788237e-20	9.91485878832e-18	0.001	0.435
C-NO vs. C-NO	C vs. C-NO	-39.3433169166	2.02142418684e-20	8.79319521273e-18	0.001	0.435
C-NO vs. C-NO	C vs. LB500-EARLY	-34.0806000703	3.43064662586e-19	1.49233128225e-16	0.001	0.435
C-NO vs. C-NO	C vs. LB500-LATE	-35.4616121754	1.56932995835e-19	6.82658531881e-17	0.001	0.435
C-NO vs. C-NO	C vs. C-EARLY	-21.970670149	1.78287745417e-15	7.75551692564e-13	0.001	0.435
C-NO vs. C-NO	C vs. LB500-NO	-30.7149866643	2.64437479972e-18	1.15030303788e-15	0.001	0.435
C-NO vs. C-NO	C-LATE vs. C-NO	-1.08783975397	0.289602140641	1	0.302	1.000
C-NO vs. C-NO	C-LATE vs. LB500-EARLY	-11.6797731179	2.18933436409e-10	9.52360448379e-08	0.001	0.435
C-NO vs. C-NO	C-LATE vs. LB500-LATE	-27.27841204	2.69128669121e-17	1.17070971068e-14	0.001	0.435
C-NO vs. C-NO	C-LATE vs. C-EARLY	-3.26234333179	0.00389888670085	1	0.003	1.000
C-NO vs. C-NO	C-LATE vs. LB500-NO	-10.573295631	1.22911476233e-09	5.34664921613e-07	0.001	0.435
C-NO vs. C-NO	C-NO vs. LB500-EARLY	-13.0469802685	3.05831827815e-11	1.330368451e-08	0.001	0.435
C-NO vs. C-NO	C-NO vs. LB500-LATE	-24.0581005299	3.09196263002e-16	1.34500374406e-13	0.001	0.435
C-NO vs. C-NO	C-NO vs. C-EARLY	-3.20327654206	0.00446271474775	1	0.007	1.000
C-NO vs. C-NO	C-NO vs. LB500-NO	-8.86096483857	2.3204424084e-08	1.00939244765e-05	0.001	0.435
C-NO vs. C-NO	LB500-EARLY vs. LB500-LATE	-4.9752702851	7.27519780581e-05	0.0316471104553	0.001	0.435
C-NO vs. C-NO	LB500-EARLY vs. C-EARLY	-3.7833734759	0.00116692140939	0.507610813086	0.001	0.435
C-NO vs. C-NO	LB500-EARLY vs. LB500-NO	-4.43215828581	0.000256253869081	0.11147043305	0.001	0.435
C-NO vs. C-NO	LB500-LATE vs. C-EARLY	-3.94626993568	0.000797682637077	0.346991947128	0.002	0.870
C-NO vs. C-NO	LB500-LATE vs. LB500-NO	-2.7766891245	0.0116413000368	1	0.016	1.000
C-NO vs. C-NO	C-EARLY vs. LB500-NO	-3.64419354707	0.00161376867083	0.701989371811	0.002	0.870
LB500-EARLY vs. LB500-EARLY	LB500-LATE vs. LB500-LATE	4.06863471122	0.00225509623828	0.980966863653	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C-EARLY vs. C-EARLY	-5.27612698415	0.000359635812552	0.15644157846	0.003	1.000
LB500-EARLY vs. LB500-EARLY	LB500-NO vs. LB500-NO	-0.263525321155	0.797496264974	1	0.823	1.000
LB500-EARLY vs. LB500-EARLY	C vs. C-LATE	-36.8777906074	7.25233558522e-20	3.15476597957e-17	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C vs. C-NO	-37.088248257	6.48230366128e-20	2.81980209266e-17	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C vs. LB500-EARLY	-31.9610591542	1.2119696582e-18	5.27206801318e-16	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C vs. LB500-LATE	-33.2515473498	5.56854576447e-19	2.42231740755e-16	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C vs. C-EARLY	-20.8292398932	4.96576799829e-15	2.16010907926e-12	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C vs. LB500-NO	-28.8834585327	8.81251254376e-18	3.83344295654e-15	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C-LATE vs. C-NO	3.92975509652	0.000829074095766	0.360647231658	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C-LATE vs. LB500-EARLY	-9.01831372345	1.74552039362e-08	7.59301371226e-06	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C-LATE vs. LB500-LATE	-18.27956638	5.96988927431e-14	2.59690183432e-11	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C-LATE vs. C-EARLY	-2.80596514008	0.0109121324419	1	0.014	1.000
LB500-EARLY vs. LB500-EARLY	C-LATE vs. LB500-NO	-7.75044219222	1.89531058019e-07	8.24460102384e-05	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C-NO vs. LB500-EARLY	-10.0358414093	2.97895177211e-09	1.29584402087e-06	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C-NO vs. LB500-LATE	-15.9609759068	7.61644207976e-13	3.3131523047e-10	0.001	0.435
LB500-EARLY vs. LB500-EARLY	C-NO vs. C-EARLY	-2.7537103634	0.0122459451563	1	0.007	1.000
LB500-EARLY vs. LB500-EARLY	C-NO vs. LB500-NO	-6.34293097308	3.43748627764e-06	0.00149530653077	0.001	0.435
LB500-EARLY vs. LB500-EARLY	LB500-EARLY vs. LB500-LATE	-1.35803892593	0.189575655826	1	0.196	1.000
LB500-EARLY vs. LB500-EARLY	LB500-EARLY vs. C-EARLY	-3.10592786001	0.0055694900816	1	0.007	1.000
LB500-EARLY vs. LB500-EARLY	LB500-EARLY vs. LB500-NO	-1.61442813523	0.122101543709	1	0.116	1.000
LB500-EARLY vs. LB500-EARLY	LB500-LATE vs. C-EARLY	-3.31124831306	0.00348521146125	1	0.003	1.000
LB500-EARLY vs. LB500-EARLY	LB500-LATE vs. LB500-NO	0.187664882903	0.853030231091	1	0.849	1.000
LB500-EARLY vs. LB500-EARLY	C-EARLY vs. LB500-NO	-3.02898920948	0.00662842641213	1	0.008	1.000
LB500-LATE vs. LB500-LATE	C-EARLY vs. C-EARLY	-5.87378863359	0.000156493130733	0.0680745118687	0.002	0.870
LB500-LATE vs. LB500-LATE	LB500-NO vs. LB500-NO	-3.19004550415	0.00965340204885	1	0.016	1.000
LB500-LATE vs. LB500-LATE	C vs. C-LATE	-38.9607651239	2.45179338813e-20	1.06653012384e-17	0.001	0.435
LB500-LATE vs. LB500-LATE	C vs. C-NO	-39.1972116592	2.17559698959e-20	9.46384690471e-18	0.001	0.435
LB500-LATE vs. LB500-LATE	C vs. LB500-EARLY	-33.9442029675	3.71230146944e-19	1.6148511392e-16	0.001	0.435
LB500-LATE vs. LB500-LATE	C vs. LB500-LATE	-35.3189394771	1.69904665613e-19	7.39085295417e-17	0.001	0.435
LB500-LATE vs. LB500-LATE	C vs. C-EARLY	-21.8995562316	1.89761622281e-15	8.25463056921e-13	0.001	0.435
LB500-LATE vs. LB500-LATE	C vs. LB500-NO	-30.5982349742	2.84933902111e-18	1.23946247418e-15	0.001	0.435
LB500-LATE vs. LB500-LATE	C-LATE vs. C-NO	-0.742625373851	0.466342091879	1	0.476	1.000
LB500-LATE vs. LB500-LATE	C-LATE vs. LB500-EARLY	-11.5096770226	2.83123534441e-10	1.23158737482e-07	0.001	0.435
LB500-LATE vs. LB500-LATE	C-LATE vs. LB500-LATE	-26.5735408884	4.48253773736e-17	1.94990391575e-14	0.001	0.435
LB500-LATE vs. LB500-LATE	C-LATE vs. C-EARLY	-3.23454498935	0.00415500453579	1	0.006	1.000
LB500-LATE vs. LB500-LATE	C-LATE vs. LB500-NO	-10.3923660514	1.64990812338e-09	7.17710033669e-07	0.001	0.435
LB500-LATE vs. LB500-LATE	C-NO vs. LB500-EARLY	-12.8524086371	4.00599977794e-11	1.7426099034e-08	0.001	0.435
LB500-LATE vs. LB500-LATE	C-NO vs. LB500-LATE	-23.4394250221	5.11825162043e-16	2.22643945489e-13	0.001	0.435
LB500-LATE vs. LB500-LATE	C-NO vs. C-EARLY	-3.17589512763	0.0047503121017	1	0.008	1.000
LB500-LATE vs. LB500-LATE	C-NO vs. LB500-NO	-8.70120986406	3.10812656776e-08	1.35203505698e-05	0.001	0.435
LB500-LATE vs. LB500-LATE	LB500-EARLY vs. LB500-LATE	-4.73969735686	0.000125338818715	0.0545223861408	0.001	0.435
LB500-LATE vs. LB500-LATE	LB500-EARLY vs. C-EARLY	-3.74202338326	0.00128503781982	0.558991451622	0.001	0.435
LB500-LATE vs. LB500-LATE	LB500-EARLY vs. LB500-NO	-4.25319150167	0.000389188307206	0.169296913635	0.001	0.435
LB500-LATE vs. LB500-LATE	LB500-LATE vs. C-EARLY	-3.90752068033	0.000873289643517	0.37988099493	0.001	0.435
LB500-LATE vs. LB500-LATE	LB500-LATE vs. LB500-NO	-2.58819219408	0.017569671023	1	0.022	1.000
