# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-LATE	LB500-NO
Unassigned;Other	0.00630539580892	0.00190803010131	0.00015004538873	0.000275539486152	0.000257486276529	0.000261581387715	0.000848198090021
k__Bacteria;p__Acidobacteria	0.000393528249068	0.0	0.0	0.0	0.0	0.0	5.10962704832e-05
k__Bacteria;p__Actinobacteria	0.0203293115939	0.00882107946091	0.000180054466476	0.00010080712908	0.00010956862831	0.000123097123631	0.000485414569591
k__Bacteria;p__Armatimonadetes	8.94382384245e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.0690373762398	0.0562797684734	0.000517656591119	0.00100135081553	0.000602627455707	0.000507775634976	0.00391397431901
k__Bacteria;p__Chloroflexi	3.57752953698e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.374996646066	0.000135270790765	0.000292588508024	0.000248657585064	0.000471145101734	0.00037442041771	0.00127229713503
k__Bacteria;p__Firmicutes	0.00457029398349	0.790365871891	0.983427486815	0.988232447799	0.940197442668	0.992019203151	0.959715700351
k__Bacteria;p__Fusobacteria	0.0	0.0	3.75113471825e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	3.57752953698e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.000321977658328	0.0	0.0	0.0	3.83490199086e-05	0.0	2.04385081933e-05
k__Bacteria;p__Proteobacteria	0.523115312721	0.142489979282	0.0153946568837	0.0101411971855	0.0583069455553	0.00667801895696	0.0336928807566
k__Bacteria;p__Tenericutes	0.0	0.0	0.0	0.0	0.0	3.59033277256e-05	0.0
k__Bacteria;p__Verrucomicrobia	0.00076916885045	0.0	0.0	0.0	1.64352942466e-05	0.0	0.0
