# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-LATE	LB500-NO
Unassigned;Other	0.00630680598297	0.00190803010131	0.00015004538873	0.000275539486152	0.000257490508462	0.000261581387715	0.000848293448211
k__Bacteria;p__Acidobacteria	0.00039361625993	0.0	0.0	0.0	0.0	0.0	5.11020149524e-05
k__Bacteria;p__Actinobacteria	0.020333858155	0.00882107946091	0.000180054466476	0.00010080712908	0.000109570429133	0.000123097123631	0.000485469142048
k__Bacteria;p__Armatimonadetes	8.94582408932e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.0690170328491	0.0562797684734	0.000517656591119	0.00100135081553	0.000602637360229	0.000507775634976	0.00391441434536
k__Bacteria;p__Chloroflexi	3.57832963573e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.375026837472	0.000135270790765	0.000292588508024	0.000248657585064	0.00047115284527	0.00037442041771	0.00127244017232
k__Bacteria;p__Firmicutes	0.00457131610964	0.790365871891	0.983427486815	0.988232447799	0.940201938301	0.992019203151	0.95974183262
k__Bacteria;p__Fusobacteria	0.0	0.0	3.75113471825e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	3.57832963573e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.000322049667215	0.0	0.0	0.0	3.83496501964e-05	0.0	2.0440805981e-05
k__Bacteria;p__Proteobacteria	0.523098117799	0.142489979282	0.0153946568837	0.0101411971855	0.0583024253414	0.00667801895696	0.0336660074507
k__Bacteria;p__Tenericutes	0.0	0.0	0.0	0.0	0.0	3.59033277256e-05	0.0
k__Bacteria;p__Verrucomicrobia	0.000769340871681	0.0	0.0	0.0	1.64355643699e-05	0.0	0.0
