Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
5101-145-MS515F-926R.extendedFrags	94.3026722464	54.0	411.473373267	36561.0	41.6666666667
5101-146-MS515F-926R.extendedFrags	93.9301744134	53.0	411.797541947	33197.0	33.3333333333
5101-147-MS515F-926R.extendedFrags	95.090548579	54.0	412.213932584	37825.0	50.0
5101-148-MS515F-926R.extendedFrags	93.7946780463	53.0	411.496887826	36791.0	50.0
5101-150-MS515F-926R.extendedFrags	98.1553234501	52.0	412.930024427	47488.0	41.6666666667
5101-151-MS515F-926R.extendedFrags	97.9396044896	52.0	411.981293426	37420.0	41.6666666667
5101-152-MS515F-926R.extendedFrags	98.1080079663	52.0	412.940206568	43182.0	33.3333333333
5101-153-MS515F-926R.extendedFrags	97.80698403	52.0	412.921754413	39261.0	41.6666666667
5101-155-MS515F-926R.extendedFrags	98.0200983536	52.0	412.941500962	46770.0	33.3333333333
5101-156-MS515F-926R.extendedFrags	95.3956869753	52.0	411.798790786	40853.0	41.6666666667
5101-157-MS515F-926R.extendedFrags	97.4997645729	52.0	412.878707976	42476.0	33.3333333333
5101-158-MS515F-926R.extendedFrags	96.503999281	52.0	411.982325275	33381.0	33.3333333333
5101-160-MS515F-926R.extendedFrags	96.6523136637	52.0	412.905694706	16489.0	41.6666666667
5101-161-MS515F-926R.extendedFrags	97.7882964018	52.0	411.960750639	47746.0	33.3333333333
5101-162-MS515F-926R.extendedFrags	97.7768668772	52.0	412.914908495	41473.0	33.3333333333
5101-163-MS515F-926R.extendedFrags	97.8670040396	52.0	411.982554268	45054.0	41.6666666667
5101-165-MS515F-926R.extendedFrags	97.6715849595	52.0	411.960361733	52525.0	25.0
5101-166-MS515F-926R.extendedFrags	97.2967257604	52.0	412.806770521	56746.0	33.3333333333
5101-167-MS515F-926R.extendedFrags	97.9313396512	52.0	411.983922711	54238.0	41.6666666667
5101-168-MS515F-926R.extendedFrags	97.9214559387	52.0	411.981226054	62640.0	41.6666666667
5101-170-MS515F-926R.extendedFrags	97.8697102603	52.0	412.904763518	59053.0	41.6666666667
5101-171-MS515F-926R.extendedFrags	97.6713313789	52.0	411.98403304	54237.0	33.3333333333
5101-172-MS515F-926R.extendedFrags	97.3734242612	52.0	411.975883447	48390.0	25.0
5101-173-MS515F-926R.extendedFrags	97.6655876494	52.0	411.976759628	48192.0	25.0
5101-175-MS515F-926R.extendedFrags	98.0514119007	52.0	412.930735216	54501.0	41.6666666667
5101-176-MS515F-926R.extendedFrags	98.0611363145	52.0	412.971628141	55548.0	33.3333333333
5101-177-MS515F-926R.extendedFrags	97.9322348134	52.0	411.968406515	52859.0	33.3333333333
5101-178-MS515F-926R.extendedFrags	98.0156853793	52.0	411.976031697	61331.0	33.3333333333
