New.CleanUp.ReferenceOTU0	146_9017
New.CleanUp.ReferenceOTU1	146_9019
New.CleanUp.ReferenceOTU2	151_20694
New.CleanUp.ReferenceOTU3	161_45089
New.CleanUp.ReferenceOTU4	153_2407
New.CleanUp.ReferenceOTU5	147_21441
New.CleanUp.ReferenceOTU6	158_12336
New.CleanUp.ReferenceOTU7	167_30414
New.CleanUp.ReferenceOTU8	177_9185
New.CleanUp.ReferenceOTU9	177_9186
New.CleanUp.ReferenceOTU10	156_21335
New.CleanUp.ReferenceOTU11	167_40808
New.CleanUp.ReferenceOTU12	148_36338
New.CleanUp.ReferenceOTU13	168_59445
New.CleanUp.ReferenceOTU14	172_33151
New.CleanUp.ReferenceOTU15	155_14508
New.CleanUp.ReferenceOTU16	156_3438
New.CleanUp.ReferenceOTU17	156_16938
New.CleanUp.ReferenceOTU18	146_21451
New.CleanUp.ReferenceOTU19	151_20964
New.CleanUp.ReferenceOTU20	156_623
New.CleanUp.ReferenceOTU21	167_15587
New.CleanUp.ReferenceOTU22	167_36154
New.CleanUp.ReferenceOTU23	150_42767
New.CleanUp.ReferenceOTU24	176_24488
New.CleanUp.ReferenceOTU25	146_29686	146_15239	148_26256
New.CleanUp.ReferenceOTU26	152_23426
New.CleanUp.ReferenceOTU27	148_36485
New.CleanUp.ReferenceOTU28	152_40029	165_2153
New.CleanUp.ReferenceOTU29	178_45649
New.CleanUp.ReferenceOTU30	166_30355
New.CleanUp.ReferenceOTU31	150_6757
New.CleanUp.ReferenceOTU32	167_10254
New.CleanUp.ReferenceOTU33	165_46192
New.CleanUp.ReferenceOTU34	152_8046
New.CleanUp.ReferenceOTU35	147_35137
New.CleanUp.ReferenceOTU36	177_11640
New.CleanUp.ReferenceOTU37	176_30257
New.CleanUp.ReferenceOTU38	153_15908
New.CleanUp.ReferenceOTU39	177_11647
New.CleanUp.ReferenceOTU40	156_3472
New.CleanUp.ReferenceOTU41	156_20066
New.CleanUp.ReferenceOTU42	166_38836
New.CleanUp.ReferenceOTU43	147_30565
New.CleanUp.ReferenceOTU44	165_44973
New.CleanUp.ReferenceOTU45	172_35419
New.CleanUp.ReferenceOTU46	153_3752
New.CleanUp.ReferenceOTU47	171_43235
New.CleanUp.ReferenceOTU48	156_11938
New.CleanUp.ReferenceOTU49	146_28369	146_9835
New.CleanUp.ReferenceOTU50	165_2838
New.CleanUp.ReferenceOTU51	156_21532
