Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
sample_146.extendedFrags	93.9066915169	53.0	412.402994048	33266.0	41.6666666667
sample_147.extendedFrags	95.0948246465	54.0	411.698502217	38123.0	41.6666666667
sample_148.extendedFrags	93.7677206816	54.0	411.834066913	37033.0	50.0
sample_150.extendedFrags	98.1532565436	52.0	412.971551307	47489.0	33.3333333333
sample_151.extendedFrags	97.9369872531	52.0	411.96365677	37421.0	41.6666666667
sample_152.extendedFrags	98.1058237814	52.0	411.986476786	43185.0	33.3333333333
sample_153.extendedFrags	97.8075982889	52.0	411.979170911	39272.0	41.6666666667
sample_155.extendedFrags	98.0159493725	52.0	413.971522032	46773.0	41.6666666667
sample_156.extendedFrags	95.395912373	52.0	410.93374128	40855.0	41.6666666667
sample_157.extendedFrags	97.4954098206	52.0	411.984322772	42482.0	25.0
sample_158.extendedFrags	96.503999281	52.0	411.982325275	33381.0	33.3333333333
sample_160.extendedFrags	96.6523136637	52.0	412.905694706	16489.0	41.6666666667
sample_161.extendedFrags	97.7821989529	52.0	413.950994764	47750.0	33.3333333333
sample_162.extendedFrags	97.7769740808	52.0	411.969909584	41475.0	41.6666666667
sample_163.extendedFrags	97.8670040396	52.0	411.982554268	45054.0	33.3333333333
sample_165.extendedFrags	97.6629555619	52.0	413.957293748	52545.0	41.6666666667
sample_166.extendedFrags	97.2952495066	52.0	411.906117846	56752.0	33.3333333333
sample_167.extendedFrags	97.9279960182	52.0	411.988183678	54247.0	33.3333333333
sample_168.extendedFrags	97.9138068635	52.0	411.987517957	62650.0	50.0
sample_170.extendedFrags	97.8664679886	52.0	411.979646782	59057.0	33.3333333333
sample_171.extendedFrags	97.66610132	52.0	411.989178527	54244.0	50.0
sample_172.extendedFrags	97.3719008264	52.0	411.979090909	48400.0	33.3333333333
sample_173.extendedFrags	97.665684525	52.0	411.990641989	48194.0	25.0
sample_175.extendedFrags	98.0496844268	52.0	412.931252752	54504.0	50.0
sample_176.extendedFrags	98.0594059406	52.0	413.969324932	55550.0	33.3333333333
sample_177.extendedFrags	97.928607911	52.0	413.955848136	52863.0	33.3333333333
sample_178.extendedFrags	98.0110857515	52.0	413.972122595	61340.0	33.3333333333
