# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-6.51639040982	2.51975463427e-10	1.09609326591e-07	0.001	0.435
All within treatment	C vs. C	2.279578133	0.0276537626773	1	0.029	1.000
All within treatment	C-LATE vs. C-LATE	1.09791189035	0.278352967745	1	0.272	1.000
All within treatment	C-NO vs. C-NO	1.24112861664	0.22128666448	1	0.226	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	-2.46004554413	0.018308940135	1	0.014	1.000
All within treatment	LB500-LATE vs. LB500-LATE	-1.75144319764	0.0870001601669	1	0.097	1.000
All within treatment	C-EARLY vs. C-EARLY	-2.52810677828	0.0152216514841	1	0.013	1.000
All within treatment	LB500-NO vs. LB500-NO	1.49394830561	0.142491609775	1	0.137	1.000
All within treatment	C vs. C-LATE	-6.2745810131	6.6002877711e-08	2.87112518043e-05	0.001	0.435
All within treatment	C vs. C-NO	-2.22248697738	0.0305399682928	1	0.026	1.000
All within treatment	C vs. LB500-EARLY	-3.71107779755	0.000527408116032	0.229422530474	0.002	0.870
All within treatment	C vs. LB500-LATE	-3.33839512982	0.00154704792279	0.672965846413	0.003	1.000
All within treatment	C vs. C-EARLY	-4.68366164772	2.00001691009e-05	0.00870007355888	0.001	0.435
All within treatment	C vs. LB500-NO	-1.84615099976	0.0704580730635	1	0.069	1.000
All within treatment	C-LATE vs. C-NO	-5.65192869986	6.4433700087e-07	0.000280286595378	0.001	0.435
All within treatment	C-LATE vs. LB500-EARLY	-5.64811792733	8.11623647763e-07	0.000353056286777	0.001	0.435
All within treatment	C-LATE vs. LB500-LATE	-3.7590863151	0.00042675214462	0.18563718291	0.001	0.435
All within treatment	C-LATE vs. C-EARLY	-3.70184918257	0.000510727061708	0.222166271843	0.001	0.435
All within treatment	C-LATE vs. LB500-NO	-6.14280066684	1.07200171869e-07	4.6632074763e-05	0.001	0.435
All within treatment	C-NO vs. LB500-EARLY	-2.15594805439	0.0360246882217	1	0.034	1.000
All within treatment	C-NO vs. LB500-LATE	-0.893933133118	0.375399178843	1	0.383	1.000
All within treatment	C-NO vs. C-EARLY	-2.63619548344	0.0109740980726	1	0.008	1.000
All within treatment	C-NO vs. LB500-NO	1.97788124178	0.0531516452436	1	0.044	1.000
All within treatment	LB500-EARLY vs. LB500-LATE	-3.49434992191	0.00101840933826	0.443008062144	0.001	0.435
All within treatment	LB500-EARLY vs. C-EARLY	-4.16983024038	0.000123826425798	0.0538644952222	0.002	0.870
All within treatment	LB500-EARLY vs. LB500-NO	-1.84901906084	0.0704926132601	1	0.076	1.000
All within treatment	LB500-LATE vs. C-EARLY	-4.10240000221	0.000141534933433	0.0615676960435	0.001	0.435
All within treatment	LB500-LATE vs. LB500-NO	-1.06302946859	0.29258825023	1	0.279	1.000
All within treatment	C-EARLY vs. LB500-NO	-2.84345643376	0.00632589032033	1	0.011	1.000
All between treatment	C vs. C	5.76827976414	1.90827169622e-08	8.30098187854e-06	0.001	0.435
All between treatment	C-LATE vs. C-LATE	4.26170995046	2.68093766345e-05	0.011662078836	0.001	0.435
All between treatment	C-NO vs. C-NO	4.41937794229	1.3622387437e-05	0.00592573853508	0.001	0.435
All between treatment	LB500-EARLY vs. LB500-EARLY	-1.24017077312	0.215841123309	1	0.228	1.000
All between treatment	LB500-LATE vs. LB500-LATE	0.501063175386	0.616675508184	1	0.613	1.000
All between treatment	C-EARLY vs. C-EARLY	-0.653537075448	0.513885350386	1	0.534	1.000
All between treatment	LB500-NO vs. LB500-NO	4.74481208639	3.16597123562e-06	0.00137719748749	0.001	0.435
All between treatment	C vs. C-LATE	-3.54589459874	0.000448584247865	0.195134147821	0.001	0.435
All between treatment	C vs. C-NO	1.65639376009	0.0986042343871	1	0.105	1.000
All between treatment	C vs. LB500-EARLY	-1.0108416346	0.312851202382	1	0.329	1.000
All between treatment	C vs. LB500-LATE	0.160483303307	0.872599770148	1	0.856	1.000
All between treatment	C vs. C-EARLY	-1.74840863654	0.0813345832782	1	0.062	1.000
All between treatment	C vs. LB500-NO	2.14640837276	0.0325780812487	1	0.043	1.000
All between treatment	C-LATE vs. C-NO	-2.74606664836	0.00636629679073	1	0.005	1.000
All between treatment	C-LATE vs. LB500-EARLY	-3.36318709982	0.000863417852979	0.375586766046	0.003	1.000
All between treatment	C-LATE vs. LB500-LATE	-0.998776960501	0.318643514123	1	0.317	1.000
All between treatment	C-LATE vs. C-EARLY	-0.695727504252	0.487095161292	1	0.489	1.000
All between treatment	C-LATE vs. LB500-NO	-3.37605940412	0.000824197069492	0.358525725229	0.001	0.435
All between treatment	C-NO vs. LB500-EARLY	0.844081654505	0.399250427112	1	0.443	1.000
All between treatment	C-NO vs. LB500-LATE	3.30045769922	0.00107216112148	0.466390087846	0.001	0.435
