# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-LATE	LB500-NO
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.00460546863909	0.0	0.000474519270578	0.00787840139486	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales	0.00016468383543	0.0	0.0	0.0	0.0	3.15791135743e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.0709730543173	0.00231501272599	0.00114330481971	0.00267187588289	0.0123156968745	0.0148184990447	0.0162846948973
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified	0.012481898975	0.0	0.0	0.00364860392467	0.0103908993165	0.00471318270096	0.0044610311548
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.0021181748488	0.0	0.0	0.000508544352332	7.5187404606e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.00396376955621	0.00277538457491	0.000888529372424	0.0266461096357	0.0	0.0167842988647	4.82795579524e-06
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Incertae_sedis	0.0	0.0817291566645	0.297555429583	2.42163977301e-05	7.5187404606e-06	0.00412896909984	1.44838673857e-05
k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis	6.24662824044e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.000119253811863	0.257163714806	0.0	0.00195345608356	0.0	0.00229738051253	4.82795579524e-06
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales	1.70362588376e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	0.170549987223	0.571157045991	0.0918624722136	0.533261222282	0.336057623627	0.260701372112	0.529776417367
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales	3.9751270621e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	0.283273233198	2.63069627954e-05	0.000754772262597	0.0231993090255	0.0037969639326	0.00858162411381	0.00319127878065
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis	0.00053380277691	0.0	0.0	0.0	0.0	0.0	0.0128713301501
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales	0.0	0.0	0.0	0.0	1.50374809212e-05	0.0824056968721	4.82795579524e-06
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.00016468383543	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales	0.000891564212499	0.0	0.0	0.00545676162185	0.0	0.00100263685598	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	5.11087765127e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unidentified	0.000249865129618	0.0	0.0	0.000791068992517	0.0	7.89477839357e-05	0.000574526739633
