# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-LATE	LB500-NO
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.00460546863909	0.0	0.000474519270578	0.00364053179209	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified	0.0	0.0	0.0	0.00423786960277	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae	0.00016468383543	0.0	0.0	0.0	0.0	3.15791135743e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis	3.40725176751e-05	0.0	0.0	0.0	0.00492477500169	0.0081079374102	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae	4.54300235668e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae	0.00103353303615	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae	0.000431585223885	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.000624662824044	0.0	0.0	0.0	0.0	0.0	0.00163667701459
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.0474573383685	0.0	3.18469309113e-06	8.07213257671e-06	0.00674431019316	0.00671056163453	0.00930347081742
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.0	0.0	0.000305730536748	0.0	0.0	0.0	0.000448999888957
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified	0.0213464323235	0.00231501272599	0.000834389589875	0.00266380375031	0.000646611679611	0.0	0.00489554717637
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified	0.012481898975	0.0	0.0	0.00364860392467	0.0103908993165	0.00471318270096	0.0044610311548
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae	6.81450353502e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae	0.00154462080127	0.0	0.0	0.000508544352332	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Incertae_sedis	0.000340725176751	0.0	0.0	0.0	7.5187404606e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified	0.00016468383543	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae	0.00396376955621	0.00277538457491	0.000888529372424	0.0266461096357	0.0	0.0167842988647	4.82795579524e-06
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Incertae_sedis;f__Monascaceae	0.0	0.0817291566645	0.297555429583	2.42163977301e-05	7.5187404606e-06	0.00412896909984	1.44838673857e-05
k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis	6.24662824044e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae	0.000119253811863	0.257163714806	0.0	0.00195345608356	0.0	0.00229738051253	4.82795579524e-06
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Sarcosomataceae	1.70362588376e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae	5.67875294585e-06	2.63069627954e-05	0.0	1.61442651534e-05	1.50374809212e-05	1.57895567871e-05	9.65591159047e-06
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae	0.000266901388455	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae_sedis	0.168630568727	0.555063761501	0.0805249648091	0.505598023942	0.335681686604	0.252175011447	0.516943710863
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae	0.0	0.0	0.000238851981835	0.00309162677688	0.0	0.0	0.00545559004862
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae	0.00141400948352	0.0151528105701	0.0110922860364	0.0229490729156	0.000112781106909	0.00813951652377	0.00431136452515
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae	0.0	6.57674069884e-06	6.36938618225e-06	0.0	7.5187404606e-06	7.89477839357e-06	4.82795579524e-06
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycodaceae	0.0	4.60371848919e-05	0.0	9.68655909205e-05	0.000240599694739	0.000355265027711	0.00031381712669
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycopsidaceae	0.0	0.0	0.0	1.61442651534e-05	0.0	7.89477839357e-06	0.00105732231916
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae	0.00023282887078	0.000861553031549	0.0	0.00149334452669	0.0	0.0	0.00168012861674
