Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
5101-145-MSITS2a.extendedFrags	98.3618299021	46.0	266.05353437	54451.0	41.6666666667
5101-146-MSITS2a.extendedFrags	98.3096644464	48.0	270.251267228	47742.0	41.6666666667
5101-147-MSITS2a.extendedFrags	98.2252194391	45.0	265.200470991	46710.0	50.0
5101-148-MSITS2a.extendedFrags	98.0455783998	46.0	264.224102056	40370.0	50.0
5101-150-MSITS2a.extendedFrags	98.035501009	39.0	244.142910094	24281.0	50.0
5101-151-MSITS2a.extendedFrags	98.0560087004	40.0	258.658872576	22068.0	50.0
5101-152-MSITS2a.extendedFrags	98.348526886	40.0	259.677478311	45414.0	50.0
5101-153-MSITS2a.extendedFrags	98.4390955507	40.0	256.844201313	41130.0	41.6666666667
5101-155-MSITS2a.extendedFrags	98.4931022285	49.0	270.873529065	42405.0	41.6666666667
5101-156-MSITS2a.extendedFrags	98.3908498017	43.0	260.154196572	30513.0	41.6666666667
5101-157-MSITS2a.extendedFrags	98.5436305038	42.0	273.316015218	41267.0	50.0
5101-158-MSITS2a.extendedFrags	98.3840833201	45.0	296.622018604	50312.0	50.0
5101-160-MSITS2a.extendedFrags	99.3864890057	44.0	231.157663921	130886.0	41.6666666667
5101-161-MSITS2a.extendedFrags	99.1631937554	44.0	237.444251505	60468.0	41.6666666667
5101-162-MSITS2a.extendedFrags	99.1392337551	45.0	243.705591277	67498.0	41.6666666667
5101-163-MSITS2a.extendedFrags	99.012345679	47.0	257.320760433	66015.0	41.6666666667
5101-165-MSITS2a.extendedFrags	98.5444883371	41.0	257.07185854	42528.0	41.6666666667
5101-166-MSITS2a.extendedFrags	98.7934145241	39.0	249.610013532	44340.0	41.6666666667
5101-167-MSITS2a.extendedFrags	98.9135735266	40.0	254.78120641	88179.0	41.6666666667
5101-168-MSITS2a.extendedFrags	98.4252708769	39.0	254.597879992	42547.0	50.0
5101-170-MSITS2a.extendedFrags	98.6463949114	41.0	265.512430671	77349.0	50.0
5101-171-MSITS2a.extendedFrags	97.3522332174	40.0	275.28537042	18695.0	41.6666666667
5101-172-MSITS2a.extendedFrags	92.3180592992	39.0	258.615902965	742.0	41.6666666667
5101-173-MSITS2a.extendedFrags	98.6561514196	38.0	263.639074658	47550.0	41.6666666667
5101-175-MSITS2a.extendedFrags	98.9859918662	40.0	228.067022142	55325.0	41.6666666667
5101-176-MSITS2a.extendedFrags	97.598097503	40.0	259.265636147	16820.0	41.6666666667
5101-177-MSITS2a.extendedFrags	98.2423480489	43.0	260.275325178	41362.0	41.6666666667
5101-178-MSITS2a.extendedFrags	96.5472549121	45.0	263.703250557	19289.0	41.6666666667
