Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	69.7688582251	13.0906840711	36.7163492063	20.507741843	2.35303618429	0.945
C	LB500-NO	228.468827273	27.4597010904	67.8056782107	12.6281601017	7.95695909483	0.3
C	C-LATE	228.468827273	27.4597010904	40.8886309524	8.65944926513	11.2840443181	0.615
C-LATE	C-NO	40.8886309524	8.65944926513	69.7688582251	13.0906840711	-3.1870077908	0.18
C-LATE	LB500-NO	40.8886309524	8.65944926513	67.8056782107	12.6281601017	-2.82465242208	1.0
C-LATE	LB500-EARLY	40.8886309524	8.65944926513	48.55	0.0	0.685317364237	1.0
C-NO	LB500-EARLY	69.7688582251	13.0906840711	48.55	0.0	-1.25555370652	1.0
C	C-NO	228.468827273	27.4597010904	69.7688582251	13.0906840711	9.03592134357	0.465
C	C-EARLY	228.468827273	27.4597010904	36.7163492063	20.507741843	9.6907217226	0.405
C-NO	LB500-NO	69.7688582251	13.0906840711	67.8056782107	12.6281601017	0.168474237616	1.0
C-EARLY	LB500-NO	36.7163492063	20.507741843	67.8056782107	12.6281601017	-1.95813490465	1.0
C-LATE	C-EARLY	40.8886309524	8.65944926513	36.7163492063	20.507741843	0.324630234148	1.0
C	LB500-EARLY	228.468827273	27.4597010904	48.55	0.0	-5.07523821476	1.0
LB500-EARLY	LB500-NO	48.55	0.0	67.8056782107	12.6281601017	-1.07821096102	1.0
LB500-EARLY	C-EARLY	48.55	0.0	36.7163492063	20.507741843	0.44696810404	1.0
