# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-7.55152869622	1.81376207566e-12	4.18979039478e-10	0.001	0.231
All within treatment	C vs. C	1.69592565773	0.0999221030351	1	0.090	1.000
All within treatment	C-LATE vs. C-LATE	0.423244352017	0.675038975246	1	0.658	1.000
All within treatment	C-NO vs. C-NO	0.866152564557	0.393060960527	1	0.405	1.000
All within treatment	C-EARLY vs. C-EARLY	-3.155816788	0.00354887691742	0.819790567924	0.002	0.462
All within treatment	LB500-NO vs. LB500-NO	0.53008625107	0.600230973894	1	0.670	1.000
All within treatment	C vs. C-LATE	-7.59398006111	2.42107331594e-09	5.59267935983e-07	0.001	0.231
All within treatment	C vs. C-NO	-3.33566646305	0.00181543160929	0.419364701745	0.004	0.924
All within treatment	C vs. LB500-EARLY	-2.4671190806	0.0197673272761	1	0.020	1.000
All within treatment	C vs. C-EARLY	-5.80551859649	8.17886967924e-07	0.00018893188959	0.001	0.231
All within treatment	C vs. LB500-NO	-2.73869215282	0.00943138281023	1	0.010	1.000
All within treatment	C-LATE vs. C-NO	-6.91438535869	2.1767967112e-08	5.02840040287e-06	0.001	0.231
All within treatment	C-LATE vs. LB500-EARLY	-3.71141220183	0.000870544485883	0.201095776239	0.002	0.462
All within treatment	C-LATE vs. C-EARLY	-4.59764104512	4.04962758016e-05	0.00935463971016	0.001	0.231
All within treatment	C-LATE vs. LB500-NO	-6.44625500536	1.56620970734e-07	3.61794442395e-05	0.001	0.231
All within treatment	C-NO vs. LB500-EARLY	-1.80445414505	0.0815558168106	1	0.086	1.000
All within treatment	C-NO vs. C-EARLY	-3.51136827522	0.00109951502035	0.2539879697	0.001	0.231
All within treatment	C-NO vs. LB500-NO	0.938643347568	0.354001281901	1	0.366	1.000
All within treatment	LB500-EARLY vs. C-EARLY	-3.09356117951	0.00434830321236	1	0.002	0.462
All within treatment	LB500-EARLY vs. LB500-NO	-1.42293578037	0.165801691285	1	0.170	1.000
All within treatment	C-EARLY vs. LB500-NO	-3.41533963081	0.00156008971138	0.360380723329	0.003	0.693
All between treatment	C vs. C	6.28856541155	2.70115729784e-09	6.239673358e-07	0.001	0.231
All between treatment	C-LATE vs. C-LATE	4.52685871281	1.13347794044e-05	0.00261833404242	0.001	0.231
All between treatment	C-NO vs. C-NO	5.17660012944	6.42843036802e-07	0.000148496741501	0.001	0.231
All between treatment	C-EARLY vs. C-EARLY	-0.515070858154	0.60718459608	1	0.592	1.000
All between treatment	LB500-NO vs. LB500-NO	3.5550590314	0.000493971515969	0.114107420189	0.001	0.231
All between treatment	C vs. C-LATE	-3.48369948102	0.000623236249842	0.143967573713	0.001	0.231
All between treatment	C vs. C-NO	2.05259766985	0.041583577036	1	0.054	1.000
All between treatment	C vs. LB500-EARLY	-0.0143146766006	0.988596224399	1	0.987	1.000
All between treatment	C vs. C-EARLY	-1.60269680744	0.110784656628	1	0.111	1.000
All between treatment	C vs. LB500-NO	1.98952764444	0.048218783154	1	0.049	1.000
All between treatment	C-LATE vs. C-NO	-2.59356060428	0.0102938425	1	0.009	1.000
All between treatment	C-LATE vs. LB500-EARLY	-1.67431653477	0.095962855932	1	0.113	1.000
All between treatment	C-LATE vs. C-EARLY	-0.421678469686	0.673771398365	1	0.668	1.000
All between treatment	C-LATE vs. LB500-NO	-2.86564281392	0.00467799294703	1	0.006	1.000
All between treatment	C-NO vs. LB500-EARLY	0.872286528155	0.384319640234	1	0.401	1.000
All between treatment	C-NO vs. C-EARLY	0.854564971083	0.393947192171	1	0.377	1.000
All between treatment	C-NO vs. LB500-NO	6.91555759395	8.64475158124e-11	1.99693761527e-08	0.001	0.231
All between treatment	LB500-EARLY vs. C-EARLY	-0.908601646867	0.364885641288	1	0.381	1.000
All between treatment	LB500-EARLY vs. LB500-NO	0.936193774027	0.350549964144	1	0.392	1.000
All between treatment	C-EARLY vs. LB500-NO	0.374541756491	0.708459998657	1	0.714	1.000
C vs. C	C-LATE vs. C-LATE	-1.29150274006	0.225581963693	1	0.195	1.000
C vs. C	C-NO vs. C-NO	-2.08364420001	0.0638063459467	1	0.062	1.000
C vs. C	C-EARLY vs. C-EARLY	-5.41954349136	0.000293196427167	0.0677283746755	0.002	0.462
C vs. C	LB500-NO vs. LB500-NO	-3.69305811492	0.0077253743247	1	0.005	1.000
