Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB+LP	LB-AS	6.38644343478	1.38561640518	6.573218	0.917285837242	-0.378639441477	1.0
C-AS	LB	7.96165384615	2.44653496416	6.0668366087	1.19359093392	3.02799119858	0.1
C	LB-AS	9.98451280952	2.85083034313	6.573218	0.917285837242	3.5728615436	0.02
C-AS	C	7.96165384615	2.44653496416	9.98451280952	2.85083034313	-2.05699569855	0.47
C-AS	LB-AS	7.96165384615	2.44653496416	6.573218	0.917285837242	1.62901069679	1.0
LB+LP	C-AS	6.38644343478	1.38561640518	7.96165384615	2.44653496416	-2.39681863628	0.2
LB+LP	LB	6.38644343478	1.38561640518	6.0668366087	1.19359093392	0.819701640611	1.0
LB	LB-AS	6.0668366087	1.19359093392	6.573218	0.917285837242	-1.15988657141	1.0
C	LB	9.98451280952	2.85083034313	6.0668366087	1.19359093392	5.89770748865	0.01
LB+LP	C	6.38644343478	1.38561640518	9.98451280952	2.85083034313	-5.27100678815	0.01
