Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB+LP	LB-AS	255.418928302	75.5837062225	261.269262813	49.5034753674	-0.216799187596	1.0
C-AS	LB	349.911326261	123.033569078	235.099627988	68.6355279136	3.49272935533	0.03
C	LB-AS	499.281357921	89.3901244247	261.269262813	49.5034753674	7.49986787111	0.01
C-AS	C	349.911326261	123.033569078	499.281357921	89.3901244247	-3.78667146056	0.01
C-AS	LB-AS	349.911326261	123.033569078	261.269262813	49.5034753674	2.0529390929	0.65
LB+LP	C-AS	255.418928302	75.5837062225	349.911326261	123.033569078	-2.73249552148	0.1
LB+LP	LB	255.418928302	75.5837062225	235.099627988	68.6355279136	0.92357778376	1.0
LB	LB-AS	235.099627988	68.6355279136	261.269262813	49.5034753674	-1.05534933636	1.0
C	LB	499.281357921	89.3901244247	235.099627988	68.6355279136	10.4397013493	0.01
LB+LP	C	255.418928302	75.5837062225	499.281357921	89.3901244247	-9.11094206839	0.01
