Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB+LP	LB-AS	139.081818182	39.8494740055	146.6	28.5233939075	-0.520253780373	1.0
C-AS	LB	205.223076923	69.4485105766	131.604347826	35.7222677875	4.07755664708	0.02
C	LB-AS	295.544444444	49.3520259882	146.6	28.5233939075	8.44622077833	0.01
C-AS	C	205.223076923	69.4485105766	295.544444444	49.3520259882	-4.09408908744	0.01
C-AS	LB-AS	205.223076923	69.4485105766	146.6	28.5233939075	2.39970991289	0.18
LB+LP	C-AS	139.081818182	39.8494740055	205.223076923	69.4485105766	-3.47595255879	0.02
LB+LP	LB	139.081818182	39.8494740055	131.604347826	35.7222677875	0.648487603782	1.0
LB	LB-AS	131.604347826	35.7222677875	146.6	28.5233939075	-1.13846688117	1.0
C	LB	295.544444444	49.3520259882	131.604347826	35.7222677875	12.0253224843	0.01
LB+LP	C	139.081818182	39.8494740055	295.544444444	49.3520259882	-10.8123701922	0.01
