# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-15.9842949735	1.21571823188e-55	1.65337679535e-53	0.001	0.136
All within treatment	LB+LP vs. LB+LP	4.40171574471	1.19073081923e-05	0.00161939391416	0.001	0.136
All within treatment	C-AS vs. C-AS	-8.57113430298	4.91091793492e-17	6.6788483915e-15	0.001	0.136
All within treatment	C vs. C	-7.60461378811	7.10772992548e-14	9.66651269866e-12	0.001	0.136
All within treatment	LB vs. LB	5.80532055795	8.59393090025e-09	1.16877460243e-06	0.001	0.136
All within treatment	LB-AS vs. LB-AS	2.27790697323	0.0229941175028	1	0.024	1.000
All within treatment	LB+LP vs. C-AS	-13.6702362745	2.94739991798e-39	4.00846388846e-37	0.001	0.136
All within treatment	LB+LP vs. C	-23.0432265387	5.84435152628e-97	7.94831807573e-95	0.001	0.136
All within treatment	LB+LP vs. LB	7.38576684646	2.74225087082e-13	3.72946118432e-11	0.001	0.136
All within treatment	LB+LP vs. LB-AS	4.24727473008	2.37034320105e-05	0.00322366675343	0.001	0.136
All within treatment	C-AS vs. C	-16.1794366593	1.97282322755e-52	2.68303958947e-50	0.001	0.136
All within treatment	C-AS vs. LB	-14.8345556903	2.29041787248e-45	3.11496830658e-43	0.001	0.136
All within treatment	C-AS vs. LB-AS	-8.46326849476	1.0645209874e-16	1.44774854286e-14	0.001	0.136
All within treatment	C vs. LB	-25.9594826981	9.5470220564e-118	1.29839499967e-115	0.001	0.136
All within treatment	C vs. LB-AS	-15.5143923855	1.71603115348e-48	2.33380236873e-46	0.001	0.136
All within treatment	LB vs. LB-AS	4.73995061784	2.45128095999e-06	0.000333374210559	0.001	0.136
All between treatment	LB+LP vs. LB+LP	14.2259266889	0.0	0.0	0.001	0.136
All between treatment	C-AS vs. C-AS	-3.12171447346	0.00181529553142	0.246880192273	0.005	0.680
All between treatment	C vs. C	-0.41088601081	0.681185023503	1	0.700	1.000
All between treatment	LB vs. LB	16.1571852126	0.0	0.0	0.001	0.136
All between treatment	LB-AS vs. LB-AS	6.59677930427	4.96480634382e-11	6.7521366276e-09	0.001	0.136
All between treatment	LB+LP vs. C-AS	-4.09956702191	4.24282825166e-05	0.00577024642226	0.001	0.136
All between treatment	LB+LP vs. C	-11.7600746447	2.63189615408e-31	3.57937876955e-29	0.001	0.136
All between treatment	LB+LP vs. LB	22.0389766436	0.0	0.0	0.001	0.136
All between treatment	LB+LP vs. LB-AS	13.8237715418	0.0	0.0	0.001	0.136
All between treatment	C-AS vs. C	-8.32829477476	1.21125895475e-16	1.64731217846e-14	0.001	0.136
All between treatment	C-AS vs. LB	-5.06584206738	4.29695588533e-07	5.84386000405e-05	0.001	0.136
All between treatment	C-AS vs. LB-AS	-1.41653926745	0.156720711004	1	0.153	1.000
All between treatment	C vs. LB	-14.2259855768	1.27601991124e-44	1.73538707929e-42	0.001	0.136
All between treatment	C vs. LB-AS	-6.93140537997	5.05656190784e-12	6.87692419466e-10	0.001	0.136
All between treatment	LB vs. LB-AS	14.5365927069	0.0	0.0	0.001	0.136
LB+LP vs. LB+LP	C-AS vs. C-AS	-13.4738277887	7.93694036309e-33	1.07942388938e-30	0.001	0.136
LB+LP vs. LB+LP	C vs. C	-10.8629651715	3.89709410386e-24	5.30004798125e-22	0.001	0.136
LB+LP vs. LB+LP	LB vs. LB	1.46560994788	0.143406595405	1	0.151	1.000
LB+LP vs. LB+LP	LB-AS vs. LB-AS	0.37407361374	0.708638854753	1	0.687	1.000
LB+LP vs. LB+LP	LB+LP vs. C-AS	-18.0309273126	1.05652598885e-56	1.43687534484e-54	0.001	0.136
LB+LP vs. LB+LP	LB+LP vs. C	-30.0814635266	1.32793709823e-123	1.80599445359e-121	0.001	0.136
LB+LP vs. LB+LP	LB+LP vs. LB	1.28996541722	0.197468375342	1	0.193	1.000
LB+LP vs. LB+LP	LB+LP vs. LB-AS	-0.161156460606	0.872042658121	1	0.869	1.000
LB+LP vs. LB+LP	C-AS vs. C	-18.6168982668	3.72098778273e-58	5.06054338451e-56	0.001	0.136
LB+LP vs. LB+LP	C-AS vs. LB	-19.4431119722	6.57990229055e-64	8.94866711515e-62	0.001	0.136
LB+LP vs. LB+LP	C-AS vs. LB-AS	-13.9100852692	1.74530730749e-35	2.37361793818e-33	0.001	0.136
LB+LP vs. LB+LP	C vs. LB	-34.7370154683	1.14768617759e-149	1.56085320152e-147	0.001	0.136
LB+LP vs. LB+LP	C vs. LB-AS	-26.5240176057	6.63592872618e-91	9.0248630676e-89	0.001	0.136
LB+LP vs. LB+LP	LB vs. LB-AS	0.359688228132	0.719245723485	1	0.735	1.000
C-AS vs. C-AS	C vs. C	2.07222116757	0.0393644002925	1	0.037	1.000
C-AS vs. C-AS	LB vs. LB	13.2543054961	0.0	0.0	0.001	0.136
C-AS vs. C-AS	LB-AS vs. LB-AS	8.06452715948	6.01518834742e-13	8.18065615249e-11	0.001	0.136
C-AS vs. C-AS	LB+LP vs. C-AS	0.936786006708	0.349493183751	1	0.356	1.000
C-AS vs. C-AS	LB+LP vs. C	-2.78178583878	0.00562253108554	0.764664227633	0.008	1.000
C-AS vs. C-AS	LB+LP vs. LB	16.0843431843	0.0	0.0	0.001	0.136
C-AS vs. C-AS	LB+LP vs. LB-AS	14.2892489494	0.0	0.0	0.001	0.136
C-AS vs. C-AS	C-AS vs. C	-1.49877345804	0.134950025963	1	0.138	1.000
C-AS vs. C-AS	C-AS vs. LB	0.500199567936	0.617227963644	1	0.626	1.000
C-AS vs. C-AS	C-AS vs. LB-AS	1.73618333519	0.0840265292322	1	0.097	1.000
C-AS vs. C-AS	C vs. LB	-4.31008880101	1.97335350659e-05	0.00268376076897	0.001	0.136
