# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-14.3830512407	8.49875743472e-46	1.15583101112e-43	0.001	0.136
All within treatment	LB+LP vs. LB+LP	6.40598444077	2.25156782108e-10	3.06213223666e-08	0.001	0.136
All within treatment	C-AS vs. C-AS	-4.03676593448	5.88260569459e-05	0.00800034374464	0.002	0.272
All within treatment	C vs. C	-17.0710433759	2.42916909634e-57	3.30366997102e-55	0.001	0.136
All within treatment	LB vs. LB	8.25114124981	4.4408920985e-16	6.03961325396e-14	0.001	0.136
All within treatment	LB-AS vs. LB-AS	4.04900621292	5.57514010315e-05	0.00758219054029	0.001	0.136
All within treatment	LB+LP vs. C-AS	-4.97141234117	7.70069048225e-07	0.000104729390559	0.001	0.136
All within treatment	LB+LP vs. C	-32.2217579545	4.08249275512e-165	5.55219014697e-163	0.001	0.136
All within treatment	LB+LP vs. LB	10.680529503	0.0	0.0	0.001	0.136
All within treatment	LB+LP vs. LB-AS	6.18598332218	8.56900994606e-10	1.16538535266e-07	0.001	0.136
All within treatment	C-AS vs. C	-22.1245065227	2.301168893e-89	3.12958969447e-87	0.001	0.136
All within treatment	C-AS vs. LB	-4.92325427452	9.79257009238e-07	0.000133178953256	0.001	0.136
All within treatment	C-AS vs. LB-AS	-3.53077403311	0.000432988362342	0.0588864172785	0.002	0.272
All within treatment	C vs. LB	-33.4401192869	5.34984294929e-175	7.27578641103e-173	0.001	0.136
All within treatment	C vs. LB-AS	-26.0029501984	2.52044300893e-116	3.42780249215e-114	0.001	0.136
All within treatment	LB vs. LB-AS	6.54954298952	8.64448512772e-11	1.17564997737e-08	0.001	0.136
All between treatment	LB+LP vs. LB+LP	13.6001498391	0.0	0.0	0.001	0.136
All between treatment	C-AS vs. C-AS	1.34005613603	0.180317950802	1	0.170	1.000
All between treatment	C vs. C	-8.86919918597	1.16241557687e-18	1.58088518455e-16	0.001	0.136
All between treatment	LB vs. LB	15.5044423211	0.0	0.0	0.001	0.136
All between treatment	LB-AS vs. LB-AS	8.92786577969	0.0	0.0	0.001	0.136
All between treatment	LB+LP vs. C-AS	4.65252520286	3.39832649154e-06	0.00046217240285	0.001	0.136
All between treatment	LB+LP vs. C	-19.8300609962	3.23313961179e-83	4.39706987204e-81	0.001	0.136
All between treatment	LB+LP vs. LB	21.1922395162	0.0	0.0	0.001	0.136
All between treatment	LB+LP vs. LB-AS	15.0483532465	0.0	0.0	0.001	0.136
All between treatment	C-AS vs. C	-11.8881554476	5.56619271925e-32	7.57002209818e-30	0.001	0.136
All between treatment	C-AS vs. LB	4.85227253449	1.27272550032e-06	0.000173090668044	0.001	0.136
All between treatment	C-AS vs. LB-AS	4.50635738525	6.81272102376e-06	0.000926530059232	0.001	0.136
All between treatment	C vs. LB	-21.0635237799	4.26405462389e-93	5.7991142885e-91	0.001	0.136
All between treatment	C vs. LB-AS	-14.1737918014	2.12870450468e-44	2.89503812637e-42	0.001	0.136
All between treatment	LB vs. LB-AS	15.5793630653	0.0	0.0	0.001	0.136
LB+LP vs. LB+LP	C-AS vs. C-AS	-13.4206782025	1.24753809657e-32	1.69665181133e-30	0.001	0.136
LB+LP vs. LB+LP	C vs. C	-24.4668965473	3.26418724002e-80	4.43929464642e-78	0.001	0.136
LB+LP vs. LB+LP	LB vs. LB	3.72124402599	0.000221612509777	0.0301393013297	0.002	0.272
LB+LP vs. LB+LP	LB-AS vs. LB-AS	-0.811739409248	0.4175192931	1	0.432	1.000
LB+LP vs. LB+LP	LB+LP vs. C-AS	-14.6059488095	1.12391152728e-40	1.5285196771e-38	0.001	0.136
LB+LP vs. LB+LP	LB+LP vs. C	-38.4943052896	4.56487410955e-167	6.20822878898e-165	0.001	0.136
LB+LP vs. LB+LP	LB+LP vs. LB	2.47584558705	0.0135163271238	1	0.016	1.000
