Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
4924-424-MS515F-926R.extendedFrags	95.9486225317	54.0	412.483644439	16661.0	41.6666666667
4924-425-MS515F-926R.extendedFrags	93.4049387673	54.0	413.30676571	9962.0	50.0
4924-426-MS515F-926R.extendedFrags	95.9901656618	54.0	412.414505649	17083.0	41.6666666667
4924-427-MS515F-926R.extendedFrags	96.0364004044	54.0	413.337714863	19780.0	41.6666666667
4924-429-MS515F-926R.extendedFrags	94.1853482786	53.0	412.392664131	19984.0	50.0
4924-430-MS515F-926R.extendedFrags	94.2767198225	53.0	413.93910306	19377.0	50.0
4924-431-MS515F-926R.extendedFrags	94.8338849014	53.0	411.987750892	23267.0	50.0
4924-432-MS515F-926R.extendedFrags	94.6739809735	52.0	411.992118603	28802.0	50.0
4924-434-MS515F-926R.extendedFrags	97.5333285806	53.0	411.982854495	28054.0	50.0
4924-435-MS515F-926R.extendedFrags	97.271800102	53.0	412.918255992	19610.0	41.6666666667
4924-436-MS515F-926R.extendedFrags	97.5590826187	53.0	412.927742637	25769.0	33.3333333333
4924-437-MS515F-926R.extendedFrags	97.3972863302	53.0	411.986812072	31544.0	33.3333333333
4924-439-MS515F-926R.extendedFrags	96.9617282952	53.0	412.917671333	24718.0	41.6666666667
4924-440-MS515F-926R.extendedFrags	97.3120108881	53.0	411.975350648	26451.0	33.3333333333
4924-441-MS515F-926R.extendedFrags	97.5849349641	53.0	412.932052029	25755.0	41.6666666667
4924-442-MS515F-926R.extendedFrags	97.9664080741	53.0	411.991463935	39831.0	50.0
4924-831-MS515F-926R.extendedFrags	94.8059883899	51.0	412.901721153	9819.0	41.6666666667
4924-832-MS515F-926R.extendedFrags	94.5745216516	52.0	411.972683787	7944.0	41.6666666667
4924-833-MS515F-926R.extendedFrags	96.0310301281	52.0	411.97678754	16629.0	41.6666666667
4924-834-MS515F-926R.extendedFrags	92.836999436	51.0	412.897537131	5319.0	41.6666666667
4924-836-MS515F-926R.extendedFrags	97.6889907021	53.0	412.933263711	29684.0	50.0
4924-837-MS515F-926R.extendedFrags	97.8848711291	53.0	411.985054778	31582.0	50.0
4924-838-MS515F-926R.extendedFrags	97.8126876758	53.0	412.922717072	31637.0	41.6666666667
4924-839-MS515F-926R.extendedFrags	97.8476664671	53.0	412.929127407	31733.0	41.6666666667
4924-841-MS515F-926R.extendedFrags	96.5641656417	53.0	412.92603526	12195.0	41.6666666667
4924-842-MS515F-926R.extendedFrags	97.8080643135	53.0	412.930818993	31844.0	41.6666666667
4924-843-MS515F-926R.extendedFrags	97.7583550791	53.0	412.928411985	31807.0	41.6666666667
4924-844-MS515F-926R.extendedFrags	97.9586298396	53.0	412.919671933	33164.0	41.6666666667
5101-1016-MS515F-926R.extendedFrags	96.2769211943	54.0	412.259085903	32688.0	41.6666666667
5101-1017-MS515F-926R.extendedFrags	96.5983781477	54.0	413.967456253	46860.0	50.0
5101-1018-MS515F-926R.extendedFrags	96.5741104472	54.0	412.32340232	48367.0	41.6666666667
5101-1019-MS515F-926R.extendedFrags	96.5179542982	53.0	411.927513183	47788.0	50.0
5101-1020-MS515F-926R.extendedFrags	95.90069142	53.0	413.961934992	40641.0	41.6666666667
5101-1021-MS515F-926R.extendedFrags	97.6079247084	53.0	412.862255337	58652.0	41.6666666667
5101-1022-MS515F-926R.extendedFrags	97.3700402581	53.0	411.977392191	56883.0	33.3333333333
5101-1023-MS515F-926R.extendedFrags	97.1439715697	53.0	411.984376354	46148.0	33.3333333333
5101-1024-MS515F-926R.extendedFrags	97.5451700818	53.0	411.972544665	49535.0	41.6666666667
5101-1025-MS515F-926R.extendedFrags	97.3740584618	53.0	411.985211803	43413.0	41.6666666667
5101-1026-MS515F-926R.extendedFrags	97.4147325933	53.0	412.865630676	49550.0	50.0
5101-1027-MS515F-926R.extendedFrags	97.6838944885	53.0	412.845032086	60619.0	41.6666666667
5101-1028-MS515F-926R.extendedFrags	97.3248171804	53.0	411.985420716	43212.0	33.3333333333
5101-1029-MS515F-926R.extendedFrags	97.3981409906	53.0	412.848074059	53039.0	50.0
5101-1030-MS515F-926R.extendedFrags	97.5129143717	53.0	412.810731757	58462.0	41.6666666667
5101-1031-MS515F-926R.extendedFrags	96.7860920507	53.0	411.982967644	36871.0	50.0
5101-1032-MS515F-926R.extendedFrags	96.8843323789	52.0	411.978541301	32481.0	25.0
5101-1033-MS515F-926R.extendedFrags	97.0383428823	52.0	412.915689731	22690.0	41.6666666667
5101-1034-MS515F-926R.extendedFrags	97.1450349941	52.0	412.880431017	28862.0	25.0
5101-1035-MS515F-926R.extendedFrags	96.2051686279	52.0	411.972636676	17761.0	33.3333333333
5101-1036-MS515F-926R.extendedFrags	97.0301734379	53.0	412.858602315	29463.0	33.3333333333
