Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB+LP	LB-AS	147.145454545	40.3727149905	158.69	29.2317105213	-0.786797457647	1.0
C-AS	LB	219.230769231	75.7104238796	144.534782609	35.9172189382	3.8887704081	0.02
C	LB-AS	292.176190476	102.133446342	158.69	29.2317105213	3.9217243778	0.03
C-AS	C	219.230769231	75.7104238796	292.176190476	102.133446342	-2.1580270069	0.26
C-AS	LB-AS	219.230769231	75.7104238796	158.69	29.2317105213	2.28857224951	0.32
LB+LP	C-AS	147.145454545	40.3727149905	219.230769231	75.7104238796	-3.56299809672	0.01
LB+LP	LB	147.145454545	40.3727149905	144.534782609	35.9172189382	0.224251363576	1.0
LB	LB-AS	144.534782609	35.9172189382	158.69	29.2317105213	-1.06434326827	1.0
C	LB	292.176190476	102.133446342	144.534782609	35.9172189382	6.35650613683	0.01
LB+LP	C	147.145454545	40.3727149905	292.176190476	102.133446342	-6.02894003649	0.01
