# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-6.54100258464	6.899942836e-11	9.38392225696e-09	0.001	0.136
All within treatment	LB+LP vs. LB+LP	6.92580926084	7.55773221783e-12	1.02785158163e-09	0.001	0.136
All within treatment	C-AS vs. C-AS	0.0170357950916	0.986411864894	1	0.987	1.000
All within treatment	C vs. C	-13.8816273668	2.82639029632e-40	3.843890803e-38	0.001	0.136
All within treatment	LB vs. LB	7.51336913271	1.21458398894e-13	1.65183422496e-11	0.001	0.136
All within treatment	LB-AS vs. LB-AS	2.98752776129	0.00289233886519	0.393358085666	0.006	0.816
All within treatment	LB+LP vs. C-AS	1.67691277372	0.0938434034049	1	0.092	1.000
All within treatment	LB+LP vs. C	-15.751822949	3.19622441191e-51	4.34686520019e-49	0.001	0.136
All within treatment	LB+LP vs. LB	10.5554889639	0.0	0.0	0.001	0.136
All within treatment	LB+LP vs. LB-AS	6.318277656	3.92235799396e-10	5.33440687178e-08	0.001	0.136
All within treatment	C-AS vs. C	-11.7839071234	2.98614995036e-30	4.06116393249e-28	0.001	0.136
All within treatment	C-AS vs. LB	1.78557761932	0.0744396362157	1	0.075	1.000
All within treatment	C-AS vs. LB-AS	1.42051108881	0.155788789449	1	0.169	1.000
All within treatment	C vs. LB	-16.0997492401	2.60813318873e-53	3.54706113667e-51	0.001	0.136
All within treatment	C vs. LB-AS	-10.7739312584	1.02577151271e-25	1.39504925728e-23	0.001	0.136
All within treatment	LB vs. LB-AS	6.54832023885	9.10853614755e-11	1.23876091607e-08	0.001	0.136
All between treatment	LB+LP vs. LB+LP	12.6803055928	0.0	0.0	0.001	0.136
All between treatment	C-AS vs. C-AS	2.40703353273	0.0161394328039	1	0.016	1.000
All between treatment	C vs. C	-15.5361086865	1.36648004159e-52	1.85841285656e-50	0.001	0.136
All between treatment	LB vs. LB	13.597202649	0.0	0.0	0.001	0.136
All between treatment	LB-AS vs. LB-AS	5.50945192677	3.88992043021e-08	5.29029178509e-06	0.001	0.136
All between treatment	LB+LP vs. C-AS	6.64270936675	3.57474050361e-11	4.86164708491e-09	0.001	0.136
All between treatment	LB+LP vs. C	-15.590493332	4.62726285465e-53	6.29307748233e-51	0.001	0.136
All between treatment	LB+LP vs. LB	19.1517440592	0.0	0.0	0.001	0.136
All between treatment	LB+LP vs. LB-AS	11.8306382778	0.0	0.0	0.001	0.136
All between treatment	C-AS vs. C	-11.3919179001	1.58066893339e-29	2.14970974941e-27	0.001	0.136
All between treatment	C-AS vs. LB	6.88003392956	7.09454717196e-12	9.64858415387e-10	0.001	0.136
All between treatment	C-AS vs. LB-AS	4.84300522272	1.33907169775e-06	0.000182113750894	0.001	0.136
All between treatment	C vs. LB	-16.000706617	1.03379491259e-55	1.40596108113e-53	0.001	0.136
All between treatment	C vs. LB-AS	-10.0857674798	1.39546637935e-23	1.89783427592e-21	0.001	0.136
All between treatment	LB vs. LB-AS	12.2051606155	0.0	0.0	0.001	0.136
LB+LP vs. LB+LP	C-AS vs. C-AS	-15.8708639319	7.78405527055e-42	1.05863151679e-39	0.001	0.136
LB+LP vs. LB+LP	C vs. C	-17.8440440688	5.95795021393e-54	8.10281229095e-52	0.001	0.136
LB+LP vs. LB+LP	LB vs. LB	1.71831679049	0.0863810226362	1	0.084	1.000
LB+LP vs. LB+LP	LB-AS vs. LB-AS	-0.595899930582	0.5517340001	1	0.565	1.000
LB+LP vs. LB+LP	LB+LP vs. C-AS	-16.1197611038	1.25522632366e-47	1.70710780017e-45	0.001	0.136
LB+LP vs. LB+LP	LB+LP vs. C	-25.8798754679	8.96597809436e-104	1.21937302083e-101	0.001	0.136
LB+LP vs. LB+LP	LB+LP vs. LB	1.65242052126	0.0988759346176	1	0.092	1.000
LB+LP vs. LB+LP	LB+LP vs. LB-AS	-2.65598155518	0.00818923310373	1	0.006	0.816
LB+LP vs. LB+LP	C-AS vs. C	-20.6578382685	4.50496727816e-69	6.12675549829e-67	0.001	0.136
LB+LP vs. LB+LP	C-AS vs. LB	-15.9001323238	8.44027354531e-47	1.14787720216e-44	0.001	0.136
LB+LP vs. LB+LP	C-AS vs. LB-AS	-16.0103020485	6.41440374592e-44	8.72358909445e-42	0.001	0.136
LB+LP vs. LB+LP	C vs. LB	-26.032232247	1.72339016242e-105	2.34381062089e-103	0.001	0.136
LB+LP vs. LB+LP	C vs. LB-AS	-23.9945945503	6.7423532209e-82	9.16960038042e-80	0.001	0.136
LB+LP vs. LB+LP	LB vs. LB-AS	-2.20444436226	0.0279885616961	1	0.034	1.000
C-AS vs. C-AS	C vs. C	-7.37831757153	1.74769607791e-12	2.37686666596e-10	0.001	0.136
C-AS vs. C-AS	LB vs. LB	17.5010402615	0.0	0.0	0.001	0.136
C-AS vs. C-AS	LB-AS vs. LB-AS	7.44215512945	1.58952850882e-11	2.16175877199e-09	0.001	0.136
C-AS vs. C-AS	LB+LP vs. C-AS	2.30674126242	0.0216332291617	1	0.020	1.000
C-AS vs. C-AS	LB+LP vs. C	-9.62025664955	2.53784534624e-20	3.45146967089e-18	0.001	0.136
C-AS vs. C-AS	LB+LP vs. LB	22.1892364104	0.0	0.0	0.001	0.136
C-AS vs. C-AS	LB+LP vs. LB-AS	14.2710913664	0.0	0.0	0.001	0.136
C-AS vs. C-AS	C-AS vs. C	-7.54413213765	3.98889504129e-13	5.42489725616e-11	0.001	0.136
C-AS vs. C-AS	C-AS vs. LB	2.41473889764	0.0162243479894	1	0.020	1.000
C-AS vs. C-AS	C-AS vs. LB-AS	2.6618873936	0.00838347982658	1	0.010	1.000
C-AS vs. C-AS	C vs. LB	-9.6980820712	1.16921664062e-20	1.59013463125e-18	0.001	0.136
C-AS vs. C-AS	C vs. LB-AS	-8.60807819869	5.04720338372e-16	6.86419660186e-14	0.001	0.136
C-AS vs. C-AS	LB vs. LB-AS	14.8443354064	0.0	0.0	0.001	0.136
C vs. C	LB vs. LB	18.8779250151	0.0	0.0	0.001	0.136
