OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C-AS_mean	LB+LP_mean	C_mean	LB_mean	LB-AS_mean	taxonomy
604966	66.7392703861	1.10643650208e-13	1.80814616258e-10	2.67315058903e-10	3562.0	8288.95454545	358.047619048	8318.13043478	7788.6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
518033	66.1166905995	1.49680973723e-13	1.80814616258e-10	3.61629232515e-10	18.8461538462	0.181818181818	35.7142857143	0.0434782608696	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
266330	64.5371791589	3.22080176993e-13	2.59381902538e-10	7.78145707614e-10	4.46153846154	0.136363636364	6.14285714286	0.0434782608696	0.1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__zeae
3851582	62.9711274833	6.88151110639e-13	4.15643270826e-10	1.6625730833e-09	3.61538461538	9.54545454545	0.238095238095	10.3913043478	10.7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
1991307	61.5445495343	1.3734700155e-12	6.6366071149e-10	3.31830355745e-09	9.84615384615	22.8636363636	0.52380952381	23.1304347826	20.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
4358821	57.7670897939	8.54019814914e-12	3.43885312139e-09	2.06331187283e-08	7.23076923077	14.8181818182	0.47619047619	15.7826086957	15.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
4389594	51.9783636763	1.39389948576e-10	4.58467108469e-08	3.3676611576e-07	10.3846153846	0.545454545455	11.0952380952	0.652173913043	0.4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
347922	51.8010711847	1.51810300817e-10	4.58467108469e-08	3.66773686775e-07	2.53846153846	0.0454545454545	4.2380952381	0.0434782608696	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.ReferenceOTU109	51.2795850272	1.95123884009e-10	5.23799226406e-08	4.71419303765e-07	9.76923076923	21.7727272727	2.04761904762	19.2608695652	20.1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.ReferenceOTU113	48.5624537775	7.2043581485e-10	1.74057292868e-07	1.74057292868e-06	2.15384615385	0.0	2.61904761905	0.0	0.1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
