Sample	Top over-represented sequence	Sum of remaining over-represented sequences
4924-424-MS515F-926R_R1	37.9568188571	50.3416856492
4924-424-MS515F-926R_R2	12.3502030306	71.2191740121
4924-425-MS515F-926R_R1	34.3848580442	51.062593392
4924-425-MS515F-926R_R2	13.8386186286	72.4223808733
4924-426-MS515F-926R_R1	40.9894885789	48.2514655347
4924-426-MS515F-926R_R2	13.2656155246	72.2255912674
4924-427-MS515F-926R_R1	40.3592602425	47.7037430316
4924-427-MS515F-926R_R2	13.1094593399	72.9139014247
4924-429-MS515F-926R_R1	21.2176688729	65.7935502042
4924-429-MS515F-926R_R2	6.75961132235	77.805942825
4924-430-MS515F-926R_R1	27.2512077295	60.231884058
4924-430-MS515F-926R_R2	7.83574879227	75.8357487923
4924-431-MS515F-926R_R1	16.8767392372	70.9567850712
4924-431-MS515F-926R_R2	5.45506629563	78.6298903257
4924-432-MS515F-926R_R1	12.6228915266	74.3728011048
4924-432-MS515F-926R_R2	4.51122875086	78.7853878276
4924-434-MS515F-926R_R1	49.2821323075	42.0072817201
4924-434-MS515F-926R_R2	15.5183073435	72.0340729546
4924-435-MS515F-926R_R1	47.6420857157	43.4686996042
4924-435-MS515F-926R_R2	15.5011484142	73.1417680692
4924-436-MS515F-926R_R1	48.792036388	42.3532920737
4924-436-MS515F-926R_R2	16.012974424	72.7611662068
4924-437-MS515F-926R_R1	49.1887146576	41.0092631834
4924-437-MS515F-926R_R2	16.0501301689	73.1640128353
4924-439-MS515F-926R_R1	47.6905311778	41.7244033872
4924-439-MS515F-926R_R2	14.9884526559	72.0862201694
4924-440-MS515F-926R_R1	48.920497841	41.3621684386
4924-440-MS515F-926R_R2	15.5339453536	73.2138321419
4924-441-MS515F-926R_R1	49.1714360528	42.307260689
4924-441-MS515F-926R_R2	15.6548086634	72.1280813975
4924-442-MS515F-926R_R1	48.7482581327	42.5087694008
4924-442-MS515F-926R_R2	15.3452501081	71.6952573158
4924-831-MS515F-926R_R1	21.0748469175	65.0258605315
4924-831-MS515F-926R_R2	4.63111586707	74.4664407586
4924-832-MS515F-926R_R1	19.2948151886	65.9455027122
4924-832-MS515F-926R_R2	5.00189226694	73.4451873344
4924-833-MS515F-926R_R1	37.205072984	49.9736779134
4924-833-MS515F-926R_R2	7.95405599426	76.501555396
4924-834-MS515F-926R_R1	21.7033651849	62.0191109265
4924-834-MS515F-926R_R2	6.06564187786	69.9376817615
4924-836-MS515F-926R_R1	49.0701047542	41.9178082192
4924-836-MS515F-926R_R2	15.7904915391	71.149073328
4924-837-MS515F-926R_R1	49.2259401475	42.2075943195
4924-837-MS515F-926R_R2	15.0911196441	72.3380264521
4924-838-MS515F-926R_R1	49.3899861086	41.8403092348
4924-838-MS515F-926R_R2	14.9060820197	71.8850033219
4924-839-MS515F-926R_R1	52.0682962334	39.2309092012
4924-839-MS515F-926R_R2	15.2483775096	72.1689816219
4924-841-MS515F-926R_R1	52.543167435	38.5655129307
4924-841-MS515F-926R_R2	14.696460661	72.0837565435
4924-842-MS515F-926R_R1	52.8850508771	38.4643256137
