Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
4924-424-MS515F-926R_R1	94.656828761	56.0	250.959492919	20194.0	41.6666666667
4924-424-MS515F-926R_R2	89.8930375359	53.0	250.584133901	20194.0	50.0
4924-425-MS515F-926R_R1	91.4577453096	57.0	250.951353146	12046.0	50.0
4924-425-MS515F-926R_R2	90.4532624938	53.0	250.639299352	12046.0	41.6666666667
4924-426-MS515F-926R_R1	95.0677178088	56.0	250.970992521	19788.0	41.6666666667
4924-426-MS515F-926R_R2	91.0652920962	53.0	250.669395593	19788.0	50.0
4924-427-MS515F-926R_R1	94.9738961154	56.0	250.981550305	22602.0	50.0
4924-427-MS515F-926R_R2	91.6246349881	53.0	250.670206176	22602.0	41.6666666667
4924-429-MS515F-926R_R1	93.4704032296	55.0	250.984743933	21303.0	41.6666666667
4924-429-MS515F-926R_R2	90.4051072619	53.0	250.705863024	21303.0	41.6666666667
4924-430-MS515F-926R_R1	93.7632850242	55.0	250.979516908	20700.0	41.6666666667
4924-430-MS515F-926R_R2	89.7584541063	54.0	250.526570048	20700.0	50.0
4924-431-MS515F-926R_R1	94.4999181535	54.0	250.98821411	24436.0	33.3333333333
4924-431-MS515F-926R_R2	90.182517597	53.0	250.750941234	24436.0	50.0
4924-432-MS515F-926R_R1	94.1702561405	54.0	250.98490777	30413.0	41.6666666667
4924-432-MS515F-926R_R2	90.0108506231	52.0	250.789925361	30413.0	41.6666666667
4924-434-MS515F-926R_R1	97.3002679123	54.0	250.983444391	29114.0	41.6666666667
4924-434-MS515F-926R_R2	93.5632341829	52.0	250.861544274	29114.0	50.0
4924-435-MS515F-926R_R1	96.843082637	54.0	250.982700484	20463.0	41.6666666667
4924-435-MS515F-926R_R2	93.2854420173	52.0	250.846112496	20463.0	41.6666666667
4924-436-MS515F-926R_R1	97.2037879353	54.0	250.981321303	26822.0	41.6666666667
4924-436-MS515F-926R_R2	94.1652374916	52.0	250.864887033	26822.0	41.6666666667
4924-437-MS515F-926R_R1	96.9970333596	54.0	250.97451111	33034.0	50.0
4924-437-MS515F-926R_R2	94.8144336139	52.0	250.86928619	33034.0	50.0
4924-439-MS515F-926R_R1	96.3625866051	54.0	250.859276366	25980.0	41.6666666667
4924-439-MS515F-926R_R2	93.2448036952	52.0	250.745034642	25980.0	50.0
4924-440-MS515F-926R_R1	96.9265938532	54.0	250.977938242	27559.0	41.6666666667
4924-440-MS515F-926R_R2	94.1434740012	52.0	250.858340288	27559.0	41.6666666667
4924-441-MS515F-926R_R1	97.2842554147	54.0	250.983166872	26733.0	33.3333333333
4924-441-MS515F-926R_R2	93.8465566902	52.0	250.868215314	26733.0	50.0
4924-442-MS515F-926R_R1	97.6286579213	54.0	250.983974821	41622.0	41.6666666667
4924-442-MS515F-926R_R2	94.0824563933	52.0	250.862068137	41622.0	41.6666666667
4924-831-MS515F-926R_R1	92.5866476428	51.0	250.964568099	16821.0	33.3333333333
4924-831-MS515F-926R_R2	85.5478271209	48.0	250.655430712	16821.0	41.6666666667
4924-832-MS515F-926R_R1	91.7118708212	51.0	250.922669358	15854.0	33.3333333333
4924-832-MS515F-926R_R2	84.9627854169	48.0	250.513056642	15854.0	50.0
4924-833-MS515F-926R_R1	94.1038525963	52.0	250.973438622	20895.0	41.6666666667
